GSID: Goldman Sachs MarketBeta International Equity ETF
Inception Date: 2020-05-12
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	313800
Shares Outstanding: 6000000
Expense Ratio: 0.2%
Tracks This Index: Solactive GBS Developed Markets ex North America Large & Mid Cap Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Goldman Sachs
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GSID


Holding,Symbol,Weighting
Nestle S.A.,NESN,2.13%
Roche Holding Ltd,ROG,1.54%
Novartis AG,NOVN,1.38%
ASML Holding NV,ASML,1.32%
Toyota Motor Corp.,7203,1.08%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.02%
AIA Group Limited,1299,0.96%
Unilever PLC,ULVR,0.93%
SAP SE,SAP,0.82%
AstraZeneca PLC,AZN,0.79%
Sony Corporation,6758,0.77%
Siemens AG,SIE,0.73%
Novo Nordisk A/S Class B,NOVO.B,0.73%
Commonwealth Bank of Australia,CBA,0.71%
Total SE,FP,0.7%
Keyence Corporation,6861,0.67%
Sanofi,SAN,0.66%
HSBC Holdings Plc,HSBA,0.65%
Allianz SE,ALV,0.63%
SoftBank Group Corp.,9984,0.63%
CSL Limited,CSL,0.62%
BHP Group Ltd,BHP,0.61%
Iberdrola SA,IBE,0.58%
GlaxoSmithKline plc,GSK,0.58%
Diageo plc,DGE,0.58%
British American Tobacco p.l.c.,BATS,0.53%
Rio Tinto plc,RIO,0.52%
Enel SpA,ENEL,0.5%
Schneider Electric SE,SU,0.5%
L\'Oreal SA,OR,0.5%
Air Liquide SA,AI,0.49%
BASF SE,BAS,0.46%
"Nintendo Co., Ltd.",7974,0.46%
Royal Dutch Shell Plc Class A,RDSA,0.45%
Hong Kong Exchanges & Clearing Ltd.,388,0.45%
BP p.l.c.,BP,0.44%
Shin-Etsu Chemical Co Ltd,4063,0.44%
"Daiichi Sankyo Company, Limited",4568,0.42%
Reckitt Benckiser Group plc,RB,0.41%
Nidec Corporation,6594,0.4%
Zurich Insurance Group Ltd,ZURN,0.4%
Airbus SE,AIR,0.4%
adidas AG,ADS,0.4%
Nippon Telegraph and Telephone Corporation,9432,0.39%
Deutsche Telekom AG,DTE,0.38%
Bayer AG,BAYN,0.37%
BNP Paribas SA Class A,BNP,0.37%
Royal Dutch Shell Plc Class B,RDSB,0.37%
Anheuser-Busch InBev SA/NV,ABI,0.37%
Daimler AG,DAI,0.36%
National Australia Bank Limited,NAB,0.36%
VINCI SA,DG,0.36%
"DAIKIN INDUSTRIES, LTD.",6367,0.36%
"Murata Manufacturing Co., Ltd.",6981,0.35%
BHP Group Plc,BHP,0.35%
Takeda Pharmaceutical Co. Ltd.,4502,0.35%
Tokyo Electron Ltd.,8035,0.34%
UBS Group AG,UBSG,0.34%
Westpac Banking Corporation,WBC,0.34%
ABB Ltd.,ABBN,0.33%
AXA SA,CS,0.33%
Kering SA,KER,0.33%
Adyen NV,ADYEN,0.32%
Banco Santander S.A.,SAN,0.32%
Infineon Technologies AG,IFX,0.32%
"Recruit Holdings Co., Ltd.",6098,0.32%
HOYA CORPORATION,7741,0.32%
Safran S.A.,SAF,0.31%
Deutsche Post AG,DPW,0.31%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.31%
