GSIG: Goldman Sachs Access Investment Grade Corporate 1-5 Year Bond ETF
Inception Date: 2020-07-07
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	27736
Shares Outstanding: 550000
Expense Ratio: %
Tracks This Index: FTSE Goldman Sachs US Investment-Grade Corporate Bond 1-5 Years Index
ETFdb.com Category: Corporate Bonds
Issuer: Goldman Sachs
Structure: 
ETF Home Page: https://etfdb.com/etf/GSIG


Holding,Symbol,Weighting
JPMorgan Chase & Co. 1.514% 01-JUN-2024,Other,2.05%
HSBC Holdings Plc 3.262% 13-MAR-2023,Other,1.88%
Morgan Stanley 3.737% 24-APR-2024,Other,1.33%
AbbVie Inc. 2.3% 21-NOV-2022,Other,1.28%
Intel Corporation 3.4% 25-MAR-2025,Other,1.21%
NatWest Group Plc 6.0% 19-DEC-2023,Other,1.16%
Citigroup Inc. 1.678% 15-MAY-2024,Other,1.12%
Air Lease Corporation 3.5% 15-JAN-2022,Other,1.06%
Credit Suisse AG (New York Branch) 2.95% 09-APR-2025,Other,1.03%
Cooperatieve Rabobank UA (New York Branch) 3.375% 21-MAY-2025,Other,1.02%
"General Motors Financial Co., Inc. 5.2% 20-MAR-2023",Other,1.0%
Bank of New York Mellon Corporation 2.661% 16-MAY-2023,Other,0.97%
"Mitsubishi UFJ Financial Group, Inc. 2.801% 18-JUL-2024",Other,0.97%
Berkshire Hathaway Energy Co. 4.05% 15-APR-2025,Other,0.95%
Barclays Plc 4.338% 16-MAY-2024,Other,0.94%
U.S. Bank National Association 1.95% 09-JAN-2023,Other,0.94%
Apple Inc. 1.125% 11-MAY-2025,Other,0.93%
"Sumitomo Mitsui Financial Group, Inc. 1.474% 08-JUL-2025",Other,0.93%
Lloyds Banking Group plc 1.326% 15-JUN-2023,Other,0.92%
"Kinder Morgan Energy Partners, L.P. 4.15% 01-FEB-2024",Other,0.9%
American Tower Corporation 5.0% 15-FEB-2024,Other,0.9%
Ally Financial Inc. 3.05% 05-JUN-2023,Other,0.88%
B.A.T. Capital Corp. 3.222% 15-AUG-2024,Other,0.85%
"Walgreens Boots Alliance, Inc. 3.8% 18-NOV-2024",Other,0.84%
"Tyson Foods, Inc. 3.95% 15-AUG-2024",Other,0.81%
Bank of America Corporation 3.55% 05-MAR-2024,Other,0.81%
FedEx Corporation 3.8% 15-MAY-2025,Other,0.8%
"Santander Holdings USA, Inc. 3.4% 18-JAN-2023",Other,0.8%
LYB International Finance BV 4.0% 15-JUL-2023,Other,0.79%
Bank of Nova Scotia 2.0% 15-NOV-2022,Other,0.79%
"Banco Santander, S.A. 2.746% 28-MAY-2025",Other,0.78%
Royal Bank of Canada 1.15% 10-JUN-2025,Other,0.78%
"Republic Services, Inc. 2.5% 15-AUG-2024",Other,0.78%
Fox Corporation 4.03% 25-JAN-2024,Other,0.78%
Citigroup Inc. 2.9% 08-DEC-2021,Other,0.78%
Raytheon Technologies Corp. 2.8% 15-MAR-2022,Other,0.77%
Bank of America Corporation 5.7% 24-JAN-2022,Other,0.77%
Crown Castle International Corp. 3.2% 01-SEP-2024,Other,0.77%
Canadian Imperial Bank of Commerce 2.606% 22-JUL-2023,Other,0.77%
American Express Company 3.4% 27-FEB-2023,Other,0.77%
"Mizuho Financial Group, Inc. 2.226% 25-MAY-2026",Other,0.76%
"Dollar Tree, Inc. 3.7% 15-MAY-2023",Other,0.76%
Simon Property Group LP 2.0% 13-SEP-2024,Other,0.75%
Exxon Mobil Corporation 1.571% 15-APR-2023,Other,0.75%
"Marsh & McLennan Companies, Inc. 4.05% 15-OCT-2023",Other,0.75%
"Micron Technology, Inc. 2.497% 24-APR-2023",Other,0.74%
V.F. Corporation 2.4% 23-APR-2025,Other,0.74%
DXC Technology Co. 4.0% 15-APR-2023,Other,0.74%
Amgen Inc. 1.9% 21-FEB-2025,Other,0.73%
Boston Properties LP 3.125% 01-SEP-2023,Other,0.73%
"Spectra Energy Partners, LP 4.75% 15-MAR-2024",Other,0.73%
Enterprise Products Operating LLC 3.5% 01-FEB-2022,Other,0.71%
Huntington Bancshares Incorporated 4.0% 15-MAY-2025,Other,0.7%
Parker-Hannifin Corporation 2.7% 14-JUN-2024,Other,0.7%
Western Union Company 3.6% 15-MAR-2022,Other,0.68%
Oracle Corporation 2.5% 15-MAY-2022,Other,0.67%
AerCap Ireland Capital DAC 6.5% 15-JUL-2025,Other,0.65%
Southern Company 2.95% 01-JUL-2023,Other,0.64%
Bank of America Corporation 1.319% 19-JUN-2026,Other,0.63%
Deutsche Bank AG 3.961% 26-NOV-2025,Other,0.6%
Citigroup Inc. 3.106% 08-APR-2026,Other,0.59%
BB&T Corporation 2.85% 26-OCT-2024,Other,0.59%
Morgan Stanley 2.188% 28-APR-2026,Other,0.58%
"TJX Companies, Inc. 3.5% 15-APR-2025",Other,0.57%
JPMorgan Chase & Co. 2.005% 13-MAR-2026,Other,0.57%
Toyota Motor Credit Corporation 1.8% 13-FEB-2025,Other,0.57%
Sabine Pass Liquefaction LLC 5.625% 15-APR-2023,Other,0.56%
Unilever Capital Corp. 2.2% 05-MAY-2022,Other,0.52%
UnitedHealth Group Incorporated 2.875% 15-MAR-2022,Other,0.52%
Comcast Corporation 3.7% 15-APR-2024,Other,0.52%
AbbVie Inc. 3.6% 14-MAY-2025,Other,0.51%
Sherwin-Williams Company 2.75% 01-JUN-2022,Other,0.49%
Toyota Motor Corp. 3.419% 20-JUL-2023,Other,0.49%
"MetLife, Inc. 4.368% 15-SEP-2023",Other,0.48%
International Business Machines Corporation 3.375% 01-AUG-2023,Other,0.47%
International Business Machines Corporation 1.875% 01-AUG-2022,Other,0.47%
"SunTrust Banks, Inc. 3.689% 02-AUG-2024",Other,0.47%
Caterpillar Financial Services Corporation 2.15% 08-NOV-2024,Other,0.46%
Bank of New York Mellon Corporation 1.6% 24-APR-2025,Other,0.46%
"BP Capital Markets America, Inc. 2.75% 10-MAY-2023",Other,0.46%
Microsoft Corporation 2.125% 15-NOV-2022,Other,0.45%
TransCanada PipeLines Ltd. 2.5% 01-AUG-2022,Other,0.45%
Royal Bank of Canada 1.95% 17-JAN-2023,Other,0.45%
Target Corporation 3.5% 01-JUL-2024,Other,0.44%
"NIKE, Inc. 2.4% 27-MAR-2025",Other,0.43%
Walt Disney Company 1.75% 30-AUG-2024,Other,0.42%
NatWest Markets Plc 6.125% 15-DEC-2022,Other,0.42%
