GSJY: Goldman Sachs ActiveBeta Japan Equity ETF
Inception Date: 2016-03-02
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	22290
Shares Outstanding: 600000
Expense Ratio: 0.25%
Tracks This Index: Goldman Sachs ActiveBeta Japan Equity Index
ETFdb.com Category: Japan Equities
Issuer: Goldman Sachs
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GSJY


Holding,Symbol,Weighting
Toyota Motor Corp.,7203,3.34%
Sony Corporation,6758,2.91%
SoftBank Group Corp.,9984,2.47%
Keyence Corporation,6861,2.08%
"Nintendo Co., Ltd.",7974,1.69%
"Daiichi Sankyo Company, Limited",4568,1.42%
Tokyo Electron Ltd.,8035,1.39%
KDDI Corporation,9433,1.23%
"Honda Motor Co., Ltd.",7267,1.21%
HOYA CORPORATION,7741,1.21%
Takeda Pharmaceutical Co. Ltd.,4502,1.19%
Nippon Telegraph and Telephone Corporation,9432,1.16%
"FAST RETAILING CO., LTD.",9983,1.13%
"M3, Inc.",2413,1.1%
"Murata Manufacturing Co., Ltd.",6981,1.09%
"Recruit Holdings Co., Ltd.",6098,1.09%
"DAIKIN INDUSTRIES, LTD.",6367,1.07%
Fujitsu Limited,6702,1.03%
Shin-Etsu Chemical Co Ltd,4063,0.98%
Nidec Corporation,6594,0.95%
"Chugai Pharmaceutical Co., Ltd.",4519,0.95%
"Hitachi,Ltd.",6501,0.94%
Itochu Corporation,8001,0.93%
Mitsubishi Corporation,8058,0.93%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.87%
Astellas Pharma Inc.,4503,0.85%
Kao Corp.,4452,0.84%
"Yamada Holding Co., Ltd.",9831,0.81%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.78%
"ENEOS Holdings, Inc.",5020,0.71%
SoftBank Corp.,9434,0.7%
Marubeni Corporation,8002,0.69%
"Seven & I Holdings Co., Ltd.",3382,0.68%
NEC Corp.,6701,0.67%
Sumitomo Corporation,8053,0.67%
Olympus Corp.,7733,0.66%
"AEON Co., Ltd.",8267,0.64%
Sysmex Corporation,6869,0.61%
"JAPAN POST INSURANCE Co., Ltd.",7181,0.59%
Toyota Tsusho Corp.,8015,0.59%
SMC Corporation,6273,0.59%
Fanuc Corporation,6954,0.59%
"Tokio Marine Holdings, Inc.",8766,0.57%
Advantest Corp.,6857,0.57%
FUJIFILM Holdings Corp,4901,0.57%
Panasonic Corporation,6752,0.57%
"Shiseido Company,Limited",4911,0.57%
"Iida Group Holdings Co., Ltd.",3291,0.55%
Mitsubishi Chemical Holdings Corporation,4188,0.55%
"Nitori Holdings Co., Ltd.",9843,0.53%
OMRON Corporation,6645,0.52%
BANDAI NAMCO Holdings Inc.,7832,0.51%
"JAPAN POST HOLDINGS Co., Ltd.",6178,0.5%
Terumo Corporation,4543,0.5%
"Otsuka Holdings Co., Ltd.",4578,0.5%
Mitsubishi Electric Corp.,6503,0.49%
"Japan Exchange Group, Inc.",8697,0.49%
Unicharm Corporation,8113,0.47%
"Nomura Research Institute,Ltd.",4307,0.47%
"Ricoh Company, Ltd.",7752,0.47%
"NEXON Co., Ltd.",3659,0.47%
"Kirin Holdings Company, Limited",2503,0.45%
Kajima Corporation,1812,0.45%
"Mizuho Financial Group, Inc.",8411,0.44%
"Sekisui House, Ltd.",1928,0.44%
"Shionogi & Co., Ltd.",4507,0.44%
"Eisai Co., Ltd.",4523,0.44%
"Oriental Land Co., Ltd.",4661,0.44%
Medipal Holdings Corporation,7459,0.43%
"T&D Holdings, Inc.",8795,0.42%
Japan Tobacco Inc.,2914,0.42%
"Capcom Co., Ltd.",9697,0.42%
"Mitsui & Co.,Ltd",8031,0.42%
Bridgestone Corporation,5108,0.41%
Nihon M&A Center Inc.,2127,0.41%
"CyberAgent, Inc.",4751,0.41%
"MonotaRO Co., Ltd.",3064,0.41%
ORIX Corporation,8591,0.4%
"Yamato Holdings Co., Ltd.",9064,0.39%
Z Holdings Corporation,4689,0.39%
"Asahi Group Holdings,Ltd.",2502,0.39%
"ONO Pharmaceutical Co., Ltd.",4528,0.38%
NIPPON PAINT HOLDINGS CO.LTD.,4612,0.38%
TDK Corporation,6762,0.38%
Kyocera Corporation,6971,0.37%
"OBIC Co., Ltd.",4684,0.37%
"Daifuku Co., Ltd.",6383,0.37%
INPEX CORPORATION,1605,0.37%
Shimano Inc.,7309,0.36%
"Asahi Intecc Co., Ltd.",7747,0.36%
DENSO CORPORATION,6902,0.36%
Renesas Electronics Corporation,6723,0.36%
Azbil Corporation,6845,0.35%
"Chubu Electric Power Company,Incorporated",9502,0.35%
"Welcia Holdings Co., Ltd.",3141,0.35%
Canon Inc.,7751,0.34%
"Daiwa House Industry Co., Ltd.",1925,0.34%
"TSURUHA Holdings, Inc.",3391,0.34%
NTT DATA Corporation,9613,0.33%
Misumi Group Inc.,9962,0.32%
Komatsu Ltd.,6301,0.32%
"Kobayashi Pharmaceutical Co., Ltd.",4967,0.32%
"Sumitomo Chemical Co., Ltd.",4005,0.31%
"Secom Co., Ltd.",9735,0.31%
"Square Enix Holdings Co., Ltd.",9684,0.3%
Kikkoman Corporation,2801,0.3%
Nitto Denko Corp.,6988,0.3%
COSMOS Pharmaceutical Corporation,3349,0.3%
Disco Corporation,6146,0.29%
Shimadzu Corporation,7701,0.29%
"Suzuken Co., Ltd.",9987,0.29%
Lasertec Corp.,6920,0.29%
"Nomura Holdings, Inc.",8604,0.29%
East Japan Railway Company,9020,0.29%
Oracle Corporation Japan,4716,0.28%
Mitsubishi UFJ Lease & Finance Company Limited,8593,0.28%
"Brother Industries, Ltd.",6448,0.28%
"Ajinomoto Co., Inc.",2802,0.28%
"Meiji Holdings Co., Ltd.",2269,0.28%
LIXIL Corporation,5938,0.28%
"SG Holdings Co., Ltd.",9143,0.27%
Pan Pacific International Holdings Corporation,7532,0.27%
"ITO EN,Ltd.",2593,0.27%
"Sompo Holdings,Inc.",8630,0.27%
Hamamatsu Photonics K.K.,6965,0.27%
Obayashi Corporation,1802,0.27%
Kubota Corporation,6326,0.27%
"Mitsubishi Estate Company, Limited",8802,0.27%
"Daito Trust Construction Co., Ltd.",1878,0.27%
Oji Holdings Corp.,3861,0.26%
Suzuki Motor Corp.,7269,0.26%
Suntory Beverage & Food Ltd.,2587,0.26%
"Sundrug Co., Ltd.",9989,0.26%
Yaskawa Electric Corporation,6506,0.26%
"SHIMAMURA Co., Ltd.",8227,0.26%
"Lawson, Inc.",2651,0.26%
Lion Corporation,4912,0.26%
TOTO Ltd,5332,0.26%
"Nissin Foods Holdings Co., Ltd.",2897,0.25%
"Toyo Suisan Kaisha, Ltd.",2875,0.25%
Kose Corporation,4922,0.25%
"Koei Tecmo Holdings Co., Ltd.",3635,0.25%
Otsuka Corporation,4768,0.25%
"Kakaku.com, Inc.",2371,0.24%
"Kyowa Kirin Co., Ltd.",4151,0.24%
Central Japan Railway Company,9022,0.24%
Nissan Chemical Corporation,4021,0.23%
"Miura Co., Ltd.",6005,0.22%
"Ryohin Keikaku Co., Ltd.",7453,0.22%
Hakuhodo Dy Holdings Incorporated,2433,0.22%
"TOKYO GAS Co., Ltd.",9531,0.22%
Trend Micro Incorporated,4704,0.22%
"Sekisui Chemical Co., Ltd.",4204,0.22%
Itochu Techno-Solutions Corporation,4739,0.22%
Rinnai Corporation,5947,0.21%
"Yamazaki Baking Co., Ltd.",2212,0.21%
"Kobe Bussan Co., Ltd.",3038,0.21%
"Toray Industries, Inc.",3402,0.2%
"ZOZO, Inc.",3092,0.2%
JSR Corp.,4185,0.2%
"TOHO GAS Co., Ltd.",9533,0.2%
Sumitomo Dainippon Pharma Co. Ltd.,4506,0.2%
"GMO Payment Gateway, Inc.",3769,0.19%
Pigeon Corporation,7956,0.19%
"Mitsui Fudosan Co., Ltd.",8801,0.19%
"Sumitomo Mitsui Trust Holdings, Inc.",8309,0.19%
"CALBEE, Inc.",2229,0.19%
Yokogawa Electric Corp.,6841,0.18%
"ABC-MART, INC.",2670,0.18%
PERSOL HOLDINGS CO. LTD.,2181,0.18%
"Santen Pharmaceutical Co., Ltd.",4536,0.18%
"Dai-ichi Life Holdings,Inc.",8750,0.17%
"IBIDEN CO., LTD.",4062,0.17%
"Mcdonalds Holdings Company Japan, Ltd.",2702,0.17%
"Mercari, Inc.",4385,0.17%
"Nippon Prologis REIT, Inc.",3283,0.17%
Toyota Industries Corp.,6201,0.17%
Pola Orbis Holdings Inc.,4927,0.17%
"Taisho Pharmaceutical Holdings Co., Ltd.",4581,0.16%
"Nomura Real Estate Holdings, Inc.",3231,0.16%
"MS&AD Insurance Group Holdings, Inc.",8725,0.16%
NH Foods Ltd.,2282,0.16%
Seiko Epson Corp.,6724,0.16%
Yamaha Corporation,7951,0.16%
"Hikari Tsushin, Inc.",9435,0.16%
"Mitsubishi Gas Chemical Company, Inc.",4182,0.15%
Makita Corporation,6586,0.15%
"ACOM Co., Ltd.",8572,0.15%
"Osaka Gas Co., Ltd.",9532,0.15%
Harmonic Drive Systems Inc.,6324,0.14%
Dentsu Group Inc.,4324,0.14%
"Yakult Honsha Co., Ltd.",2267,0.14%
