GTIP: Goldman Sachs Access Inflation Protected USD Bond ETF
Inception Date: 2018-10-02
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	37310
Shares Outstanding: 650000
Expense Ratio: 0.12%
Tracks This Index: BofA Merrill Lynch Global Diversified Inflation-Linked Index
ETFdb.com Category: Inflation-Protected Bonds
Issuer: Goldman Sachs
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GTIP


Holding,Symbol,Weighting
United States Treasury Notes 0.25% 15-JAN-2025,Other,11.42%
United States Treasury Notes 0.375% 15-JUL-2023,Other,11.16%
United States Treasury Notes 0.5% 15-JAN-2028,Other,9.92%
United States Treasury Bond 0.75% 15-FEB-2042,Other,8.96%
United States Treasury Notes 0.625% 15-JAN-2024,Other,6.14%
United States Treasury Notes 0.375% 15-JUL-2025,Other,5.57%
United States Treasury Notes 0.375% 15-JUL-2027,Other,5.55%
Government of the United States of America 0.125% 15-JAN-2030,Other,5.44%
Government of the United States of America 0.125% 15-OCT-2024,Other,5.24%
United States Treasury Notes 0.125% 15-APR-2022,Other,5.23%
Government of the United States of America 0.75% 15-JUL-2028,Other,5.06%
United States Treasury Bond 0.875% 15-FEB-2047,Other,4.48%
United States Treasury Notes 0.125% 15-JAN-2022,Other,3.24%
United States Treasury Bond 1.0% 15-FEB-2048,Other,3.08%
United States Treasury Notes 0.25% 15-JUL-2029,Other,2.26%
United States Treasury Bond 3.375% 15-APR-2032,Other,1.83%
United States Treasury Notes 0.125% 15-JUL-2022,Other,1.7%
United States Treasury Notes 0.625% 15-APR-2023,Other,1.54%
United States Treasury Notes 0.5% 15-APR-2024,Other,0.8%
United States Treasury Bond 3.875% 15-APR-2029,Other,0.66%
United States Treasury Bond 1.0% 15-FEB-2049,Other,0.54%
United States Treasury Bond 2.125% 15-FEB-2040,Other,0.18%
