GVAL: Cambria Global Value ETF
Inception Date: 2014-03-12
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	110313
Shares Outstanding: 5150000
Expense Ratio: 0.69%
Tracks This Index: n/a
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Cambria
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GVAL


Holding,Symbol,Weighting
iShares MSCI Colombia ETF,ICOL,8.31%
CAP S.A.,CAP,2.4%
Enel SpA,ENEL,2.26%
U.S. Dollar,Other,2.15%
CEZ as,CEZ,2.09%
Iberdrola SA,IBE,2.07%
EDP-Energias de Portugal SA,EDP,1.97%
KGHM Polska Miedz S.A.,KGH,1.86%
"Komercni banka, a.s.",KOMB,1.7%
Corticeira Amorim SGPS SA,COR,1.7%
MONETA Money Bank AS,MONET,1.64%
Public Power Corporation S.A.,PPC,1.6%
Philip Morris CR as,TABAK,1.51%
Wienerberger AG,WIE,1.5%
ALROSA PJSC,ALRS,1.5%
Jastrzebska Spolka Weglowa S.A.,JSW,1.42%
PFNonwovens a.s.,PEGAS,1.38%
BAWAG Group AG,BG,1.37%
voestalpine AG,VOE,1.37%
Karelia Tobacco Company Inc.,KARE,1.35%
Severstal PAO,CHMF,1.34%
Gazprom Neft PJSC,SIBN,1.29%
Hellenic Telecommunications Organization SA,HTO,1.29%
MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.,MOH,1.27%
Cencosud S.A.,CENCOSUD,1.23%
MYTILINEOS S.A.,MYTIL,1.16%
Eregli Demir ye celik Fabrikalari T.A.S.,EREGL,1.12%
TAURON Polska Energia S.A.,TPE,1.11%
Petkim Petrokimya Holding Anonim Sirketi,PETKM,1.1%
"Naturgy Energy Group, S.A.",NTGY,1.08%
UnipolSai Assicurazioni S.p.A.,US,1.06%
Rosneft Oil Co.,ROSN,1.05%
Endesa S.A.,ELE,1.02%
Unipol Gruppo S.p.A.,UNI,1.01%
Colbun S.A.,COLBUN,0.99%
Banco de Credito e Inversiones,BCI,0.99%
Intesa Sanpaolo S.p.A.,ISP,0.98%
Gazprom PJSC,GAZP,0.96%
Raiffeisen Bank International AG,RBI,0.96%
Yapi ve Kredi Bankasi A.S.,YKBNK,0.96%
Sberbank Russia PJSC,SBER,0.95%
Empresa Nacional de Telecomunicaciones S.A.,ENTEL,0.95%
IMMOFINANZ AG,IIA,0.91%
CapitaLand Limited,C31,0.9%
UNIQA Insurance Group AG,UQA,0.89%
Haci Omer Sabanci Holding A.S.,SAHOL,0.89%
Semapa Sociedade de Investimento e Gestao SGPS SA,SEM,0.88%
Telecom Italia S.p.A.,TIT,0.87%
GALP Energia SGPS SA Class B,GALP,0.87%
Acciona SA,ANA,0.85%
Koc Holding A.S.,KCHOL,0.85%
Oversea-Chinese Banking Corporation Limited,O39,0.85%
Compania Cervecerias Unidas S.A.,CCU,0.82%
City Developments Limited,C09,0.82%
Turkiye Is Bankasi Anonim Sirketi Class C,ISCTR,0.8%
Alior Bank SA,ALR,0.8%
Hellenic Petroleum SA,ELPE,0.8%
United Overseas Bank Ltd. (Singapore),U11,0.79%
Jumbo S.A.,BELA,0.77%
Turkiye Sise ve Cam Fabrikalari A.S.,SISE,0.77%
Unipro PJSC,UPRO,0.75%
PKO Bank Polski S.A.,PKO,0.75%
SATS Ltd,S58,0.75%
Akbank TAS,AKBNK,0.74%
Erste Group Bank AG,ERBAG,0.72%
PGE Polska Grupa Energetyczna S.A.,PGE,0.71%
UniCredit S.p.A.,UCG,0.7%
Navigator Company SA,NVG,0.69%
Enagas SA,ENG,0.69%
Atlantia S.p.A,ATL,0.68%
Eni S.p.A.,ENI,0.65%
Comfortdelgro Corporation Limited,C52,0.63%
Grupa LOTOS S.A.,LTS,0.62%
Turkiye Halk Bankasi Anonim Sirketi,HALKB,0.6%
Erste Group Bank AG,EBS,0.6%
Polski Koncern Naftowy ORLEN S.A.,PKN,0.59%
"Ferrovial, S.A.",FER,0.58%
Mapfre SA,MAP,0.57%
Jardine Cycle & Carriage Limited,C07,0.55%
BANK POLSKA KASA OPIEKI SA,PEO,0.55%
Sembcorp Industries Ltd.,U96,0.54%
Turkiye Vakiflar Bankasi Turk Anonim Ortakligi,VAKBN,0.52%
NOS SGPS SA,NOS,0.5%
CaixaBank SA,CABK,0.5%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.48%
"Jeronimo Martins, SGPS S.A.",JMT,0.48%
Santander Bank Polska SA,SPL,0.48%
Eurocash S.A.,EUR,0.47%
Golden Agri-Resources Ltd,E5H,0.47%
Singapore Airlines Ltd.,C6L,0.42%
Banco Santander S.A.,SAN,0.42%
LATAM Airlines Group SA,LTM,0.4%
ALTRI SGPS SA,ALTR,0.3%
Mota-Engil SGPS SA,EGL,0.28%
Sembcorp Marine Ltd,S51,0.24%
Redes Energeticas Nacionais SA,RENE,0.2%
International Bank for Reconstruction & Development 1.305% 07-OCT-2025,Other,0.03%
