GWX: SPDR S&P International Small Cap ETF
Inception Date: 2007-04-26
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	787588
Shares Outstanding: 22200000
Expense Ratio: 0.4%
Tracks This Index: S&P Developed Ex-U.S. Under USD2 Billion Index
ETFdb.com Category: Foreign Small & Mid Cap Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GWX


Holding,Symbol,Weighting
U.S. Dollar,Other,0.37%
Iwatani Corporation,8088,0.29%
William Hill PLC,WMH,0.2%
Nova Measuring Instruments Ltd,NVMI,0.2%
Premier Investment Corporation,8956,0.19%
Pets At Home Group Plc,PETS,0.19%
"Shochiku Co., Ltd.",9601,0.19%
"HMM CO.,LTD",011200,0.18%
"Hansol Chemical Co., Ltd",014680,0.17%
NIPPON REIT Investment Corp,3296,0.17%
Kanematsu Corporation,8020,0.17%
"Toagosei Co., Ltd.",4045,0.17%
"BayCurrent Consulting, Inc.",6532,0.16%
Nordic Semiconductor ASA,NOD,0.15%
Nakanishi Inc.,7716,0.15%
Nine Entertainment Co. Holdings Limited,NEC,0.15%
Vistry Group PLC,VTY,0.15%
"Penta-Ocean Construction Co., Ltd.",1893,0.15%
IGO Limited,IGO,0.14%
Lynas Rare Earths Limited,LYC,0.14%
Summerset Group Holdings Limited,SUM,0.14%
Fukuoka Reit Corporation,8968,0.14%
"NIKKON Holdings Co., Ltd.",9072,0.14%
OSB Group PLC,OSB,0.14%
Canadian Solar Inc.,CSIQ,0.14%
DTS Corporation,9682,0.14%
"Nitto Boseki Co., Ltd.",3110,0.14%
"Dowa Holdings Co., Ltd.",5714,0.14%
John Wood Group PLC,WG,0.14%
J D Wetherspoon plc,JDW,0.14%
"Mitsui Mining and Smelting Company, Limited",5706,0.14%
"Japan Steel Works, Ltd.",5631,0.13%
Future plc,FUTR,0.13%
DB HiTek Co. LTD,000990,0.13%
Hudbay Minerals Inc,HBM,0.13%
BPER Banca S.p.A.,BPE,0.13%
Kungsleden AB,KLED,0.13%
CS Wind Corp.,112610,0.13%
Jupiter Fund Management plc,JUP,0.13%
Electra Ltd,ELTR,0.13%
Tri Chemical Laboratories Inc.,4369,0.13%
Jumia Technologies AG Sponsored ADR,JMIA,0.12%
WH Smith PLC,SMWH,0.12%
Invocare Limited,IVC,0.12%
GS Yuasa Corporation,6674,0.12%
Nordex SE,NDX1,0.12%
TransAlta Corporation,TA,0.12%
"Daiwabo Holdings Co., Ltd.",3107,0.12%
Capital & Counties Properties PLC,CAPC,0.12%
Ascential Plc,ASCL,0.12%
Lindab International AB,LIAB,0.12%
MAG Silver Corp.,MAG,0.12%
Marshalls plc,MSLH,0.12%
Arcadis NV,ARCAD,0.12%
Tessenderlo Group N.V.,TESB,0.12%
AIXTRON SE,AIXA,0.12%
Drax Group plc,DRX,0.12%
FUJI CORPORATION,6134,0.12%
Materialise NV Sponsored ADR,MTLS,0.11%
Virgin Money UK PLC Shs Chess Depository,VUK,0.11%
Japan Hotel Reit Investment Corporation,8985,0.11%
"Tokyo Seimitsu Co., Ltd",7729,0.11%
Recipharm AB Class B,RECI.B,0.11%
Mobimo Holding AG,MOBN,0.11%
ARB Corporation Limited,ARB,0.11%
"Daewoong Co., Ltd.",003090,0.11%
CSR Limited,CSR,0.11%
Bavarian Nordic A/S,BAVA,0.11%
Vocus Group Limited,VOC,0.11%
Reliance Worldwide Corp. Ltd.,RWC,0.11%
Polynovo Limited,PNV,0.11%
Constellium SE Class A,CSTM,0.11%
Veidekke ASA,VEI,0.11%
"Kiyo Bank, Ltd.",8370,0.11%
Charter Hall Retail REIT,CQR,0.11%
Deutsche Pfandbriefbank AG,PBB,0.11%
PostNL NV,PNL,0.11%
Shopping Centres Australasia Property Group RE Ltd.,SCP,0.11%
Micro Focus International plc,MCRO,0.11%
Savills plc,SVS,0.11%
Greggs plc,GRG,0.11%
Mycronic AB,MYCR,0.11%
Instalco AB,INSTAL,0.11%
Kadokawa Corporation,9468,0.11%
Great Canadian Gaming Corporation,GC,0.11%
"ENF Technology Co., Ltd",102710,0.11%
Mando Corp,204320,0.11%
National Storage REIT,NSR,0.11%
Com2us Corporation,078340,0.11%
CANCOM SE,COK,0.11%
Cairn Energy PLC,CNE,0.11%
Labrador Iron Ore Royalty Corporation,LIF,0.11%
Solutions 30 SE,S30,0.11%
Eldorado Gold Corporation,ELD,0.11%
Sims Ltd.,SGM,0.11%
Dixons Carphone PLC,DC,0.11%
National Express Group PLC,NEX,0.11%
cocokara fine Inc.,3098,0.11%
Kindred Group plc Shs Swedish Depository Receipts,KIND,0.1%
Valora Holding AG,VALN,0.1%
"DCM Holdings Co., Ltd.",3050,0.1%
Schweiter Technologies AG,SWTQ,0.1%
Paragon Banking Group PLC,PAG,0.1%
"OCI Co., Ltd",010060,0.1%
Nanosonics Limited,NAN,0.1%
Systena Corporation,2317,0.1%
"RENOVA, Inc.",9519,0.1%
Chong Kun Dang Pharmaceutical Corp.,185750,0.1%
Kardex Holding AG,KARN,0.1%
Borregaard ASA,BRG,0.1%
FirstGroup plc,FGP,0.1%
Playtech plc,PTEC,0.1%
NKT A/S,NKT,0.1%
SKYCITY Entertainment Group Limited,SKC,0.1%
NORMA Group SE,NOEJ,0.1%
"TOKYU REIT, Inc.",8957,0.1%
Healius Limited,HLS,0.1%
Nichias Corporation,5393,0.1%
Kogan.com Ltd.,KGN,0.1%
JEOL Ltd.,6951,0.1%
CKD Corporation,6407,0.1%
Polypipe Group PLC,PLP,0.1%
ARC Resources Ltd.,ARX,0.1%
Falck Renewables S.p.A.,FKR,0.1%
"Soulbrain Co., Ltd.",357780,0.1%
"Asahi Holdings, Inc.",5857,0.1%
flatexDEGIRO AG,FTK,0.1%
Cerved Group SpA,CERV,0.1%
Knowit AB,KNOW,0.1%
"Japan Excellent, Inc.",8987,0.1%
Laurentian Bank of Canada,LB,0.1%
APPLUS SERVICES S.A.,APPS,0.1%
AO World Plc,AO,0.1%
Leeno Industrial Inc.,058470,0.1%
"Central Glass Co., Ltd.",4044,0.1%
Dufry AG,DUFN,0.1%
Osisko Gold Royalties Ltd,OR,0.1%
INDUS Holding AG,INH,0.1%
Whitecap Resources Inc.,WCP,0.1%
PageGroup PLC,PAGE,0.1%
Regis Resources Limited,RRL,0.1%
"Kotobuki Spirits Co., Ltd.",2222,0.1%
Criteo SA Sponsored ADR,CRTO,0.09%
"Milbon Co., Ltd.",4919,0.09%
Klovern AB Class B,KLOV.B,0.09%
HYUNDAI BIOSCIENCE CO. LTD.,048410,0.09%
"Katakura Industries Co., Ltd.",3001,0.09%
"JAFCO Group Co., Ltd.",8595,0.09%
Ushio Inc.,6925,0.09%
"Valor Holdings Co., Ltd.",9956,0.09%
Bodycote plc,BOY,0.09%
Rorze Corporation,6323,0.09%
Superior Plus Corp,SPB,0.09%
Perpetual Limited,PPT,0.09%
Tricon Residential Inc,TCN,0.09%
Digital Arts Inc.,2326,0.09%
Z Energy Ltd.,ZEL,0.09%
Bekaert SA,BEKB,0.09%
Okuma Corp.,6103,0.09%
"LOTTE Fine Chemical Co,. Ltd.",004000,0.09%
Morgan Advanced Materials plc,MGAM,0.09%
Pilbara Minerals Limited,PLS,0.09%
Premier Investments Limited,PMV,0.09%
Methanex Corporation,MX,0.09%
"Marudai Food Co., Ltd.",2288,0.09%
Ascott Residence Trust,HMN,0.09%
Goodman Property Trust,GMT,0.09%
Maruha Nichiro Corp.,1333,0.09%
"Fujitec Co., Ltd.",6406,0.09%
COMET Holding AG,COTN,0.09%
Challenger Limited,CGF,0.09%
ESR-REIT,J91U,0.09%
Bapcor Ltd,BAP,0.09%
Wing Tai Holdings Limited,W05,0.09%
"L & F Co., Ltd.",066970,0.09%
Redes Energeticas Nacionais SA,RENE,0.09%
Takara Holdings Inc.,2531,0.09%
"Kawasaki Kisen Kaisha, Ltd.",9107,0.09%
Zealand Pharma A/S,ZEAL,0.09%
NCC AB Class B,NCC.B,0.09%
"H.U.Group Holdings, Inc.",4544,0.09%
Eagers Automotive Limited,APE,0.09%
Bure Equity AB,BURE,0.09%
Technology One Limited,TNE,0.09%
Babcock International Group PLC,BAB,0.09%
ALTRI SGPS SA,ALTR,0.09%
MARTINREA International Inc.,MRE,0.09%
Fuji Soft Incorporated,9749,0.09%
"J. FRONT RETAILING Co., Ltd.",3086,0.09%
Aggreko plc,AGK,0.09%
"Nongshim Co., Ltd.",004370,0.09%
Invincible Investment Corp.,8963,0.09%
SSP Group Plc,SSPG,0.09%
Infomart Corporation,2492,0.09%
"Kenedix, Inc.",4321,0.09%
"Hanwa Co., Ltd.",8078,0.09%
Zymeworks Inc.,ZYME,0.09%
Fletcher Building Limited,FBU,0.09%
Aphria Inc,APHA,0.09%
Sapiens International Corporation NV,SPNS,0.09%
"Awa Bank, Ltd.",8388,0.09%
"JB Financial Group Co., Ltd.",175330,0.09%
Morneau Shepell Inc.,MSI,0.09%
"Faes Farma, S.A.",FAE,0.09%
Link Administration Holdings Ltd.,LNK,0.09%
"ST PHARM CO., LTD.",237690,0.09%
Sydbank A/S,SYDB,0.09%
"Daido Steel Co., Ltd.",5471,0.09%
JYP Entertainment Corp,035900,0.09%
Provident Financial PLC,PFG,0.09%
Fnac Darty SA,FNAC,0.09%
"NSD Co., Ltd.",9759,0.09%
Nano Dimension Ltd Sponsored ADR,NNDM,0.08%
Sandstorm Gold Ltd.,SSL,0.08%
Ingenia Communities Group,INA,0.08%
"Money Forward, Inc.",3994,0.08%
"Konica Minolta, Inc.",4902,0.08%
JENOPTIK AG,JEN,0.08%
SHINSUNG E&G Co.LTD.,011930,0.08%
"Kobe Steel, Ltd.",5406,0.08%
Norwegian Finans Holding ASA,NOFI,0.08%
Brewin Dolphin Holdings PLC,BRW,0.08%
Hazama Ando Corp.,1719,0.08%
Megaport Ltd.,MP1,0.08%
KATITAS CO. LTD.,8919,0.08%
EML Payments Ltd.,EML,0.08%
Ipsos SA,IPS,0.08%
Adeka Corp.,4401,0.08%
Albioma,ABIO,0.08%
"Hanssem Co., Ltd",009240,0.08%
Kitz Corporation,6498,0.08%
DIC Asset AG,DIC,0.08%
FILA Holdings Corp.,081660,0.08%
"LegoChem Biosciences, Inc.",141080,0.08%
Avon Rubber p.l.c.,AVON,0.08%
"Fuyo General Lease Co., Ltd.",8424,0.08%
Altus Group Limited,AIF,0.08%
Radware Ltd.,RDWR,0.08%
ANIMA Holding S.p.A.,ANIM,0.08%
Pfeiffer Vacuum Technology AG,PFV,0.08%
Cominar Real Estate Investment Trust,CUF.UT,0.08%
Sapporo Holdings Limited,2501,0.08%
Parkway Life Real Estate Investment Trust,C2PU,0.08%
Fujikura Ltd,5803,0.08%
Canfor Corporation,CFP,0.08%
Befesa SA,BFSA,0.08%
Gurit Holding AG,GUR,0.08%
"Makino Milling Machine Co., Ltd.",6135,0.08%
CECONOMY AG,CEC,0.08%
Wesdome Gold Mines Ltd.,WDO,0.08%
"Daishi Hokuetsu Financial Group, Inc.",7327,0.08%
SFA Engineering Corp.,056190,0.08%
"Taiyo Holdings Co., Ltd.",4626,0.08%
PointsBet Holdings Ltd.,PBH,0.08%
"NIPPON GAS Co., Ltd.",8174,0.08%
Credito Valtellinese SCARL,CVAL,0.08%
"Nippon Light Metal Holdings Co., Ltd.",5703,0.08%
New Gold Inc.,NGD,0.08%
