GXC: SPDR S&P China ETF
Inception Date: 2007-03-23
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1857850
Shares Outstanding: 14200000
Expense Ratio: 0.59%
Tracks This Index: S&P China BMI Index
ETFdb.com Category: China Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GXC


Holding,Symbol,Weighting
Alibaba Group Holding Ltd. Sponsored ADR,BABA,12.25%
Tencent Holdings Ltd.,700,11.99%
Meituan Class B,3690,4.47%
"JD.com, Inc. Sponsored ADR Class A",JD,2.3%
China Construction Bank Corporation Class H,939,2.09%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,1.99%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,1.79%
"Baidu, Inc. Sponsored ADR Class A",BIDU,1.73%
Xiaomi Corp. Class B,1810,1.65%
NIO Inc. Sponsored ADR Class A,NIO,1.5%
Industrial and Commercial Bank of China Limited Class H,1398,1.46%
"NetEase, Inc. Sponsored ADR",NTES,1.13%
Wuxi Biologics (Cayman) Inc.,2269,1.03%
"Kweichow Moutai Co., Ltd. Class A",600519,0.96%
TAL Education Group Sponsored ADR Class A,TAL,0.86%
China Mobile Limited,941,0.85%
"New Oriental Education & Technology Group, Inc. Sponsored ADR",EDU,0.81%
Bank of China Limited Class H,3988,0.79%
"China Merchants Bank Co., Ltd. Class H",3968,0.77%
"Yum China Holdings, Inc.",YUMC,0.72%
Geely Automobile Holdings Limited,175,0.54%
China Life Insurance Co. Ltd. Class H,2628,0.53%
"China Mengniu Dairy Co., Ltd.",2319,0.53%
BYD Company Limited Class H,1211,0.49%
"Sunny Optical Technology (Group) Co., Ltd.",2382,0.49%
Trip.com Group Ltd. Sponsored ADR,TCOM,0.47%
ANTA Sports Products Ltd.,2020,0.47%
"ZTO Express (Cayman), Inc. Sponsored ADR Class A",ZTO,0.46%
Shenzhou International Group Holdings Limited,2313,0.45%
"Wuliangye Yibin Co., Ltd. Class A",000858,0.43%
Li Ning Company Limited,2331,0.38%
China Resources Beer (Holdings) Co. Ltd.,291,0.38%
"Great Wall Motor Co., Ltd. Class H",2333,0.38%
CNOOC Limited,883,0.38%
China Resources Land Limited,1109,0.36%
"Bilibili, Inc. Sponsored ADR Class Z",BILI,0.35%
China Petroleum & Chemical Corporation Class H,386,0.34%
Country Garden Holdings Co. Ltd.,2007,0.34%
"China Pacific Insurance (Group) Co., Ltd. Class H",2601,0.34%
"Bank of Communications Co., Ltd. Class H",3328,0.34%
Vipshop Holdings Ltd Sponsored ADR,VIPS,0.33%
GDS Holdings Ltd. Sponsored ADR Class A,GDS,0.33%
Agricultural Bank of China Limited Class H,1288,0.33%
"BeiGene, Ltd. Sponsored ADR",BGNE,0.31%
Smoore International Holdings Limited,6969,0.31%
Sino Biopharmaceutical Limited,1177,0.31%
Zai Lab Ltd. Sponsored ADR,ZLAB,0.3%
"Kingdee International Software Group Co., Ltd.",268,0.3%
Xinyi Solar Holdings Ltd.,968,0.3%
"China Merchants Bank Co., Ltd. Class A",600036,0.3%
"Contemporary Amperex Technology Co., Ltd. Class A",300750,0.3%
"KE Holdings, Inc. Sponsored ADR Class A",BEKE,0.28%
"Ping An Insurance (Group) Company of China, Ltd. Class A",601318,0.28%
Longfor Group Holdings Ltd.,960,0.27%
Sunac China Holdings Ltd.,1918,0.27%
"Zijin Mining Group Co., Ltd. Class H",2899,0.26%
China Gas Holdings Limited,384,0.26%
Anhui Conch Cement Company Limited Class H,914,0.26%
China Conch Venture Holdings Ltd.,586,0.25%
China Overseas Land & Investment Limited,688,0.25%
WH Group Ltd. (HK),288,0.25%
Tencent Music Entertainment Group Sponsored ADR Class A,TME,0.24%
Country Garden Services Holdings Co. Ltd.,6098,0.24%
CSPC Pharmaceutical Group Limited,1093,0.24%
"Haier Smart Home Co., Ltd. Class H",6690,0.23%
PetroChina Company Limited Class H,857,0.22%
"Jiangsu Hengrui Medicine Co., Ltd. Class A",600276,0.22%
"Innovent Biologics, Inc.",1801,0.22%
China Shenhua Energy Co. Ltd. Class H,1088,0.22%
Kingsoft Corp. Ltd.,3888,0.21%
China Tower Corp. Ltd. Class H,788,0.21%
Yihai International Holding Ltd.,1579,0.21%
"Foshan Haitian Flavouring & Food Co., Ltd. Class A",603288,0.21%
China Tourism Group Duty Free Corporation Limited Class A,601888,0.2%
"Autohome, Inc. Sponsored ADR Class A",ATHM,0.19%
Lenovo Group Limited,992,0.19%
CITIC Securities Co. Ltd. Class H,6030,0.19%
Shandong Weigao Group Medical Polymer Co. Ltd. Class H,1066,0.19%
Xinyi Glass Holdings Limited,868,0.19%
"China Vanke Co., Ltd Class H",2202,0.19%
"Nongfu Spring Co., Ltd. Class H",9633,0.18%
China CITIC Bank Corporation Ltd Class H,998,0.18%
"Industrial Bank Co., Ltd. Class A",601166,0.18%
"WuXi AppTec Co., Ltd. Class A",603259,0.17%
Guangdong Investment Limited,270,0.17%
Huazhu Group Ltd. Sponsored ADR,HTHT,0.16%
Ping An Healthcare and Technology Company Limited,1833,0.16%
China National Building Material Co. Ltd. Class H,3323,0.16%
"Hengan International Group Co., Ltd.",1044,0.16%
Haidilao International Holding Ltd.,6862,0.16%
"Shenzhen Mindray Bio-Medical Electronics Co., Ltd. Class A",300760,0.16%
"China Yangtze Power Co., Ltd. Class A",600900,0.16%
"GSX Techedu, Inc. Sponsored ADR Class A",GSX,0.15%
State Street Institutional Liquid Reserves Fund,SSIXX,0.15%
Minth Group Limited,425,0.15%
Luxshare Precision Industry Co. Ltd. Class A,002475,0.15%
Want Want China Holdings Limited,151,0.15%
"China Biologic Products Holdings, Inc.",CBPO,0.15%
China Resources Gas Group Limited,1193,0.15%
"XPeng, Inc. ADR Sponsored Class A",XPEV,0.14%
Shanxi Xinghuacun Fen Wine Factory Co. Ltd. Class A,600809,0.14%
"Weichai Power Co., Ltd. Class H",2338,0.14%
"China Minsheng Banking Corp., Ltd. Class H",1988,0.14%
"S.F. Holding Co., Ltd. Class A",002352,0.14%
China Feihe Limited,6186,0.14%
"PICC Property & Casualty Co., Ltd. Class H",2328,0.14%
"iQIYI, Inc. Sponsored ADR Class A",IQ,0.13%
CIFI Holdings (Group) Co. Ltd.,884,0.13%
"Tsingtao Brewery Co., Ltd. Class H",168,0.13%
"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd. Class A",002304,0.13%
AAC Technologies Holdings Inc.,2018,0.13%
Agricultural Bank of China Limited Class A,601288,0.13%
"JD Health International, Inc.",6618,0.13%
"JOYY, Inc. Sponsored ADR Class A",YY,0.12%
Zhongsheng Group Holdings Ltd.,881,0.12%
"COSCO SHIPPING Holdings Co., Ltd. Class H",1919,0.12%
