HAP: VanEck Vectors Natural Resources ETF
Inception Date: 2008-08-29
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	52174
Shares Outstanding: 1350000
Expense Ratio: 0.5%
Tracks This Index: Van Eck Hard Assets Producers Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/HAP


Holding,Symbol,Weighting
Deere & Company,DE,9.07%
Corteva Inc,CTVA,3.12%
Archer-Daniels-Midland Company,ADM,3.02%
Nutrien Ltd.,NTR,2.95%
Kubota Corporation,6326,2.72%
Exxon Mobil Corporation,XOM,2.68%
Chevron Corporation,CVX,2.5%
BHP Group Ltd,BHP,2.08%
"Tyson Foods, Inc. Class A",TSN,2.04%
Tractor Supply Company,TSCO,1.76%
Rio Tinto plc,RIO,1.76%
Total SE,FP,1.68%
FMC Corporation,FMC,1.6%
CNH Industrial NV,CNHI,1.37%
Reliance Industries Limited Sponsored GDR 144A,RIGD,1.36%
Vale S.A. Sponsored ADR,VALE,1.24%
EQUITY OTHER,Other,1.12%
Wilmar International Limited,F34,1.08%
Mowi ASA,MOWI,1.08%
Newmont Corporation,NEM,1.03%
BP p.l.c.,BP,1.01%
Darling Ingredients Inc.,DAR,1.0%
Enbridge Inc.,ENB,1.0%
Bunge Limited,BG,0.98%
Royal Dutch Shell Plc Class B,RDSB,0.97%
"CF Industries Holdings, Inc.",CF,0.89%
Barrick Gold Corporation,GOLD,0.87%
Mosaic Company,MOS,0.85%
Anglo American plc,AAL,0.84%
"Freeport-McMoRan, Inc.",FCX,0.82%
Yara International ASA,YAR,0.77%
AGCO Corporation,AGCO,0.68%
ConocoPhillips,COP,0.66%
Fortescue Metals Group Ltd,FMG,0.65%
Sociedad Quimica Y Minera De Chile S.A. Sponsored ADR Pfd Class B,SQM,0.64%
TC Energy Corporation,TRP,0.59%
Ingredion Incorporated,INGR,0.57%
Vestas Wind Systems A/S,VWS,0.55%
Weyerhaeuser Company,WY,0.53%
Glencore plc,GLEN,0.53%
Gazprom PJSC Sponsored ADR,OGZD,0.52%
Franco-Nevada Corporation,FNV,0.51%
Neste Corporation,NESTE,0.48%
NOVATEK JSC Sponsored GDR RegS,NVTK,0.47%
Schlumberger NV,SLB,0.47%
Phillips 66,PSX,0.47%
"EOG Resources, Inc.",EOG,0.45%
Orsted,ORSTED,0.44%
Canadian Natural Resources Limited,CNQ,0.44%
Nisshin Seifun Group Inc.,2002,0.43%
POSCO,005490,0.43%
International Paper Company,IP,0.41%
Marathon Petroleum Corporation,MPC,0.41%
Kinder Morgan Inc Class P,KMI,0.41%
Oil company LUKOIL PJSC Sponsored ADR,LKOD,0.4%
MMC Norilsk Nickel PJSC ADR,MNOD,0.4%
Wheaton Precious Metals Corp,WPM,0.4%
Eni S.p.A.,ENI,0.4%
Suncor Energy Inc.,SU,0.39%
ICL Group Ltd.,ICL,0.39%
Bakkafrost P/F,BAKKA,0.38%
Agnico Eagle Mines Limited,AEM,0.37%
"Williams Companies, Inc.",WMB,0.37%
Valero Energy Corporation,VLO,0.36%
Nucor Corporation,NUE,0.35%
Newcrest Mining Limited,NCM,0.35%
Petroleo Brasileiro SA Sponsored ADR,PBR,0.32%
ArcelorMittal SA,MT,0.32%
E.ON SE,EOAN,0.29%
Pioneer Natural Resources Company,PXD,0.29%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB,0.29%
Packaging Corporation of America,PKG,0.28%
Equinor ASA,EQNR,0.28%
Gruma SAB de CV Class B,GRUMAB,0.27%
PPB Group Bhd.,4065,0.27%
Halliburton Company,HAL,0.26%
"Sumitomo Metal Mining Co., Ltd.",5713,0.26%
"ONEOK, Inc.",OKE,0.26%
Woodside Petroleum Ltd,WPL,0.26%
NIPPON STEEL CORP.,5401,0.26%
Surgutneftegas PJSC Sponsored ADR,SGGD,0.25%
Smurfit Kappa Group Plc,SKG,0.25%
Stora Enso Oyj Class R,STERV,0.25%
Occidental Petroleum Corporation,OXY,0.25%
Kirkland Lake Gold Ltd.,KL,0.25%
Repsol SA,REP,0.24%
WestRock Company,WRK,0.24%
Howmet Aerospace Inc.,HWM,0.24%
China Steel Corporation,2002,0.24%
Hong Kong & China Gas Co. Ltd.,3,0.24%
Mondi plc,MNDI,0.24%
"PTT Public Co., Ltd. NVDR",PTT.R,0.23%
CNOOC Limited,883,0.23%
Impala Platinum Holdings Limited,IMP,0.23%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.22%
Hess Corporation,HES,0.22%
Xylem Inc.,XYL,0.22%
"Cheniere Energy, Inc.",LNG,0.22%
IOI Corp. Bhd.,1961,0.21%
Baker Hughes Company Class A,BKR,0.21%
Boliden AB,BOL,0.21%
First Quantum Minerals Ltd.,FM,0.21%
AngloGold Ashanti Limited Sponsored ADR,AU,0.2%
PhosAgro PJSC Sponsored GDR RegS,PHOR,0.2%
South32 Ltd.,S32,0.2%
Pembina Pipeline Corporation,PPL,0.2%
Kuala Lumpur Kepong Bhd.,2445,0.2%
Kinross Gold Corporation,KGC,0.2%
"SolarEdge Technologies, Inc.",SEDG,0.19%
Atmos Energy Corporation,ATO,0.19%
Sibanye Stillwater Limited,SSW,0.19%
Polymetal International Plc,POLY,0.19%
China Petroleum & Chemical Corporation Class H,386,0.18%
Plug Power Inc.,PLUG,0.18%
Concho Resources Inc.,CXO,0.18%
Snam S.p.A.,SRG,0.18%
Teck Resources Limited Class B,TECK,0.18%
Gold Fields Limited Sponsored ADR,GFI,0.17%
"ENEOS Holdings, Inc.",5020,0.17%
Suzano S.A.,SUZB3,0.17%
