HAUZ: Xtrackers International Real Estate ETF
Inception Date: 2013-10-01
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	329320
Shares Outstanding: 12300000
Expense Ratio: 0.1%
Tracks This Index: iSTOXX Developed and Emerging Markets ex USA PK VN Real Estate Index
ETFdb.com Category: Global Real Estate
Issuer: DWS
Structure: 
ETF Home Page: https://etfdb.com/etf/HAUZ


Holding,Symbol,Weighting
Vonovia SE,VNA,3.64%
Goodman Group,GMG,2.33%
"Mitsubishi Estate Company, Limited",8802,2.08%
"Mitsui Fudosan Co., Ltd.",8801,1.88%
Sun Hung Kai Properties Limited,16,1.86%
Link Real Estate Investment Trust,823,1.8%
Deutsche Wohnen SE,DWNI,1.68%
SEGRO plc,SGRO,1.45%
"Sumitomo Realty & Development Co., Ltd.",8830,1.37%
CK Asset Holdings Limited,1113,1.24%
China Resources Land Limited,1109,1.11%
"SM Prime Holdings, Inc.",SMPH,1.08%
Scentre Group,SCG,1.07%
LEG Immobilien AG,LEG,1.05%
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,URW,0.98%
CapitaLand Integrated Commercial Trust,C38U,0.82%
Mirvac Group,MGR,0.77%
"Nippon Building Fund, Inc.",8951,0.76%
Dexus,DXS,0.75%
Japan Real Estate Investment Corp.,8952,0.75%
China Overseas Land & Investment Limited,688,0.74%
Stockland,SGP,0.74%
Wharf Real Estate Investment Co. Ltd.,1997,0.74%
Rightmove plc,RMV,0.73%
Aroundtown SA,AT1,0.7%
Swiss Prime Site AG,SPSN,0.69%
Gecina SA,GFC,0.68%
Ayala Land Inc.,ALI,0.65%
"Nomura Real Estate Master Fund, Inc.",3462,0.63%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UT,0.63%
Ascendas Real Estate Investment Trust,A17U,0.63%
Land Securities Group PLC,LAND,0.61%
New World Development Co. Ltd.,17,0.61%
"Nippon Prologis REIT, Inc.",3283,0.61%
CapitaLand Limited,C31,0.6%
"Daito Trust Construction Co., Ltd.",1878,0.6%
GLP-J REIT,3281,0.58%
Castellum AB,CAST,0.58%
PSP Swiss Property AG,PSPN,0.58%
GPT Group,GPT,0.57%
"Hulic Co., Ltd.",3003,0.56%
ESR Cayman Ltd.,1821,0.55%
"China Vanke Co., Ltd Class H",2202,0.55%
British Land Company PLC,BLND,0.55%
Vicinity Centres,VCX,0.54%
REA Group Ltd,REA,0.54%
Charter Hall Group,CHC,0.51%
Fastighets AB Balder Class B,BALD.B,0.51%
Covivio SA,COV,0.51%
Central Pattana Public Co. Ltd. NVDR,CPN.R,0.5%
Henderson Land Development Co. Ltd.,12,0.47%
Ayala Corp.,AC,0.47%
Hang Lung Properties Limited,101,0.47%
Klepierre SA,LI,0.47%
Daiwa House REIT Investment Corporation,8984,0.47%
FirstService Corp,FSV,0.46%
Hongkong Land Holdings Limited,H78,0.45%
U.S. Dollar,Other,0.44%
UNITE Group plc,UTG,0.44%
Japan Retail Fund Investment Corporation,8953,0.44%
Kojamo Oyj,KOJAMO,0.43%
Warehouses De Pauw SCA,WDP,0.43%
TAG Immobilien AG,TEG,0.43%
ORIX JREIT Inc.,8954,0.43%
Fibra Uno Administracion SA de CV,FUNO11,0.43%
Mapletree Logistics Trust,M44U,0.41%
Fabege AB,FABG,0.41%
Derwent London plc,DLN,0.4%
Sino Land Co. Ltd.,83,0.4%
Advance Residence Investment Corporation,3269,0.39%
RioCan Real Estate Investment Trust,REI.UT,0.39%
Cofinimmo SA,COFB,0.38%
Tritax Big Box REIT Plc,BBOX,0.37%
L E Lundbergforetagen AB Class B,LUND.B,0.37%
Aedifica SA,AED,0.37%
Entra ASA,ENTRA,0.36%
United Urban Investment Corporation,8960,0.36%
Allied Properties Real Estate Investment Trust,AP.UT,0.35%
Industrial & Infrastructure Fund Investment Corporation,3249,0.35%
"MERLIN Properties SOCIMI, S.A.",MRL,0.34%
Mapletree Industrial Trust,ME8U,0.34%
Mapletree Commercial Trust,N2IU,0.33%
Samhallsbyggnadsbolaget I Norden AB Class B,SBB.B,0.33%
Granite Real Estate Investment Trust Stapled Units - 1 Granite RE Inc + 1 TU Granite REIT,GRT.UT,0.33%
Colliers International Group Inc.,CIGI,0.32%
AB Sagax Class B,SAGA.B,0.31%
Wallenstam AB Class B,WALL.B,0.31%
Frasers Logistics & Commercial Trust,BUOU,0.3%
DLF Limited,532868,0.3%
alstria office REIT-AG,AOX,0.3%
Allreal Holding AG,ALLN,0.3%
Japan Prime Realty Investment Corporation,8955,0.3%
Tokyu Fudosan Holdings Corp.,3289,0.3%
Wihlborgs Fastigheter AB,WIHL,0.29%
Swire Properties Limited,1972,0.29%
Sekisui House Reit. Inc.,3309,0.29%
H&R Real Estate Investment Trust,HR.UT,0.28%
ADLER Group SA,ADJ,0.27%
"Relo Group, Inc.",8876,0.27%
Kenedix Office Investment Corporation,8972,0.27%
"Tokyo Tatemono Co., Ltd.",8804,0.27%
China Jinmao Holdings Group Limited,817,0.27%
LondonMetric Property Plc,LMP,0.27%
City Developments Limited,C09,0.27%
"Activia Properties, Inc.",3279,0.27%
UOL Group Limited,U14,0.26%
Nippon Accommodations Fund Inc.,3226,0.26%
Keppel DC REIT,AJBU,0.26%
Assura PLC,AGR,0.26%
Grand City Properties SA,GYC,0.25%
