HMOP: Hartford Municipal Opportunities ETF
Inception Date: 2017-12-13
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	137740
Shares Outstanding: 3300000
Expense Ratio: 0.3%
Tracks This Index: n/a
ETFdb.com Category: National Munis
Issuer: Hartford Funds
Structure: ETF
ETF Home Page: https://etfdb.com/etf/HMOP


Holding,Symbol,Weighting
West Palm Beach Fla Util Sys Rev VAR 01-OCT-2038,Other,4.34%
MUNICIPAL BONDS,Other,3.78%
Triborough Brdg & Tunl Auth Ny Revs VAR 01-NOV-2032,Other,2.11%
U.S. Dollar,Other,2.06%
Alabama St Port Auth Docks Facs Rev 5.0% 01-OCT-2026,Other,1.46%
Oregon St Hsg & Cmnty Svcs Dept Mtg Rev 4.5% 01-JUL-2049,Other,1.3%
New York N Y VAR 01-AUG-2044,Other,1.26%
Utah Tran Auth Sales Tax Rev 5.25% 15-JUN-2029,Other,1.26%
Metropolitan Transn Auth N Y Dedicated Tax Fd 5.0% 01-MAR-2022,Other,1.23%
Chicago Ill Tran Auth Sales Tax Rcpts Rev 5.0% 01-DEC-2021,Other,1.17%
California St VAR 01-MAY-2040,Other,1.13%
Buckeye Ohio Tob Settlement Fing Auth 5.0% 01-JUN-2055,Other,1.09%
New York N Y City Indl Dev Agy Arpt Facs Rev 5.0% 01-JUL-2022,Other,1.08%
Triborough Brdg & Tunl Auth Ny Revs VAR 01-JAN-2032,Other,1.04%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2032,Other,1.03%
Park Creek Met Dist Colo Rev 5.0% 01-DEC-2029,Other,1.0%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2037,Other,1.0%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2038,Other,0.99%
Illinois St Sales Tax Rev 5.0% 15-JUN-2022,Other,0.99%
Orange Cnty Fla Tourist Dev Tax Rev 5.0% 01-OCT-2027,Other,0.96%
Salt Lake City Utah Arpt Rev 5.0% 01-JUL-2029,Other,0.95%
Mississippi St Gaming Tax Rev 5.0% 15-OCT-2029,Other,0.94%
South Carolina St Ports Auth Ports Rev 5.0% 01-JUL-2033,Other,0.94%
Los Angeles Calif Dept Arpts Rev 4.0% 15-MAY-2035,Other,0.93%
Municipal Elec Auth Ga 5.0% 01-JAN-2028,Other,0.92%
Port Seattle Wash Rev 5.0% 01-MAY-2033,Other,0.91%
Metropolitan Transn Auth N Y Rev VAR 15-NOV-2045,Other,0.91%
Greater Orlando Aviation Auth Orlando Fla Arpt Facs Rev 5.0% 01-OCT-2037,Other,0.91%
Public Fin Auth Wis Student Hsg Rev 5.0% 01-JUL-2036,Other,0.91%
Michigan St Hsg Dev Auth Single Family Mtg Rev 4.25% 01-JUN-2049,Other,0.89%
Sales Tax Securitization Corp Ill 5.0% 01-JAN-2037,Other,0.89%
"Massachusetts Educational Financing Authority, Issue I, Series 2014  2014_57563 5.0% 01-JAN-2025",Other,0.88%
Pennsylvania Hsg Fin Agy Single Family Mtg Rev 4.0% 01-OCT-2038,Other,0.84%
Regional Transn Auth Ill 6.0% 01-JUL-2024,Other,0.84%
Illinois St 5.0% 01-MAR-2021,Other,0.79%
Colorado Health Facs Auth Rev 5.0% 01-AUG-2044,Other,0.77%
Port Seattle Wash Rev 5.0% 01-JUN-2030,Other,0.76%
American Mun Pwr Ohio Inc Rev VAR 15-FEB-2038,Other,0.76%
South Dakota Hsg Dev Auth 4.5% 01-NOV-2048,Other,0.76%
Connecticut St Hsg Fin Auth Hsg Mtg Fin Prog 4.25% 15-MAY-2042,Other,0.73%
Wisconsin St Health & Edl Facs Auth Rev 5.0% 01-NOV-2039,Other,0.68%
Pennsylvania St Higher Edl Facs Auth Rev 5.0% 01-MAY-2037,Other,0.68%
Oklahoma Dev Fin Auth Rev 1.625% 06-JUL-2023,Other,0.68%
Port Auth N Y & N J 5.0% 01-NOV-2038,Other,0.67%
Illinois St 5.25% 01-DEC-2030,Other,0.66%
Missouri St Hsg Dev Commn Single Family Mtg Rev 3.5% 01-NOV-2050,Other,0.62%
Public Fin Auth Wis Retirement Fac Rev 5.0% 01-OCT-2043,Other,0.61%
Duluth Minn Indpt Sch Dist No 709 Ctfs Partn 5.0% 01-FEB-2022,Other,0.59%
Polk Cnty Fla Indl Dev Auth Retirement Fac Rev 5.0% 01-JAN-2029,Other,0.59%
Orange Cnty Fla Tourist Dev Tax Rev 5.0% 01-OCT-2024,Other,0.59%
Erie Pa City Sch Dist 5.0% 01-APR-2028,Other,0.57%
St Louis Cnty Mo Indl Dev Auth Sr Living Facs Rev 5.0% 01-SEP-2028,Other,0.56%
Troy Univ Ala Facs Rev 5.0% 01-NOV-2023,Other,0.56%
Palm Beach Cnty Fla Health Facs Auth Rev 2.625% 01-JUN-2025,Other,0.55%
Philadelphia Pa 5.0% 01-FEB-2035,Other,0.54%
Iowa Fin Auth Rev 5.0% 15-FEB-2027,Other,0.54%
Houston Tex Hotel Occupancy Tax & Spl Rev 0.0% 01-SEP-2025,Other,0.54%
Puerto Rico Sales Tax Fing Corp Sales Tax Rev 5.0% 01-JUL-2058,Other,0.53%
Massachusetts St Dev Fin Agy Rev 5.0% 01-JUL-2034,Other,0.53%
Philadelphia Pa Sch Dist 5.0% 01-SEP-2032,Other,0.52%
Salt Lake Cnty Utah Hosp Rev 5.125% 15-FEB-2033,Other,0.52%
Michigan St Hsg Dev Auth Single Family Mtg Rev 4.25% 01-DEC-2049,Other,0.52%
