HNDL: NASDAQ 7HANDL Index ETF
Inception Date: 2018-01-17
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	181616
Shares Outstanding: 7125000
Expense Ratio: 1.2%
Tracks This Index: NASDAQ 7 HANDL™ Index
ETFdb.com Category: Diversified Portfolio
Issuer: Strategy Shares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/HNDL


Holding,Symbol,Weighting
U.S. Dollar,Other,11.17%
SPDR Portfolio Aggregate Bond ETF,SPAB,10.29%
Schwab US Aggregate Bond ETF,SCHZ,10.27%
Vanguard Total Bond Market ETF,BND,10.27%
Hartford Total Return Bond ETF,HTRB,7.38%
iShares MBS ETF,MBB,7.36%
Global X NASDAQ 100 Covered Call ETF,QYLD,6.96%
Invesco QQQ Trust,QQQ,6.85%
Xtrackers USD High Yield Corporate Bond ETF,HYLB,5.95%
Vanguard Intermediate-Term Corporate Bond ETF,VCIT,5.14%
Global X U.S. Preferred ETF,PFFD,4.39%
Invesco Taxable Municipal Bond ETF,BAB,3.03%
Vanguard Total Stock Market ETF,VTI,2.28%
iShares Core S&P Total U.S. Stock Market ETF,ITOT,2.26%
Vanguard S&P 500 ETF,VOO,2.25%
Fidelity MSCI Utilities Index ETF,FUTY,1.39%
Vanguard Dividend Appreciation ETF,VIG,1.12%
WisdomTree 90/60 U.S. Balanced Fund,NTSX,0.96%
Global X MLP ETF,MLPA,0.46%
Schwab U.S. REIT ETF,SCHH,0.22%
