HYLB: Xtrackers USD High Yield Corporate Bond ETF
Inception Date: 2016-12-07
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	7477690
Shares Outstanding: 149500000
Expense Ratio: 0.15%
Tracks This Index: Solactive USD High Yield Corporates Total Market Index
ETFdb.com Category: High Yield Bonds
Issuer: DWS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/HYLB


Holding,Symbol,Weighting
CORPORATE BOND,Other,6.13%
Altice France SA 7.375% 01-MAY-2026,Other,0.49%
Sprint Corp. 7.875% 15-SEP-2023,Other,0.42%
"TransDigm, Inc. 6.25% 15-MAR-2026",Other,0.4%
Carnival Corporation 11.5% 01-APR-2023,Other,0.39%
Ford Motor Company 9.0% 22-APR-2025,Other,0.38%
Ford Motor Company 8.5% 21-APR-2023,Other,0.35%
Centene Corporation 4.625% 15-DEC-2029,Other,0.34%
"Colt Merger Sub, Inc. 6.25% 01-JUL-2025",Other,0.32%
CCO Holdings LLC 5.125% 01-MAY-2027,Other,0.29%
CCO Holdings LLC 4.75% 01-MAR-2030,Other,0.28%
Teva Pharmaceutical Finance Netherlands III BV 3.15% 01-OCT-2026,Other,0.28%
VRX Escrow Corp. 6.125% 15-APR-2025,Other,0.28%
CCO Holdings LLC 4.25% 01-FEB-2031,Other,0.28%
CCO Holdings LLC 4.5% 01-MAY-2032,Other,0.27%
"HCA, Inc. 5.375% 01-FEB-2025",Other,0.26%
Teva Pharmaceutical Finance Netherlands III BV 2.8% 21-JUL-2023,Other,0.26%
Occidental Petroleum Corporation 2.9% 15-AUG-2024,Other,0.26%
Altice Financing SA 7.5% 15-MAY-2026,Other,0.25%
"American Airlines, Inc. 11.75% 15-JUL-2025",Other,0.25%
Sprint Corp. 7.125% 15-JUN-2024,Other,0.25%
"HCA, Inc. 3.5% 01-SEP-2030",Other,0.25%
CCO Holdings LLC 4.5% 15-AUG-2030,Other,0.25%
"TransDigm, Inc. 5.5% 15-NOV-2027",Other,0.24%
Royal Caribbean Group 11.5% 01-JUN-2025,Other,0.23%
CCO Holdings LLC 5.0% 01-FEB-2028,Other,0.23%
Centene Corporation 4.25% 15-DEC-2027,Other,0.23%
CCOH Safari LLC 5.75% 15-FEB-2026,Other,0.23%
"Sprint Communications, Inc. 6.0% 15-NOV-2022",Other,0.22%
Western Digital Corporation 4.75% 15-FEB-2026,Other,0.22%
"CSC Holdings, LLC 5.75% 15-JAN-2030",Other,0.22%
Tenet Healthcare Corporation 6.125% 01-OCT-2028,Other,0.22%
Diamond Sports Group LLC 5.375% 15-AUG-2026,Other,0.22%
"CSC Holdings, LLC 4.625% 01-DEC-2030",Other,0.21%
Uniti Group LP 7.875% 15-FEB-2025,Other,0.21%
"Community Health Systems, Inc. 8.0% 15-MAR-2026",Other,0.2%
Tenet Healthcare Corporation 4.875% 01-JAN-2026,Other,0.2%
"Netflix, Inc. 5.875% 15-NOV-2028",Other,0.2%
Connect Finco SARL 6.75% 01-OCT-2026,Other,0.19%
"Par Pharmaceutical, Inc. 7.5% 01-APR-2027",Other,0.19%
Intesa Sanpaolo S.p.A. 5.017% 26-JUN-2024,Other,0.19%
Newell Brands Inc 4.7% 01-APR-2026,Other,0.19%
DISH DBS Corporation 7.75% 01-JUL-2026,Other,0.19%
DISH DBS Corporation 5.875% 15-NOV-2024,Other,0.19%
U.S. Dollar,Other,0.18%
Kraft Heinz Foods Co. 3.0% 01-JUN-2026,Other,0.18%
Clarios Global LP 8.5% 15-MAY-2027,Other,0.18%
"SS&C Technologies, Inc. 5.5% 30-SEP-2027",Other,0.18%
"Colt Merger Sub, Inc. 8.125% 01-JUL-2027",Other,0.18%
Centene Corporation 3.375% 15-FEB-2030,Other,0.18%
"Staples, Inc. 7.5% 15-APR-2026",Other,0.18%
