IBDD: iShares iBonds Mar 2023 Corporate ETF
Inception Date: 2013-07-09
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	72208
Shares Outstanding: 2650000
Expense Ratio: 0.1%
Tracks This Index: Barclays 2023 Maturity Corporate Index
ETFdb.com Category: Corporate Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBDD


Holding,Symbol,Weighting
iShares iBonds Mar 2023 Term Corporate ex-Financials ETF,IBCE,4.51%
BlackRock Cash Funds Treasury SL Agency Shares,Other,2.61%
Bank of America Corporation 3.3% 11-JAN-2023,Other,0.96%
Wells Fargo & Company 2.625% 22-JUL-2022,Other,0.88%
AbbVie Inc. 2.9% 06-NOV-2022,Other,0.76%
"Goldman Sachs Group, Inc. 3.625% 22-JAN-2023",Other,0.74%
Morgan Stanley 3.75% 25-FEB-2023,Other,0.74%
"Goldman Sachs Group, Inc. 3.0% 26-APR-2022",Other,0.7%
JPMorgan Chase & Co. 3.25% 23-SEP-2022,Other,0.7%
Wells Fargo & Company 3.069% 24-JAN-2023,Other,0.69%
Morgan Stanley 2.75% 19-MAY-2022,Other,0.67%
Bristol-Myers Squibb Company 3.55% 15-AUG-2022,Other,0.65%
Charter Communications Operating LLC 4.464% 23-JUL-2022,Other,0.65%
Oracle Corporation 2.5% 15-MAY-2022,Other,0.65%
Oracle Corporation 2.5% 15-OCT-2022,Other,0.63%
Morgan Stanley 4.875% 01-NOV-2022,Other,0.62%
"Anthem, Inc. 3.3% 15-JAN-2023",Other,0.57%
Bank of Montreal 2.55% 06-NOV-2022,Other,0.57%
Pacific Gas and Electric Company 1.75% 16-JUN-2022,Other,0.56%
Bank of America Corporation 2.503% 21-OCT-2022,Other,0.55%
John Deere Capital Corporation 2.8% 06-MAR-2023,Other,0.55%
Cooperatieve Rabobank UA 3.95% 09-NOV-2022,Other,0.54%
Novartis Capital Corp. 2.4% 21-SEP-2022,Other,0.54%
JPMorgan Chase & Co. 3.2% 25-JAN-2023,Other,0.51%
Phillips 66 4.3% 01-APR-2022,Other,0.5%
GlaxoSmithKline Capital Plc 2.85% 08-MAY-2022,Other,0.5%
Intel Corporation 2.7% 15-DEC-2022,Other,0.5%
Chevron Corporation 2.355% 05-DEC-2022,Other,0.5%
International Business Machines Corporation 1.875% 01-AUG-2022,Other,0.49%
"Altria Group, Inc. 2.85% 09-AUG-2022",Other,0.49%
"Mitsubishi UFJ Financial Group, Inc. 2.665% 25-JUL-2022",Other,0.49%
Visa Inc. 2.8% 14-DEC-2022,Other,0.48%
Citigroup Inc. 2.75% 25-APR-2022,Other,0.47%
"Capital One Bank (USA), National Association 3.375% 15-FEB-2023",Other,0.47%
"Sumitomo Mitsui Financial Group, Inc. 2.784% 12-JUL-2022",Other,0.47%
AT&T Inc. 3.0% 30-JUN-2022,Other,0.46%
Toyota Motor Credit Corporation 2.9% 30-MAR-2023,Other,0.44%
Wells Fargo & Company 3.45% 13-FEB-2023,Other,0.44%
Caterpillar Inc. 2.6% 26-JUN-2022,Other,0.43%
AbbVie Inc. 3.25% 01-OCT-2022,Other,0.43%
Shell International Finance BV 2.375% 21-AUG-2022,Other,0.43%
"Sumitomo Mitsui Financial Group, Inc. 3.102% 17-JAN-2023",Other,0.43%
AbbVie Inc. 2.3% 21-NOV-2022,Other,0.42%
CVS Health Corporation 3.5% 20-JUL-2022,Other,0.42%
Deutsche Bank AG 3.95% 27-FEB-2023,Other,0.41%
3M Company 2.0% 26-JUN-2022,Other,0.41%
U.S. Bancorp 2.95% 15-JUL-2022,Other,0.41%
Credit Suisse Group Funding (Guernsey) Ltd. 3.8% 15-SEP-2022,Other,0.41%
QUALCOMM Incorporated 3.0% 20-MAY-2022,Other,0.4%
"GlaxoSmithKline Capital, Inc. 2.8% 18-MAR-2023",Other,0.4%
Omnicom Group Inc 3.625% 01-MAY-2022,Other,0.4%
Bank of Nova Scotia 2.0% 15-NOV-2022,Other,0.4%
Barclays Plc 3.684% 10-JAN-2023,Other,0.4%
