IBDN: iShares iBonds Dec 2022 Corporate ETF
Inception Date: 2015-03-10
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1423980
Shares Outstanding: 55800000
Expense Ratio: 0.1%
Tracks This Index: Barclays December 2022 Maturity Corporate Index
ETFdb.com Category: Corporate Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBDN


Holding,Symbol,Weighting
MUTUAL FUND (OTHER),Other,1.63%
"Goldman Sachs Group, Inc. 5.75% 24-JAN-2022",Other,1.09%
AbbVie Inc. 2.9% 06-NOV-2022,Other,0.89%
Wells Fargo & Company 2.625% 22-JUL-2022,Other,0.85%
AbbVie Inc. 2.3% 21-NOV-2022,Other,0.71%
Charter Communications Operating LLC 4.464% 23-JUL-2022,Other,0.71%
JPMorgan Chase & Co. 3.25% 23-SEP-2022,Other,0.69%
Morgan Stanley 2.75% 19-MAY-2022,Other,0.68%
Cooperatieve Rabobank UA 3.875% 08-FEB-2022,Other,0.61%
"Goldman Sachs Group, Inc. 3.0% 26-APR-2022",Other,0.6%
JPMorgan Chase & Co. 4.5% 24-JAN-2022,Other,0.59%
Oracle Corporation 2.5% 15-OCT-2022,Other,0.58%
Wells Fargo & Company 3.5% 08-MAR-2022,Other,0.56%
AbbVie Inc. 3.45% 15-MAR-2022,Other,0.56%
Citigroup Inc. 4.5% 14-JAN-2022,Other,0.55%
"Mitsubishi UFJ Financial Group, Inc. 2.623% 18-JUL-2022",Other,0.55%
Oracle Corporation 2.5% 15-MAY-2022,Other,0.55%
Bank of America Corporation 2.503% 21-OCT-2022,Other,0.54%
Morgan Stanley 4.875% 01-NOV-2022,Other,0.53%
Pacific Gas and Electric Company 1.75% 16-JUN-2022,Other,0.52%
International Business Machines Corporation 2.85% 13-MAY-2022,Other,0.51%
Citigroup Inc. 2.75% 25-APR-2022,Other,0.5%
Visa Inc. 2.8% 14-DEC-2022,Other,0.5%
Credit Suisse Group Funding (Guernsey) Ltd. 3.8% 15-SEP-2022,Other,0.49%
"Altria Group, Inc. 2.85% 09-AUG-2022",Other,0.48%
AT&T Inc. 3.0% 30-JUN-2022,Other,0.48%
Barclays Bank PLC 1.7% 12-MAY-2022,Other,0.46%
"NextEra Energy Capital Holdings, Inc. 2.9% 01-APR-2022",Other,0.45%
GlaxoSmithKline Capital Plc 2.85% 08-MAY-2022,Other,0.45%
Citigroup Inc. 2.7% 27-OCT-2022,Other,0.44%
Lloyds Banking Group plc 3.0% 11-JAN-2022,Other,0.44%
