IBDQ: iShares iBonds Dec 2025 Corporate ETF
Inception Date: 2015-03-11
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	954215
Shares Outstanding: 34950000
Expense Ratio: 0.1%
Tracks This Index: Barclays December 2025 Maturity Corporate Index
ETFdb.com Category: Corporate Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBDQ


Holding,Symbol,Weighting
CORPORATE BOND,Other,1.23%
Charter Communications Operating Capital Corp. 4.908% 23-JUL-2025,Other,0.97%
Visa Inc. 3.15% 14-DEC-2025,Other,0.83%
AbbVie Inc. 3.6% 14-MAY-2025,Other,0.72%
CVS Health Corporation 3.875% 20-JUL-2025,Other,0.69%
"T-Mobile USA, Inc. 3.5% 15-APR-2025",Other,0.67%
Morgan Stanley 4.0% 23-JUL-2025,Other,0.65%
Boeing Company 4.875% 01-MAY-2025,Other,0.63%
Microsoft Corporation 3.125% 03-NOV-2025,Other,0.63%
Comcast Corporation 3.95% 15-OCT-2025,Other,0.62%
JPMorgan Chase & Co. 3.9% 15-JUL-2025,Other,0.62%
Shell International Finance BV 3.25% 11-MAY-2025,Other,0.6%
Broadcom Inc. 4.7% 15-APR-2025,Other,0.59%
"Goldman Sachs Group, Inc. 3.5% 23-JAN-2025",Other,0.57%
Oracle Corporation 2.95% 15-MAY-2025,Other,0.57%
"Anheuser-Busch Inbev Worldwide, Inc. 4.15% 23-JAN-2025",Other,0.57%
Verizon Communications Inc. 3.376% 15-FEB-2025,Other,0.55%
Hewlett Packard Enterprise Company 4.9% 15-OCT-2025,Other,0.55%
Intel Corporation 3.7% 29-JUL-2025,Other,0.55%
Wells Fargo & Company 3.55% 29-SEP-2025,Other,0.55%
JPMorgan Chase & Co. 3.125% 23-JAN-2025,Other,0.54%
Credit Suisse Group Funding (Guernsey) Ltd. 3.75% 26-MAR-2025,Other,0.53%
Bank of America Corporation 3.95% 21-APR-2025,Other,0.52%
Bank of America Corporation 4.0% 22-JAN-2025,Other,0.52%
Citigroup Inc. 4.4% 10-JUN-2025,Other,0.51%
Bristol-Myers Squibb Company 3.875% 15-AUG-2025,Other,0.51%
"Goldman Sachs Group, Inc. 3.75% 22-MAY-2025",Other,0.5%
"Goldman Sachs Group, Inc. 4.25% 21-OCT-2025",Other,0.49%
Wells Fargo & Company 3.0% 19-FEB-2025,Other,0.49%
"Mitsubishi UFJ Financial Group, Inc. 2.193% 25-FEB-2025",Other,0.48%
Reynolds American Inc. 4.45% 12-JUN-2025,Other,0.47%
Morgan Stanley 5.0% 24-NOV-2025,Other,0.46%
UnitedHealth Group Incorporated 3.75% 15-JUL-2025,Other,0.46%
Sabine Pass Liquefaction LLC 5.625% 01-MAR-2025,Other,0.46%
Oracle Corporation 2.5% 01-APR-2025,Other,0.45%
"Goldman Sachs Group, Inc. 3.5% 01-APR-2025",Other,0.45%
Barclays Plc 3.65% 16-MAR-2025,Other,0.45%
"Zimmer Biomet Holdings, Inc. 3.55% 01-APR-2025",Other,0.45%
AstraZeneca PLC 3.375% 16-NOV-2025,Other,0.44%
Apple Inc. 3.2% 13-MAY-2025,Other,0.44%
"Medtronic, Inc. 3.5% 15-MAR-2025",Other,0.43%
United Technologies Corporation 3.95% 16-AUG-2025,Other,0.43%
QUALCOMM Incorporated 3.45% 20-MAY-2025,Other,0.42%
Northrop Grumman Corporation 2.93% 15-JAN-2025,Other,0.42%
"Gilead Sciences, Inc. 3.5% 01-FEB-2025",Other,0.42%
"DuPont de Nemours, Inc. 4.493% 15-NOV-2025",Other,0.42%
Exxon Mobil Corporation 2.709% 06-MAR-2025,Other,0.41%
Coca-Cola Company 2.875% 27-OCT-2025,Other,0.41%
Cigna Corporation 4.125% 15-NOV-2025,Other,0.4%
"Kinder Morgan, Inc. 4.3% 01-JUN-2025",Other,0.39%
Walmart Inc. 3.55% 26-JUN-2025,Other,0.39%
Comcast Corporation 3.375% 15-AUG-2025,Other,0.39%
Novartis Capital Corp. 3.0% 20-NOV-2025,Other,0.39%
GE Capital International Funding Co. 3.373% 15-NOV-2025,Other,0.39%
Vodafone Group Plc 4.125% 30-MAY-2025,Other,0.38%
Bank of America Corporation 3.875% 01-AUG-2025,Other,0.38%
Cheniere Corpus Christi Holdings LLC 5.875% 31-MAR-2025,Other,0.37%
Biogen Inc. 4.05% 15-SEP-2025,Other,0.37%
General Motors Company 6.125% 01-OCT-2025,Other,0.37%
"Sumitomo Mitsui Financial Group, Inc. 1.474% 08-JUL-2025",Other,0.37%
Lloyds Banking Group plc 4.582% 10-DEC-2025,Other,0.35%
"Intercontinental Exchange, Inc. 3.75% 01-DEC-2025",Other,0.35%
"Merck & Co., Inc. 2.75% 10-FEB-2025",Other,0.35%
HSBC Holdings Plc 4.25% 18-AUG-2025,Other,0.35%
Carrier Global Corp. 2.242% 15-FEB-2025,Other,0.35%
Exxon Mobil Corporation 2.992% 19-MAR-2025,Other,0.34%
Santander Issuances SA Unipersonal 5.179% 19-NOV-2025,Other,0.34%
"Anthem, Inc. 2.375% 15-JAN-2025",Other,0.34%
Apple Inc. 2.5% 09-FEB-2025,Other,0.34%
Starbucks Corporation 3.8% 15-AUG-2025,Other,0.33%
Citigroup Inc. 5.5% 13-SEP-2025,Other,0.33%
Apple Inc. 2.75% 13-JAN-2025,Other,0.33%
"General Motors Financial Co., Inc. 4.35% 09-APR-2025",Other,0.32%
"HCA, Inc. 5.25% 15-APR-2025",Other,0.32%
"Santander Holdings USA, Inc. 4.5% 17-JUL-2025",Other,0.32%
Marathon Petroleum Corporation 4.7% 01-MAY-2025,Other,0.32%
Capital One Financial Corporation 4.2% 29-OCT-2025,Other,0.32%
MPLX LP 4.875% 01-JUN-2025,Other,0.32%
Sands China Ltd. 5.125% 08-AUG-2025,Other,0.31%
