IBDR: iShares iBonds Dec 2026 Term Corporate ETF
Inception Date: 2016-09-13
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	596629
Shares Outstanding: 22050000
Expense Ratio: 0.1%
Tracks This Index: Barclays December 2026 Maturity Corporate Index
ETFdb.com Category: Corporate Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBDR


Holding,Symbol,Weighting
Diamond 1 Finance Corp. 6.02% 15-JUN-2026,Other,1.17%
AbbVie Inc. 2.95% 21-NOV-2026,Other,0.97%
Microsoft Corporation 2.4% 08-AUG-2026,Other,0.87%
Anheuser-Busch Cos. LLC 3.65% 01-FEB-2026,Other,0.85%
Wells Fargo & Company 3.0% 23-OCT-2026,Other,0.84%
Wells Fargo & Company 3.0% 22-APR-2026,Other,0.83%
JPMorgan Chase & Co. 2.95% 01-OCT-2026,Other,0.76%
Morgan Stanley 3.125% 27-JUL-2026,Other,0.75%
Oracle Corporation 2.65% 15-JUL-2026,Other,0.75%
Apple Inc. 3.25% 23-FEB-2026,Other,0.74%
Shire Acquisitions Investments Ireland DAC 3.2% 23-SEP-2026,Other,0.74%
Citigroup Inc. 3.2% 21-OCT-2026,Other,0.72%
"Goldman Sachs Group, Inc. 3.5% 16-NOV-2026",Other,0.72%
International Business Machines Corporation 3.3% 15-MAY-2026,Other,0.69%
HSBC Holdings Plc 4.3% 08-MAR-2026,Other,0.69%
Morgan Stanley & Co. LLC 3.875% 27-JAN-2026,Other,0.68%
Wells Fargo & Company 4.1% 03-JUN-2026,Other,0.67%
"Gilead Sciences, Inc. 3.65% 01-MAR-2026",Other,0.67%
Bank of America Corporation 3.5% 19-APR-2026,Other,0.66%
Broadcom Inc. 4.25% 15-APR-2026,Other,0.66%
Berkshire Hathaway Inc. 3.125% 15-MAR-2026,Other,0.63%
Bank of America Corporation 4.45% 03-MAR-2026,Other,0.63%
Barclays Plc 4.375% 12-JAN-2026,Other,0.62%
Mylan N.V. 3.95% 15-JUN-2026,Other,0.62%
HSBC Holdings Plc 3.9% 25-MAY-2026,Other,0.62%
JPMorgan Chase & Co. 3.3% 01-APR-2026,Other,0.61%
Exxon Mobil Corporation 3.043% 01-MAR-2026,Other,0.61%
AT&T Inc. 4.125% 17-FEB-2026,Other,0.61%
"Mitsubishi UFJ Financial Group, Inc. 3.85% 01-MAR-2026",Other,0.6%
Morgan Stanley 4.35% 08-SEP-2026,Other,0.59%
"Fiserv, Inc. 3.2% 01-JUL-2026",Other,0.57%
Verizon Communications Inc. 2.625% 15-AUG-2026,Other,0.56%
JPMorgan Chase & Co. 4.125% 15-DEC-2026,Other,0.56%
Barclays Plc 5.2% 12-MAY-2026,Other,0.55%
Bank of America Corporation 4.25% 22-OCT-2026,Other,0.55%
Lockheed Martin Corporation 3.55% 15-JAN-2026,Other,0.53%
Bristol-Myers Squibb Company 3.2% 15-JUN-2026,Other,0.53%
Chevron Corporation 2.954% 16-MAY-2026,Other,0.52%
McDonald\'s Corporation 3.7% 30-JAN-2026,Other,0.52%
AbbVie Inc. 3.2% 14-MAY-2026,Other,0.52%
"Sumitomo Mitsui Financial Group, Inc. 2.632% 14-JUL-2026",Other,0.52%
Pacific Gas and Electric Company 3.15% 01-JAN-2026,Other,0.51%
Vale Overseas Ltd. 6.25% 10-AUG-2026,Other,0.51%
Apple Inc. 2.45% 04-AUG-2026,Other,0.51%
Alphabet Inc. 1.998% 15-AUG-2026,Other,0.5%
"Goldman Sachs Group, Inc. 3.75% 25-FEB-2026",Other,0.49%
Apple Inc. 2.05% 11-SEP-2026,Other,0.49%
Dell International LLC 4.9% 01-OCT-2026,Other,0.48%
Citigroup Inc. 3.7% 12-JAN-2026,Other,0.48%
Citigroup Inc. 3.4% 01-MAY-2026,Other,0.48%
Comcast Corporation 3.15% 01-MAR-2026,Other,0.47%
Abbott Laboratories 3.75% 30-NOV-2026,Other,0.47%
CVS Health Corporation 2.875% 01-JUN-2026,Other,0.46%
Credit Suisse Group Funding (Guernsey) Ltd. 4.55% 17-APR-2026,Other,0.45%
"American International Group, Inc. 3.9% 01-APR-2026",Other,0.45%
Southern Company 3.25% 01-JUL-2026,Other,0.45%
"Anheuser-Busch Inbev Finance, Inc. 3.65% 01-FEB-2026",Other,0.44%
Molson Coors Beverage Company 3.0% 15-JUL-2026,Other,0.44%
Broadcom Inc. 3.459% 15-SEP-2026,Other,0.44%
Pfizer Inc. 3.0% 15-DEC-2026,Other,0.44%
HSBC Holdings Plc 4.375% 23-NOV-2026,Other,0.43%
Capital One Financial Corporation 3.75% 28-JUL-2026,Other,0.43%
Shell International Finance BV 2.875% 10-MAY-2026,Other,0.43%
JPMorgan Chase & Co. 3.2% 15-JUN-2026,Other,0.43%
Cooperatieve Rabobank UA 3.75% 21-JUL-2026,Other,0.42%
"HCA, Inc. 5.25% 15-JUN-2026",Other,0.42%
Westpac Banking Corporation 2.85% 13-MAY-2026,Other,0.41%
"Altria Group, Inc. 4.4% 14-FEB-2026",Other,0.41%
NatWest Group Plc 4.8% 05-APR-2026,Other,0.41%
Duke Energy Corporation 2.65% 01-SEP-2026,Other,0.41%
Sabine Pass Liquefaction LLC 5.875% 30-JUN-2026,Other,0.41%
Johnson & Johnson 2.45% 01-MAR-2026,Other,0.4%
Lloyds Banking Group plc 4.65% 24-MAR-2026,Other,0.4%
Honeywell International Inc. 2.5% 01-NOV-2026,Other,0.4%
Walmart Inc. 3.05% 08-JUL-2026,Other,0.39%
Bank of Nova Scotia 2.7% 03-AUG-2026,Other,0.38%
Citigroup Inc. 4.6% 09-MAR-2026,Other,0.38%
"PayPal Holdings, Inc. 2.65% 01-OCT-2026",Other,0.38%
Cigna Corporation 4.5% 25-FEB-2026,Other,0.37%
U.S. Bancorp 2.375% 22-JUL-2026,Other,0.37%
"Sumitomo Mitsui Financial Group, Inc. 3.784% 09-MAR-2026",Other,0.36%
Thermo Fisher Scientific Inc. 2.95% 19-SEP-2026,Other,0.36%
ConocoPhillips 4.95% 15-MAR-2026,Other,0.36%
"Walgreens Boots Alliance, Inc. 3.45% 01-JUN-2026",Other,0.36%
International Business Machines Corporation 3.45% 19-FEB-2026,Other,0.36%
Amgen Inc. 2.6% 19-AUG-2026,Other,0.36%
Omnicom Group Inc 3.6% 15-APR-2026,Other,0.35%
"Fidelity National Information Services, Inc. 3.0% 15-AUG-2026",Other,0.35%
"General Motors Financial Co., Inc. 5.25% 01-MAR-2026",Other,0.35%
"Cisco Systems, Inc. 2.5% 20-SEP-2026",Other,0.35%
UnitedHealth Group Incorporated 3.1% 15-MAR-2026,Other,0.34%
"Lowe\'s Companies, Inc. 2.5% 15-APR-2026",Other,0.34%
Citigroup Inc. 4.3% 20-NOV-2026,Other,0.34%
B.A.T. Capital Corp. 3.215% 06-SEP-2026,Other,0.33%
"Transcontinental Gas Pipe Line Company, LLC 7.85% 01-FEB-2026",Other,0.31%
American Express Company 3.125% 20-MAY-2026,Other,0.31%
MPLX LP 1.75% 01-MAR-2026,Other,0.31%
Stryker Corporation 3.5% 15-MAR-2026,Other,0.3%
Sysco Corporation 3.3% 15-JUL-2026,Other,0.3%
Valero Energy Corporation 3.4% 15-SEP-2026,Other,0.3%
"Sumitomo Mitsui Financial Group, Inc. 3.01% 19-OCT-2026",Other,0.3%
