IBDT: iShares iBonds Dec 2028 Term Corporate ETF
Inception Date: 2018-09-18
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	221082
Shares Outstanding: 7500000
Expense Ratio: 0.1%
Tracks This Index: Bloomberg Barclays December 2028 Maturity Corporate Index
ETFdb.com Category: Corporate Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBDT


Holding,Symbol,Weighting
CVS Health Corporation 4.3% 25-MAR-2028,Other,2.2%
Verizon Communications Inc. 4.329% 21-SEP-2028,Other,1.68%
Cigna Corporation 4.375% 15-OCT-2028,Other,1.66%
Comcast Corporation 4.15% 15-OCT-2028,Other,1.49%
United Technologies Corporation 4.125% 16-NOV-2028,Other,1.36%
Vodafone Group Plc 4.375% 30-MAY-2028,Other,1.21%
AT&T Inc. 4.1% 15-FEB-2028,Other,1.18%
"Anheuser-Busch Inbev Worldwide, Inc. 4.0% 13-APR-2028",Other,1.06%
Citigroup Inc. 4.125% 25-JUL-2028,Other,0.98%
Walmart Inc. 3.7% 26-JUN-2028,Other,0.95%
Keurig Dr Pepper Inc. 4.597% 25-MAY-2028,Other,0.93%
"DuPont de Nemours, Inc. 4.725% 15-NOV-2028",Other,0.91%
Lloyds Banking Group plc 4.375% 22-MAR-2028,Other,0.87%
AbbVie Inc. 4.25% 14-NOV-2028,Other,0.8%
Takeda Pharmaceutical Company Limited 5.0% 26-NOV-2028,Other,0.78%
Barclays Plc 4.836% 09-MAY-2028,Other,0.77%
Broadcom Inc. 4.11% 15-SEP-2028,Other,0.75%
"Equitable Holdings, Inc. 4.35% 20-APR-2028",Other,0.75%
BlackRock Funds III Instl Money Mkt Fund,Other,0.75%
Northrop Grumman Corporation 3.25% 15-JAN-2028,Other,0.74%
"Conagra Brands, Inc. 4.85% 01-NOV-2028",Other,0.72%
"GlaxoSmithKline Capital, Inc. 3.875% 15-MAY-2028",Other,0.71%
"BP Capital Markets America, Inc. 4.234% 06-NOV-2028",Other,0.71%
Discovery Communications LLC 3.95% 20-MAR-2028,Other,0.7%
Union Pacific Corporation 3.95% 10-SEP-2028,Other,0.7%
B.A.T. Capital Corp. 2.259% 25-MAR-2028,Other,0.69%
Comcast Corporation 3.15% 15-FEB-2028,Other,0.66%
"General Mills, Inc. 4.2% 17-APR-2028",Other,0.66%
"Kinder Morgan, Inc. 4.3% 01-MAR-2028",Other,0.63%
Broadcom Corporation 3.5% 15-JAN-2028,Other,0.62%
Capital One Financial Corporation 3.8% 31-JAN-2028,Other,0.61%
TransCanada PipeLines Ltd. 4.25% 15-MAY-2028,Other,0.6%
Shell International Finance BV 3.875% 13-NOV-2028,Other,0.59%
Sabine Pass Liquefaction LLC 4.2% 15-MAR-2028,Other,0.57%
"Dollar Tree, Inc. 4.2% 15-MAY-2028",Other,0.57%
