IBMM: iShares iBonds Dec 2024 Term Muni Bond ETF
Inception Date: 2018-03-20
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	196158
Shares Outstanding: 7250000
Expense Ratio: 0.18%
Tracks This Index: S&P AMT-Free Municipal Series Dec 2024 Index
ETFdb.com Category: National Munis
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBMM


Holding,Symbol,Weighting
New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev 5.0% 15-JUN-2024,Other,0.72%
Texas St 5.0% 01-OCT-2039,Other,0.61%
Cleveland Ohio Wtr Rev 4.0% 01-JAN-2029,Other,0.6%
Montgomery Cnty Md 4.0% 01-NOV-2031,Other,0.59%
Washington St 5.0% 01-JUL-2024,Other,0.54%
Maryland St 5.0% 01-AUG-2024,Other,0.51%
New York N Y 5.0% 01-AUG-2024,Other,0.47%
Triborough Brdg & Tunl Auth N Y Revs 5.0% 15-NOV-2024,Other,0.45%
Metropolitan Transn Auth N Y Rev 5.0% 15-NOV-2024,Other,0.44%
Massachusetts St 5.25% 01-SEP-2024,Other,0.43%
Atlanta Ga Arpt Passenger Fac Charge Rev 5.0% 01-JAN-2024,Other,0.41%
California St 5.0% 01-OCT-2024,Other,0.38%
Sales Tax Asset Receivable Corp N Y 5.0% 15-OCT-2024,Other,0.38%
Texas Transn Commn St Hwy Fd Rev 5.0% 01-APR-2024,Other,0.37%
Norfolk Va 5.0% 01-SEP-2037,Other,0.37%
Pennsylvania St 5.0% 15-AUG-2024,Other,0.37%
Virginia College Bldg Auth Va Edl Facs Rev Pub Higher Ed Fin G Prog 5.0% 01-SEP-2024,Other,0.35%
California St 5.0% 01-SEP-2024,Other,0.34%
New Jersey St 5.0% 01-JUN-2024,Other,0.33%
Maryland St 5.0% 01-AUG-2024,Other,0.33%
Energy Northwest Wash Elec Rev 5.0% 01-JUL-2024,Other,0.33%
North Carolina St 5.0% 01-MAY-2024,Other,0.32%
New York St Dorm Auth Sales Tax Rev St Supporteddebt 5.0% 15-MAR-2024,Other,0.32%
Wisconsin St Gen Fd Annual Appropriation Rev 5.0% 01-MAY-2024,Other,0.32%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2024,Other,0.31%
New Mexico Fin Auth St Transn Rev 5.0% 15-JUN-2024,Other,0.31%
Guilford Cnty N C 5.0% 01-MAR-2024,Other,0.31%
Oregon St 5.0% 01-MAY-2024,Other,0.3%
California St 5.0% 01-MAY-2024,Other,0.3%
Fairfax Cnty Va 5.0% 01-APR-2024,Other,0.3%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2024,Other,0.3%
Gwinnett Cnty Ga Wtr & Sew Auth Rev 5.0% 01-AUG-2024,Other,0.3%
Phoenix Ariz 4.0% 01-JUL-2024,Other,0.3%
Indiana Fin Auth Hwy Rev 5.0% 01-DEC-2024,Other,0.3%
Los Angeles Cnty Calif Met Transn Auth Sales Taxrev 5.0% 01-JUN-2024,Other,0.3%
North East Indpt Sch Dist Tex 5.0% 01-AUG-2024,Other,0.29%
Massachusetts St 5.0% 01-JUL-2024,Other,0.29%
New York N Y City Transitional Fin Auth Bldg Aidrev 5.0% 15-JUL-2024,Other,0.29%
North Carolina St Ltd Oblig 5.0% 01-JUN-2024,Other,0.28%
District Columbia Income Tax Rev 5.0% 01-DEC-2024,Other,0.28%
California St 5.0% 01-NOV-2024,Other,0.28%
Maryland St 5.0% 01-JUN-2024,Other,0.28%
Minnesota Pub Facs Auth St Revolving Fd Rev 3.0% 01-MAR-2024,Other,0.28%
San Antonio Tex Elec & Gas Rev 5.25% 01-FEB-2024,Other,0.27%
Washington St 5.0% 01-AUG-2024,Other,0.27%
Omaha Pub Pwr Dist Neb Elec Rev 5.0% 01-FEB-2031,Other,0.27%
Alabama Fed Aid Hwy Fin Auth Spl Oblig Rev 5.0% 01-SEP-2024,Other,0.27%
Monmouth Cnty N J 5.0% 15-JUL-2024,Other,0.27%
New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-FEB-2024,Other,0.26%
Miami-Dade Cnty Fla Wtr & Swr Rev 5.0% 01-OCT-2024,Other,0.26%
Missouri St Hwys & Trans Commn St Rd Rev 5.0% 01-MAY-2024,Other,0.26%
Maine St 5.0% 01-JUN-2024,Other,0.26%
Virginia Beach Va 5.0% 15-SEP-2024,Other,0.26%
Connecticut St 5.0% 15-APR-2024,Other,0.26%
Texas St 5.0% 15-MAY-2024,Other,0.26%
Dallas Tex Area Rapid Tran Sales Tax Rev 5.0% 01-DEC-2024,Other,0.26%
Honolulu Hawaii City & Cnty 5.0% 01-SEP-2024,Other,0.25%
Wisconsin St Transn Rev 5.0% 01-JUL-2024,Other,0.25%
New York N Y City Transitional Fin Auth Rev 5.0% 01-AUG-2024,Other,0.25%
Los Angeles Calif Uni Sch Dist 5.0% 01-JUL-2024,Other,0.25%
New York N Y City Transitional Fin Auth Rev 5.0% 01-NOV-2024,Other,0.25%
Las Vegas Vy Nev Wtr Dist 5.0% 01-JUN-2024,Other,0.25%
New Jersey Economic Dev Auth Rev 4.0% 15-JUN-2024,Other,0.25%
Denver Colo City & Cnty Sch Dist No 1 5.5% 01-DEC-2024,Other,0.25%
Montgomery Cnty Md 5.0% 01-NOV-2024,Other,0.25%
California St Dept Wtr Res Cent Vy Proj Rev 5.0% 01-DEC-2024,Other,0.25%
Hawaii St 5.0% 01-OCT-2024,Other,0.25%
New York N Y City Transitional Fin Auth Rev 5.0% 01-NOV-2024,Other,0.25%
New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-JUL-2024,Other,0.24%
Florida St Brd Ed Pub Ed 5.0% 01-JUN-2024,Other,0.24%
Washington Subn San Dist Md 5.0% 01-JUN-2024,Other,0.24%
South Carolina St 5.0% 01-APR-2024,Other,0.24%
New Jersey St Transn Tr Fd Auth 5.0% 15-JUN-2024,Other,0.24%
Los Angeles Calif Uni Sch Dist 5.0% 01-JUL-2024,Other,0.24%
San Antonio Tex Indpt Sch Dist 5.0% 15-FEB-2024,Other,0.24%
New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-MAR-2024,Other,0.24%
California St 5.0% 01-APR-2024,Other,0.24%
Kansas St Dev Fin Auth Rev 5.0% 01-MAY-2024,Other,0.24%
University Houston Tex Univ Revs 5.0% 15-FEB-2024,Other,0.24%
District Columbia 5.0% 01-JUN-2024,Other,0.24%
Lewisville Tex Indpt Sch Dist 5.0% 15-AUG-2024,Other,0.24%
Baltimore Cnty Md 5.0% 01-MAR-2024,Other,0.24%
San Diego Calif Uni Sch Dist 5.5% 01-JUL-2024,Other,0.24%
New York N Y 5.0% 01-AUG-2024,Other,0.24%
Santa Clara Cnty Calif Fing Auth Lease Rev 5.0% 15-NOV-2024,Other,0.23%
San Diego Calif Uni Sch Dist 0.0% 01-JUL-2024,Other,0.23%
Illinois St 5.0% 01-MAY-2024,Other,0.23%
Wisconsin St 5.0% 01-NOV-2024,Other,0.23%
Metropolitan Pk Dist Tacoma Wash 5.0% 01-DEC-2024,Other,0.23%
Massachusetts Bay Transn Auth Mass Sales Tax Rev 5.0% 01-JUL-2024,Other,0.23%
Ohio St 5.0% 15-SEP-2024,Other,0.23%
Beverly Hills Calif Uni Sch Dist 0.0% 01-AUG-2024,Other,0.23%
New York N Y 5.0% 01-AUG-2024,Other,0.22%
Austin Tex Wtr & Wastewater Sys Rev 5.0% 15-NOV-2024,Other,0.22%
Connecticut St Spl Tax Oblig Rev 5.0% 01-AUG-2024,Other,0.22%
Illinois St 5.0% 01-NOV-2024,Other,0.22%
Florida St Dept Environmental Protn Preservationrev 5.0% 01-JUL-2024,Other,0.22%
Delaware St 5.0% 01-MAR-2024,Other,0.22%
New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-MAR-2024,Other,0.22%
Columbus Ohio 5.0% 01-APR-2024,Other,0.22%
West Virginia St 5.0% 01-JUN-2024,Other,0.22%
Mississippi St 5.0% 01-OCT-2024,Other,0.22%
Wisconsin St 5.0% 01-NOV-2024,Other,0.21%
Seattle Wash Drain & Wastewater Rev 5.0% 01-APR-2024,Other,0.21%
Kansas St Dept Transn Hwy Rev 5.0% 01-SEP-2024,Other,0.21%
Virginia Commlth Transn Brd Fed Transn Grnt Antic Rev 5.0% 15-SEP-2024,Other,0.21%
Iowa Fin Auth Rev 5.0% 01-AUG-2024,Other,0.21%
Michigan St 5.0% 15-MAR-2024,Other,0.21%
Ohio St 5.0% 01-APR-2024,Other,0.21%
Indiana Mun Pwr Agy Pwr Supply Sys Rev 5.0% 01-JAN-2024,Other,0.2%
