IBMN: iShares iBonds Dec 2025 Term Muni Bond ETF
Inception Date: 2018-11-13
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	133675
Shares Outstanding: 4750000
Expense Ratio: 0.18%
Tracks This Index: S&P AMT-Free Municipal Series Dec 2025 Index
ETFdb.com Category: National Munis
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBMN


Holding,Symbol,Weighting
Washington St 5.0% 01-JUN-2025,Other,0.69%
Massachusetts St Wtr Pollutn Abatement Tr 5.0% 01-AUG-2025,Other,0.57%
Texas Transn Commn St Hwy Fd Rev 5.0% 01-OCT-2025,Other,0.56%
Los Angeles Calif Uni Sch Dist 5.0% 01-JUL-2025,Other,0.53%
Philadelphia Pa Wtr & Wastewtr Rev 5.0% 01-OCT-2025,Other,0.48%
Illinois St 5.0% 01-NOV-2025,Other,0.47%
Henrico Cnty Va 5.0% 01-AUG-2025,Other,0.46%
San Antonio Tex Elec & Gas Rev 5.0% 01-FEB-2025,Other,0.46%
San Francisco Calif City & Cnty 5.0% 15-JUN-2025,Other,0.46%
District Columbia Income Tax Rev 5.0% 01-OCT-2025,Other,0.45%
Maryland St 5.0% 01-AUG-2025,Other,0.44%
San Francisco Calif City & Cnty Pub Utils Commnwtr Rev 5.0% 01-NOV-2025,Other,0.44%
Montgomery Cnty Md 4.0% 01-NOV-2025,Other,0.44%
Phoenix Ariz 5.0% 01-JUL-2025,Other,0.43%
New York N Y City Transitional Fin Auth Rev 5.0% 01-NOV-2025,Other,0.42%
New York St 5.0% 01-MAR-2025,Other,0.41%
California St 5.0% 01-NOV-2025,Other,0.4%
Palo Alto Calif Uni Sch Dist 0.0% 01-AUG-2025,Other,0.39%
Columbus Ohio 5.0% 01-JUL-2025,Other,0.38%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2025,Other,0.38%
New York N Y 5.0% 01-AUG-2025,Other,0.38%
New York N Y 5.0% 01-AUG-2025,Other,0.37%
New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-FEB-2025,Other,0.37%
West Virginia St 5.0% 01-JUN-2025,Other,0.37%
Virginia College Bldg Auth Va Edl Facs Rev 21Stcenty Colleg E & Equip Prog 5.0% 01-FEB-2025,Other,0.37%
University Calif Revs 5.0% 15-MAY-2025,Other,0.36%
Private Colleges & Univs Auth Ga Rev 5.0% 01-OCT-2025,Other,0.36%
Energy Northwest Wash Elec Rev 5.0% 01-JUL-2025,Other,0.36%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2025,Other,0.36%
Georgia St 5.0% 01-FEB-2025,Other,0.36%
Fort Worth Tex Indpt Sch Dist 5.0% 15-FEB-2025,Other,0.36%
Miami-Dade Cnty Fla Wtr & Swr Rev 5.0% 01-OCT-2025,Other,0.35%
California St 5.0% 01-AUG-2025,Other,0.35%
Massachusetts St 5.25% 01-SEP-2025,Other,0.35%
New Jersey Economic Dev Auth Rev 4.0% 01-NOV-2025,Other,0.34%
Pennsylvania St 5.0% 15-SEP-2025,Other,0.34%
Clark Cnty Nev Wtr Reclamation Dist 5.0% 01-JUL-2025,Other,0.34%
New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-FEB-2025,Other,0.33%
Illinois Fin Auth Rev 4.0% 01-JUL-2025,Other,0.33%
Pennsylvania St 5.0% 15-AUG-2025,Other,0.33%
Washington Subn San Dist Md 5.0% 01-JUN-2025,Other,0.32%
California St 5.0% 01-OCT-2025,Other,0.31%
Ohio St Wtr Dev Auth Wtr Pollutn Ctl Rev 5.0% 01-DEC-2025,Other,0.31%
Hawaii St 5.0% 01-OCT-2025,Other,0.31%
California St 5.0% 01-SEP-2025,Other,0.31%
