IBND: SPDR Barclays Capital International Corporate Bond ETF
Inception Date: 2010-05-19
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	260546
Shares Outstanding: 6900000
Expense Ratio: 0.5%
Tracks This Index: Barclays Capital Global Aggregate ex-USD > $1B: Corporate Bond Index
ETFdb.com Category: Corporate Bonds
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBND


Holding,Symbol,Weighting
CORPORATE BOND,Other,1.05%
U.S. Dollar,Other,0.6%
Volkswagen International Finance NV 1.875% 30-MAR-2027,Other,0.57%
Deutsche Bank Aktiengesellschaft 1.625% 20-JAN-2027,Other,0.5%
Orange SA 8.125% 28-JAN-2033,Other,0.5%
Cooperatieve Rabobank UA 1.25% 23-MAR-2026,Other,0.46%
AT&T Inc. 4.875% 01-JUN-2044,Other,0.42%
Wells Fargo & Company 1.5% 24-MAY-2027,Other,0.41%
Panasonic Corporation 0.47% 18-SEP-2026,Other,0.38%
Sanofi 1.75% 10-SEP-2026,Other,0.37%
Anheuser-Busch InBev SA 2.75% 17-MAR-2036,Other,0.36%
AT&T Inc. 3.15% 04-SEP-2036,Other,0.36%
Eni SpA 3.75% 12-SEP-2025,Other,0.36%
E.ON International Finance BV 6.375% 07-JUN-2032,Other,0.36%
Bank of America Corporation 1.379% 07-FEB-2025,Other,0.35%
JPMorgan Chase & Co. 1.09% 11-MAR-2027,Other,0.35%
BPCE SA 1.0% 15-JUL-2024,Other,0.35%
Banque Federative du Credit Mutuel SA 0.75% 17-JUL-2025,Other,0.35%
Total Capital Canada Ltd. 2.125% 18-SEP-2029,Other,0.34%
AT&T Inc. 1.45% 01-JUN-2022,Other,0.34%
ING Groep NV 2.0% 20-SEP-2028,Other,0.33%
Bayer Capital Corp. BV 2.125% 15-DEC-2029,Other,0.33%
Siemens Financieringsmaatschappij NV 1.375% 06-SEP-2030,Other,0.32%
BNP Paribas S.A. 1.375% 28-MAY-2029,Other,0.31%
Credit Agricole SA (London Branch) 1.25% 14-APR-2026,Other,0.31%
Morgan Stanley 0.637% 26-JUL-2024,Other,0.31%
JPMorgan Chase & Co. 1.638% 18-MAY-2028,Other,0.31%
JPMorgan Chase & Co. 0.389% 24-FEB-2028,Other,0.31%
Barclays Bank PLC 3.375% 02-APR-2025,Other,0.31%
Bayer Capital Corp. BV 1.5% 26-JUN-2026,Other,0.31%
AT&T Inc. 1.6% 19-MAY-2028,Other,0.31%
NatWest Markets Plc 1.75% 02-MAR-2026,Other,0.3%
Sanofi SA 0.5% 13-JAN-2027,Other,0.3%
Citigroup Inc. 1.5% 24-JUL-2026,Other,0.3%
Citigroup Inc. 1.25% 06-JUL-2026,Other,0.3%
Banque Federative du Credit Mutuel SA 0.75% 08-JUN-2026,Other,0.3%
BNP Paribas S.A. 2.875% 24-OCT-2022,Other,0.3%
Eni SpA 3.625% 29-JAN-2029,Other,0.3%
HSBC France S.A. 0.25% 17-MAY-2024,Other,0.29%
ING Groep NV 0.1% 03-SEP-2025,Other,0.29%
LVMH Moet Hennessy Louis Vuitton SE 0.375% 11-FEB-2031,Other,0.29%
Lloyds Banking Group plc 0.625% 15-JAN-2024,Other,0.29%
UBS AG London Branch 0.75% 21-APR-2023,Other,0.29%
Daimler International Finance BV 0.875% 09-APR-2024,Other,0.29%
Coca-Cola Company 0.75% 09-MAR-2023,Other,0.29%
Societe Generale SA 0.125 % Bonds 2020-24.02.26,A28T1S,0.29%
Airbus SE 2.375% 07-APR-2032,Other,0.28%
UniCredit S.p.A. 2.2% 22-JUL-2027,Other,0.28%
Anheuser-Busch InBev SA/NV 1.65% 28-MAR-2031,Other,0.27%
Heathrow Funding Ltd. 6.45% 10-DEC-2031,Other,0.27%
Orange SA 2.0% 15-JAN-2029,Other,0.27%
innogy Finance BV 6.25% 03-JUN-2030,Other,0.27%
BMW Finance NV 0.375% 10-JUL-2023,Other,0.27%
Wells Fargo & Company 2.625% 16-AUG-2022,Other,0.27%
Cooperatieve Rabobank UA 4.75% 06-JUN-2022,Other,0.26%
Societe Generale S.A. 1.75% 22-MAR-2029,Other,0.26%
British Telecommunications Plc 1.75% 10-MAR-2026,Other,0.26%
Shell International Finance BV 1.5% 07-APR-2028,Other,0.26%
Shell International Finance BV 1.875% 07-APR-2032,Other,0.26%
Total Capital International SA 1.491% 08-APR-2027,Other,0.26%
Banque Federative du Credit Mutuel SA 2.625% 18-MAR-2024,Other,0.26%
Morgan Stanley 1.875% 27-APR-2027,Other,0.26%
BP Capital Markets PLC 1.573% 16-FEB-2027,Other,0.26%
Daimler AG 0.85% 28-FEB-2025,Other,0.25%
"Banco Santander, S.A. 1.125% 17-JAN-2025",Other,0.25%
Volkswagen International Finance NV 1.125% 02-OCT-2023,Other,0.25%
"Banco Santander, S.A. 1.375% 05-JAN-2026",Other,0.25%
LVMH Moet Hennessy Louis Vuitton SE 0.75% 26-MAY-2024,Other,0.25%
Intesa Sanpaolo S.p.A. 1.125% 04-MAR-2022,Other,0.25%
Commerzbank AG 1.0% 04-MAR-2026,Other,0.25%
Barclays Bank PLC 1.375% 24-JAN-2026,Other,0.25%
UBS Group Funding (Switzerland) AG 1.5% 30-NOV-2024,Other,0.25%
Intesa Sanpaolo S.p.A. 1.375% 18-JAN-2024,Other,0.25%
Anheuser-Busch InBev SA 1.5% 17-MAR-2025,Other,0.25%
Banque Federative du Credit Mutuel SA 1.25% 14-JAN-2025,Other,0.25%
Skandinaviska Enskilda Banken AB 0.625% 12-NOV-2029,Other,0.25%
Medtronic Global Holdings SCA 1.125% 07-MAR-2027,Other,0.25%
DNB Bank ASA 4.25% 18-JAN-2022,Other,0.25%
"Goldman Sachs Group, Inc. 4.25% 29-JAN-2026",Other,0.25%
HSBC Holdings Plc 0.875% 06-SEP-2024,Other,0.25%
BHP Billiton Finance Ltd. 4.3% 25-SEP-2042,Other,0.24%
EssilorLuxottica SA 0.375% 05-JAN-2026,Other,0.24%
Berkshire Hathaway Inc. 0.0% 12-MAR-2025,Other,0.24%
Total Capital International SA 0.25% 12-JUL-2023,Other,0.24%
Exxon Mobil Corporation 0.142% 26-JUN-2024,Other,0.24%
International Business Machines Corporation 0.3% 11-FEB-2028,Other,0.24%
International Business Machines Corporation 0.375% 31-JAN-2023,Other,0.24%
Svenska Handelsbanken AB 0.5% 18-FEB-2030,Other,0.24%
CaixaBank SA 0.375% 03-FEB-2025,Other,0.24%
Morgan Stanley 0.495% 26-OCT-2029,Other,0.24%
Siemens Financieringsmaatschappij NV 0.375% 06-SEP-2023,Other,0.24%
BPCE SA 1.125% 18-JAN-2023,Other,0.24%
"Goldman Sachs Group, Inc. 1.375% 15-MAY-2024",Other,0.24%
Deutsche Bank Aktiengesellschaft 1.5% 20-JAN-2022,Other,0.24%
Siemens Financieringsmaatschappij NV 2.875% 10-MAR-2028,Other,0.23%
Capgemini SE 2.375% 15-APR-2032,Other,0.23%
Citigroup Inc. 1.75% 28-JAN-2025,Other,0.23%
Apple Inc. 1.625% 10-NOV-2026,Other,0.23%
Enel Finance International NV 5.75% 14-SEP-2040,Other,0.22%
ABN AMRO Bank N.V. 1.0% 16-APR-2025,Other,0.22%
Credit Suisse Group AG 2.125% 12-SEP-2025,Other,0.22%
BNP Paribas S.A. 0.75% 11-NOV-2022,Other,0.22%
Lloyds Banking Group plc 2.25% 16-OCT-2024,Other,0.22%
Anheuser-Busch InBev SA/NV 2.125% 02-DEC-2027,Other,0.22%
"Fidelity National Information Services, Inc. 2.0% 21-MAY-2030",Other,0.22%
Apple Inc. 1.0% 10-NOV-2022,Other,0.22%
Credit Suisse Group AG 3.25% 02-APR-2026,Other,0.22%
Coca-Cola Company 1.625% 09-MAR-2035,Other,0.22%
Wells Fargo & Company 2.0% 27-APR-2026,Other,0.21%
Verizon Communications Inc. 1.25% 08-APR-2030,Other,0.21%
Bank of America Corporation 1.662% 25-APR-2028,Other,0.21%
Abertis Infraestructuras SA 2.375% 27-SEP-2027,Other,0.21%
Lloyds Bank plc 1.5% 12-SEP-2027,Other,0.21%
Verizon Communications Inc. 1.3% 18-MAY-2033,Other,0.21%
Anheuser-Busch InBev SA 2.0% 17-MAR-2028,Other,0.21%
Shell International Finance BV 1.625% 20-JAN-2027,Other,0.21%
Credit Agricole SA (London Branch) 3.125% 17-JUL-2023,Other,0.21%
Deutsche Telekom International Finance BV 1.375% 30-JAN-2027,Other,0.21%
Daimler AG 1.5% 03-JUL-2029,Other,0.21%
Credit Agricole 1.0% 03-JUL-2029,Other,0.21%
ENGIE SA. 5.0% 01-OCT-2060,Other,0.21%
Credit Agricole SA (London Branch) 1.375% 03-MAY-2027,Other,0.21%
