IBTH: iShares iBonds Dec 2027 Term Treasury ETF
Inception Date: 2020-02-25
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	14419
Shares Outstanding: 550000
Expense Ratio: 0.07%
Tracks This Index: ICE 2027 Maturity US Treasury Index
ETFdb.com Category: Government Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBTH


Holding,Symbol,Weighting
United States Treasury Notes 2.25% 15-AUG-2027,Other,30.59%
United States Treasury Notes 0.5% 31-AUG-2027,Other,29.7%
United States Treasury Notes 2.25% 15-NOV-2027,Other,17.29%
United States Treasury Notes 2.25% 15-FEB-2027,Other,9.63%
United States Treasury Notes 2.375% 15-MAY-2027,Other,4.81%
United States Treasury Bond 6.375% 15-AUG-2027,Other,3.17%
United States Treasury Notes 0.625% 31-DEC-2027,Other,2.37%
TREASURY ISSUES (LONG-TERM),Other,1.92%
United States Treasury Notes 0.5% 31-MAY-2027,Other,0.42%
MUTUAL FUND (OTHER),Other,0.07%
United States Treasury Notes 1.125% 28-FEB-2027,Other,0.03%
U.S. Dollar,Other,0.02%
