IDLV: Invesco S&P International Developed Low Volatility ETF
Inception Date: 2012-01-13
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	815993
Shares Outstanding: 27150000
Expense Ratio: 0.25%
Tracks This Index: S&P BMI International Developed Low Volatility Index
ETFdb.com Category: Volatility Hedged Equity
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IDLV


Holding,Symbol,Weighting
HK Electric Investments & HK Electric Investments Ltd.,2638,1.01%
CLP Holdings Limited,2,0.69%
Nestle S.A.,NESN,0.69%
SoftBank Corp.,9434,0.67%
"Chugoku Electric Power Co., Inc.",9504,0.62%
Power Assets Holdings Limited,6,0.6%
"Mcdonalds Holdings Company Japan, Ltd.",2702,0.6%
"Meiji Holdings Co., Ltd.",2269,0.6%
Schindler Holding AG Pref,SCHP,0.59%
"Idemitsu Kosan Co., Ltd.",5019,0.59%
Nippon Telegraph and Telephone Corporation,9432,0.58%
Hong Kong & China Gas Co. Ltd.,3,0.58%
Givaudan SA,GIVN,0.58%
AusNet Services Limited,AST,0.57%
Novartis AG,NOVN,0.57%
Tesco PLC,TSCO,0.57%
Japan Tobacco Inc.,2914,0.57%
Swisscom AG,SCMN,0.57%
MTR Corporation Limited,66,0.57%
Kone Oyj Class B,KNEBV,0.57%
"Nintendo Co., Ltd.",7974,0.57%
Mitsubishi Corporation,8058,0.57%
Strauss Group Ltd,STRS,0.56%
Oversea-Chinese Banking Corporation Limited,O39,0.56%
Koninklijke Ahold Delhaize N.V.,AD,0.56%
Itochu Corporation,8001,0.55%
"ENEOS Holdings, Inc.",5020,0.55%
Novo Nordisk A/S Class B,NOVO.B,0.55%
Spark New Zealand Limited,SPK,0.55%
HKT Trust and HKT Ltd,6823,0.55%
"Nissin Foods Holdings Co., Ltd.",2897,0.54%
Kinden Corporation,1944,0.54%
"Seven Bank, Ltd.",8410,0.54%
Beiersdorf AG,BEI,0.54%
Geberit AG,GEBN,0.54%
Reckitt Benckiser Group plc,RB,0.54%
"Tohoku Electric Power Company, Incorporated",9506,0.54%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.53%
Henkel AG & Co. KGaA Pref,HEN3,0.53%
Roche Holding Ltd,ROG,0.53%
Metro Inc.,MRU,0.53%
Croda International Plc,CRDA,0.53%
United Overseas Bank Ltd. (Singapore),U11,0.53%
Sega Sammy Holdings Inc.,6460,0.53%
Axfood AB,AXFO,0.53%
"Nagoya Railroad Co., Ltd.",9048,0.53%
SGS SA,SGSN,0.53%
"Chubu Electric Power Company,Incorporated",9502,0.53%
Kewpie Corporation,2809,0.53%
"Secom Co., Ltd.",9735,0.53%
Elbit Systems Ltd,ESLT,0.53%
Keyence Corporation,6861,0.53%
Kao Corp.,4452,0.53%
Koninklijke DSM N.V.,DSM,0.53%
Wolters Kluwer NV,WKL,0.53%
Henderson Land Development Co. Ltd.,12,0.52%
Admiral Group plc,ADM,0.52%
Fresenius Medical Care AG & Co. KGaA,FME,0.52%
"Kansai Electric Power Company, Incorporated",9503,0.52%
Nichirei Corporation,2871,0.52%
Essity AB Class B,ESSITY.B,0.52%
Symrise AG,SY1,0.52%
NOF Corporation,4403,0.52%
"MS&AD Insurance Group Holdings, Inc.",8725,0.52%
Pernod Ricard SA,RI,0.52%
UOL Group Limited,U14,0.52%
BOC Hong Kong (Holdings) Limited,2388,0.52%
Toyota Motor Corp.,7203,0.52%
Danone SA,BN,0.52%
Unilever PLC,ULVR,0.51%
Orkla ASA,ORK,0.51%
FP Corporation,7947,0.51%
Hermes International SCA,RMS,0.51%
"Nitori Holdings Co., Ltd.",9843,0.51%
Link Real Estate Investment Trust,823,0.51%
Singapore Telecommunications Limited,Z74,0.51%
Kojamo Oyj,KOJAMO,0.51%
Hong Kong Exchanges & Clearing Ltd.,388,0.51%
KDDI Corporation,9433,0.51%
Deutsche Wohnen SE,DWNI,0.51%
Singapore Exchange Ltd.,S68,0.51%
Kuehne & Nagel International AG,KNIN,0.51%
"Kyushu Electric Power Company,Incorporated",9508,0.51%
"Shizuoka Bank, Ltd.",8355,0.51%
Keppel Corporation Limited,BN4,0.51%
"Osaka Gas Co., Ltd.",9532,0.51%
Sun Hung Kai Properties Limited,16,0.51%
Coloplast A/S Class B,COLO.B,0.5%
Sony Corporation,6758,0.5%
"Murata Manufacturing Co., Ltd.",6981,0.5%
Red Electrica Corp. SA,REE,0.5%
Sanofi,SAN,0.5%
"Ajinomoto Co., Inc.",2802,0.5%
House Foods Group Inc.,2810,0.5%
Woolworths Group Ltd,WOW,0.5%
Tryg A/S,TRYG,0.5%
Uniper SE,UN01,0.49%
"Kansai Paint Co., Ltd.",4613,0.49%
Azbil Corporation,6845,0.49%
DBS Group Holdings Ltd,D05,0.49%
SEGRO plc,SGRO,0.49%
Gjensidige Forsikring ASA,GJF,0.49%
Unicharm Corporation,8113,0.49%
Telenor ASA,TEL,0.49%
Telstra Corporation Limited,TLS,0.49%
Merck KGaA,MRK,0.49%
"Ezaki Glico Co., Ltd.",2206,0.49%
"AEON Co., Ltd.",8267,0.49%
Wm Morrison Supermarkets plc,MRW,0.49%
GlaxoSmithKline plc,GSK,0.49%
Medibank Private Ltd.,MPL,0.49%
"Seino Holdings Co., Ltd.",9076,0.49%
Kyowa Exeo Corporation,1951,0.49%
"Jeronimo Martins, SGPS S.A.",JMT,0.49%
"CALBEE, Inc.",2229,0.49%
Mitsubishi Electric Corp.,6503,0.48%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.48%
COMSYS Holdings Corporation,1721,0.48%
"ONO Pharmaceutical Co., Ltd.",4528,0.48%
Deutsche Telekom AG,DTE,0.48%
E.ON SE,EOAN,0.48%
"Hang Seng Bank, Limited",11,0.48%
Ackermans & van Haaren NV,ACKB,0.48%
"Tokai Carbon Co., Ltd.",5301,0.48%
Kerry Group Plc Class A,KRZ,0.48%
Novozymes A/S Class B,NZYM.B,0.48%
Air Liquide SA,AI,0.48%
Holmen AB Class B,HOLM.B,0.48%
Thomson Reuters Corporation,TRI,0.48%
