IDOG: ALPS International Sector Dividend Dogs ETF
Inception Date: 2013-06-27
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	153872
Shares Outstanding: 5900000
Expense Ratio: 0.5%
Tracks This Index: S-Network International Sector Dividend Dogs Index 
ETFdb.com Category: Foreign Large Cap Equities
Issuer: ALPS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IDOG


Holding,Symbol,Weighting
SSE plc,SSE,2.19%
Fortum Oyj,FORTUM,2.14%
Fortescue Metals Group Ltd,FMG,2.14%
Continental AG,CON,2.11%
NN Group N.V.,NN,2.11%
Swatch Group Ltd. Bearer,UHR,2.1%
Bayer AG,BAYN,2.09%
"Sekisui House, Ltd.",1928,2.08%
SAP SE,SAP,2.08%
Rio Tinto plc,RIO,2.07%
Wesfarmers Limited,WES,2.06%
Zurich Insurance Group Ltd,ZURN,2.06%
Allianz SE,ALV,2.04%
Edenred SA,EDEN,2.04%
Coles Group Ltd.,COL,2.04%
Evonik Industries AG,EVK,2.04%
Danone SA,BN,2.04%
BASF SE,BAS,2.02%
Swiss Re AG,SREN,2.02%
Koninklijke Ahold Delhaize N.V.,AD,2.02%
Snam S.p.A.,SRG,2.01%
Bayerische Motoren Werke AG,BMW,2.01%
"Sumitomo Mitsui Financial Group, Inc.",8316,2.0%
Kyocera Corporation,6971,2.0%
Novartis AG,NOVN,2.0%
BHP Group Ltd,BHP,1.99%
"Naturgy Energy Group, S.A.",NTGY,1.99%
Bouygues SA,EN,1.98%
Sanofi,SAN,1.98%
Telia Company AB,TELIA,1.98%
Sumitomo Corporation,8053,1.98%
Telstra Corporation Limited,TLS,1.97%
BAE Systems plc,BA,1.96%
Woodside Petroleum Ltd,WPL,1.96%
Mitsubishi Corporation,8058,1.95%
SoftBank Corp.,9434,1.94%
GlaxoSmithKline plc,GSK,1.94%
Telenor ASA,TEL,1.93%
CITIC Limited,267,1.92%
Endesa S.A.,ELE,1.92%
"Hitachi,Ltd.",6501,1.91%
Takeda Pharmaceutical Co. Ltd.,4502,1.89%
Repsol SA,REP,1.88%
British American Tobacco p.l.c.,BATS,1.88%
Royal Dutch Shell Plc Class A,RDSA,1.86%
Japan Tobacco Inc.,2914,1.86%
BP p.l.c.,BP,1.85%
Total SE,FP,1.84%
Telefonica SA,TEF,1.83%
Canon Inc.,7751,1.81%
U.S. Dollar,Other,0.44%
STATE STR INSTL INVT TR TREA PLUS INST,TPIXX,0.08%
