IDV: iShares International Select Dividend ETF
Inception Date: 2007-06-15
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	3744370
Shares Outstanding: 126500000
Expense Ratio: 0.49%
Tracks This Index: Dow Jones EPAC Select Dividend Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IDV


Holding,Symbol,Weighting
Rio Tinto plc,RIO,9.66%
British American Tobacco p.l.c.,BATS,4.23%
Commonwealth Bank of Australia,CBA,3.97%
Actividades de Construccion y Servicios SA,ACS,2.68%
"Hang Seng Bank, Limited",11,2.67%
SSE plc,SSE,2.57%
"Naturgy Energy Group, S.A.",NTGY,2.48%
Fortescue Metals Group Ltd,FMG,2.46%
Total SE,FP,2.34%
Swisscom AG,SCMN,2.3%
Eni S.p.A.,ENI,2.26%
CK Hutchison Holdings Ltd,1,2.12%
UPM-Kymmene Oyj,UPM,1.89%
Spark New Zealand Limited,SPK,1.85%
Canadian Imperial Bank of Commerce,CM,1.84%
iShares MSCI South Korea ETF,EWY,1.79%
Red Electrica Corp. SA,REE,1.75%
"Idemitsu Kosan Co., Ltd.",5019,1.69%
ageas SA/NV,AGS,1.6%
Fortum Oyj,FORTUM,1.59%
GlaxoSmithKline plc,GSK,1.51%
Bank of Montreal,BMO,1.49%
Enagas SA,ENG,1.47%
Telia Company AB,TELIA,1.44%
Assicurazioni Generali S.p.A.,G,1.41%
Emera Incorporated,EMA,1.37%
EDP-Energias de Portugal SA,EDP,1.35%
Henderson Land Development Co. Ltd.,12,1.24%
Zurich Insurance Group Ltd,ZURN,1.23%
Bank of Nova Scotia,BNS,1.19%
"Sumitomo Mitsui Financial Group, Inc.",8316,1.17%
CK Infrastructure Holdings Limited,1038,1.16%
Royal Dutch Shell Plc Class A,RDSA,1.15%
Enel SpA,ENEL,1.05%
National Grid plc,NG,1.05%
Sampo Oyj Class A,SAMPO,1.03%
United Utilities Group PLC,UU,0.95%
DBS Group Holdings Ltd,D05,0.89%
Proximus SA de droit public,PROX,0.88%
Italgas SpA,IG,0.74%
Swire Pacific Limited Class A,19,0.73%
KB Financial Group Inc. Sponsored ADR,KB,0.7%
Telefonica SA,TEF,0.68%
Snam S.p.A.,SRG,0.68%
Azimut Holding Spa,AZM,0.67%
Drax Group plc,DRX,0.65%
Bendigo & Adelaide Bank Ltd.,BEN,0.63%
APA Group,APA,0.63%
Wartsila Oyj Abp,WRT1V,0.63%
BP p.l.c.,BP,0.63%
IGM Financial Inc.,IGM,0.61%
Great-West Lifeco Inc.,GWO,0.59%
"Hysan Development Co., Ltd.",14,0.59%
Nexity SA Class A,NXI,0.59%
KB Financial Group Inc.,105560,0.59%
Power Corporation of Canada,POW,0.57%
Phoenix Group Holdings plc,PHNX,0.56%
IG Group Holdings plc,IGG,0.55%
BOC Hong Kong (Holdings) Limited,2388,0.54%
Bankinter SA,BKT,0.53%
Suncorp Group Limited,SUN,0.52%
"Shinhan Financial Group Co., Ltd. Sponsored ADR",SHG,0.5%
Hyundai Motor Company Sponsored GDR RegS,HYUD,0.45%
BOC Aviation Limited,2588,0.45%
Compania de Distribucion Integral Logista Holdings S.A.,LOG,0.45%
Schaeffler AG,SHA,0.43%
Orange SA,ORA,0.42%
"Shinhan Financial Group Co., Ltd.",055550,0.41%
Kerry Properties Limited,683,0.41%
"Bankia, S.A.",BKIA,0.41%
Swiss Prime Site AG,SPSN,0.4%
VTech Holdings Limited,303,0.39%
Oversea-Chinese Banking Corporation Limited,O39,0.36%
Swiss Re AG,SREN,0.35%
Perpetual Limited,PPT,0.34%
Osterreichische Post AG,POST,0.34%
Manulife Financial Corporation,MFC,0.34%
New World Development Co. Ltd.,17,0.32%
U.S. Dollar,Other,0.27%
Standard Life Aberdeen PLC,SLA,0.27%
Hana Financial Group Inc.,086790,0.23%
Legal & General Group Plc,LGEN,0.23%
UnipolSai Assicurazioni S.p.A.,US,0.22%
PCCW Limited,8,0.22%
A2A S.p.A.,A2A,0.21%
"Woori Financial Group, Inc. Sponsored ADR",WF,0.2%
Mapfre SA,MAP,0.2%
Sojitz Corp.,2768,0.18%
"Woori Financial Group, Inc.",316140,0.16%
Vodafone Group Plc,VOD,0.15%
AusNet Services Limited,AST,0.14%
Centamin plc,CEY,0.13%
Comfortdelgro Corporation Limited,C52,0.13%
Industrial Bank Of Korea,024110,0.06%
"BNK Financial Group, Inc.",138930,0.05%
FIXED INCOME (UNCLASSFIED),Other,0.04%
MUTUAL FUND (OTHER),Other,0.04%
Gemdale Properties & Investment Corp. Ltd.,535,0.04%
DERIVATIVE SECURITIES (OTHER),Other,-0.34%
