IDY: Pacific Global International Equity Income ETF
Inception Date: 2019-10-24
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	24541
Shares Outstanding: 1100000
Expense Ratio: 0.39%
Tracks This Index: n/a
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Pacific Global Advisors LLC
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IDY


Holding,Symbol,Weighting
Cash Component,CASH,2.6425%
Novartis AG,NOVN,2.4121%
Roche Holding AG,ROG,2.3364%
GlaxoSmithKline PLC,GSK,1.721%
British American Tobacco PLC,BATS,1.7118%
Rio Tinto PLC,RIO,1.7071%
Abb Ltd,ABBN,1.6799%
Sanofi SA,SAN,1.5836%
BHP Group Ltd,BHP,1.4953%
Novo Nordisk A/S,NOVO.B,1.4853%
Toyota Motor Corp,7203,1.4331%
Unilever NV,UNA,1.2595%
BP PLC,BP.,1.21%
Compagnie Financiere Richemont SA,CFR,1.204%
Schneider Electric SE,SU,1.1664%
Commonwealth Bank of Australia,CBA,1.1189%
SAP SE,SAP,1.1086%
Takeda Pharmaceutical Co Ltd,4502,1.0781%
Siemens AG,SIE,1.0696%
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George,AI,1.0251%
Royal Dutch Shell PLC,RDSA,0.9074%
Total SE,FP,0.9073%
Bayer AG,BAYN,0.8807%
Royal Dutch Shell PLC,RDSB,0.8647%
Enel SpA,ENEL,0.8379%
Anglo American PLC,AAL,0.762%
National Grid PLC,NG.,0.7471%
Transurban Group,TCL,0.7337%
Tokyo Electron Ltd,8035,0.7295%
Vodafone Group PLC,VOD,0.7213%
Honda Motor Co Ltd,7267,0.7034%
Danone SA,BN,0.6825%
Murata Manufacturing Co Ltd,6981,0.6784%
Iberdrola SA,IBE,0.6745%
CRH PLC,CRG,0.6567%
Zurich Insurance Group AG,ZURN,0.6566%
Itochu Corp,8001,0.6547%
LafargeHolcim Ltd,LHN,0.6464%
Deutsche Post AG,DPW,0.6387%
BASF SE,BAS,0.6382%
Hitachi Ltd,6501,0.625%
CK Hutchison Holdings Ltd,1,0.623%
Mitsubishi Corp,8058,0.6071%
