IEDI: iShares Evolved U.S. Discretionary Spending ETF
Inception Date: 2018-03-21
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	24086
Shares Outstanding: 600000
Expense Ratio: 0.18%
Tracks This Index: n/a
ETFdb.com Category: Consumer Discretionary Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEDI


Holding,Symbol,Weighting
"Amazon.com, Inc.",AMZN,17.96%
"Home Depot, Inc.",HD,6.93%
Walmart Inc.,WMT,6.12%
Apple Inc.,AAPL,5.34%
Costco Wholesale Corporation,COST,4.86%
"NIKE, Inc. Class B",NKE,4.29%
Procter & Gamble Company,PG,3.16%
Target Corporation,TGT,2.89%
McDonald\'s Corporation,MCD,2.78%
"Lowe\'s Companies, Inc.",LOW,2.6%
TJX Companies Inc,TJX,2.49%
Starbucks Corporation,SBUX,1.96%
Dollar General Corporation,DG,1.63%
"Ross Stores, Inc.",ROST,1.44%
Lululemon Athletica Inc,LULU,1.35%
Estee Lauder Companies Inc. Class A,EL,1.18%
Booking Holdings Inc.,BKNG,1.12%
"MercadoLibre, Inc.",MELI,1.01%
"O\'Reilly Automotive, Inc.",ORLY,0.9%
"Dollar Tree, Inc.",DLTR,0.82%
V.F. Corporation,VFC,0.82%
"Yum! Brands, Inc.",YUM,0.8%
MUTUAL FUND (OTHER),Other,0.73%
"Chipotle Mexican Grill, Inc.",CMG,0.7%
Kroger Co.,KR,0.7%
"AutoZone, Inc.",AZO,0.65%
Hilton Worldwide Holdings Inc,HLT,0.61%
"Burlington Stores, Inc.",BURL,0.59%
"Uber Technologies, Inc.",UBER,0.58%
Ulta Beauty Inc,ULTA,0.55%
FedEx Corporation,FDX,0.54%
"Best Buy Co., Inc.",BBY,0.53%
"Pinterest, Inc. Class A",PINS,0.49%
Walgreens Boots Alliance Inc,WBA,0.49%
"Yum China Holdings, Inc.",YUMC,0.49%
Tractor Supply Company,TSCO,0.48%
"Marriott International, Inc. Class A",MAR,0.47%
Visa Inc. Class A,V,0.41%
"Domino\'s Pizza, Inc.",DPZ,0.4%
"Darden Restaurants, Inc.",DRI,0.4%
Tiffany & Co.,TIF,0.39%
PayPal Holdings Inc,PYPL,0.37%
"Wayfair, Inc. Class A",W,0.35%
"Five Below, Inc.",FIVE,0.34%
