IEF: iShares 7-10 Year Treasury Bond ETF
Inception Date: 2002-07-26
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	14850200
Shares Outstanding: 123800000
Expense Ratio: 0.15%
Tracks This Index: Barclays Capital U.S. 7-10 Year Treasury Bond Index
ETFdb.com Category: Government Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEF


Holding,Symbol,Weighting
United States Treasury Notes 0.625% 15-AUG-2030,Other,23.38%
United States Treasury Notes 3.125% 15-NOV-2028,Other,14.6%
United States Treasury Notes 2.625% 15-FEB-2029,Other,11.49%
United States Treasury Notes 2.875% 15-MAY-2028,Other,11.39%
United States Treasury Notes 2.875% 15-AUG-2028,Other,11.26%
United States Treasury Notes 2.375% 15-MAY-2029,Other,9.11%
United States Treasury Notes 1.5% 15-FEB-2030,Other,7.0%
TREASURY ISSUES (LONG-TERM),Other,5.62%
United States Treasury Notes 2.75% 15-FEB-2028,Other,2.39%
United States Treasury Notes 1.625% 15-AUG-2029,Other,1.68%
United States Treasury Notes 1.75% 15-NOV-2029,Other,1.59%
United States Treasury Notes 0.625% 31-DEC-2027,Other,0.4%
MUTUAL FUND (OTHER),Other,0.08%
U.S. Dollar,Other,0.0%
