IEME: iShares Evolved U.S. Media and Entertainment ETF
Inception Date: 2018-03-21
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	13559
Shares Outstanding: 400000
Expense Ratio: 0.18%
Tracks This Index: n/a
ETFdb.com Category: All Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEME


Holding,Symbol,Weighting
Walt Disney Company,DIS,5.75%
Comcast Corporation Class A,CMCSA,4.94%
ViacomCBS Inc. Class B,VIAC,4.76%
"Roku, Inc. Class A",ROKU,4.58%
"Charter Communications, Inc. Class A",CHTR,4.44%
"Netflix, Inc.",NFLX,4.32%
"Activision Blizzard, Inc.",ATVI,4.31%
Liberty Broadband Corp. Class C,LBRDK,4.27%
Fox Corporation Class A,FOXA,3.97%
Electronic Arts Inc.,EA,3.87%
"Twitter, Inc.",TWTR,3.32%
"Take-Two Interactive Software, Inc.",TTWO,2.98%
"Discovery, Inc. Class C",DISCK,2.78%
"Altice USA, Inc. Class A",ATUS,2.36%
"Hasbro, Inc.",HAS,2.26%
"Cable One, Inc.",CABO,2.14%
"Nexstar Media Group, Inc. Class A",NXST,1.96%
Fox Corporation Class B,FOX,1.9%
DISH Network Corporation Class A,DISH,1.76%
New York Times Company Class A,NYT,1.61%
IAC/InteractiveCorp.,IAC,1.59%
News Corporation Class A,NWSA,1.55%
"Discovery, Inc. Class A",DISCA,1.44%
Alphabet Inc. Class A,GOOGL,1.44%
Alphabet Inc. Class C,GOOG,1.43%
"Sirius XM Holdings, Inc.",SIRI,1.42%
"Match Group, Inc.",MTCH,1.35%
Liberty Global Plc Class C,LBTYK,1.32%
"TEGNA, Inc.",TGNA,1.21%
"Live Nation Entertainment, Inc.",LYV,1.18%
Nielsen Holdings Plc,NLSN,0.94%
"Qurate Retail, Inc. Class A",QRTEA,0.88%
Zynga Inc. Class A,ZNGA,0.83%
"Dolby Laboratories, Inc. Class A",DLB,0.81%
"World Wrestling Entertainment, Inc. Class A",WWE,0.77%
Liberty Broadband Corp. Class A,LBRDA,0.71%
"Sinclair Broadcast Group, Inc. Class A",SBGI,0.68%
"Gray Television, Inc.",GTN,0.61%
Lamar Advertising Company Class A,LAMR,0.56%
Madison Square Garden Sports Corp. Class A,MSGS,0.52%
Churchill Downs Incorporated,CHDN,0.49%
"Mattel, Inc.",MAT,0.47%
Lions Gate Entertainment Corp Class B,LGF.B,0.47%
AMC Networks Inc. Class A,AMCX,0.46%
Las Vegas Sands Corp.,LVS,0.46%
News Corporation Class B,NWS,0.45%
U.S. Dollar,Other,0.44%
Liberty Global Plc Class A,LBTYA,0.44%
Warner Music Group Corp. Class A,WMG,0.39%
Six Flags Entertainment Corporation,SIX,0.38%
Graham Holdings Co.,GHC,0.38%
Caesars Entertainment Inc,CZR,0.37%
E. W. Scripps Company Class A,SSP,0.37%
AT&T Inc.,T,0.33%
"Cinemark Holdings, Inc.",CNK,0.32%
Scientific Games Corporation,SGMS,0.32%
"Ryman Hospitality Properties, Inc.",RHP,0.32%
"Penn National Gaming, Inc.",PENN,0.31%
Lions Gate Entertainment Corp Class A,LGF.A,0.27%
MSG Networks Inc. Class A,MSGN,0.23%
Meredith Corporation,MDP,0.22%
"SeaWorld Entertainment, Inc.",SEAS,0.22%
Liberty Media Corp. Series C Liberty SiriusXM,LSXMK,0.21%
IMAX Corporation,IMAX,0.2%
Shenandoah Telecommunications Company,SHEN,0.19%
Liberty Media Corp. Series A Liberty SiriusXM,LSXMA,0.18%
Liberty Latin America Ltd. Class C,LILAK,0.15%
"John Wiley & Sons, Inc. Class A",JW.A,0.14%
"iHeartMedia, Inc. Class A",IHRT,0.14%
Xperi Holding Corporation,XPER,0.13%
Glu Mobile Inc.,GLUU,0.11%
Entercom Communications Corp. Class A,ETM,0.1%
Madison Square Garden Entertainment Corp Class A,MSGE,0.09%
Scholastic Corporation,SCHL,0.08%
ViacomCBS Inc. Class A,VIACA,0.07%
"Hemisphere Media Group, Inc. Class A",HMTV,0.06%
Carnival Corporation,CCL,0.06%
"National CineMedia, Inc.",NCMI,0.05%
Daily Journal Corporation,DJCO,0.05%
Harmonic Inc.,HLIT,0.05%
"Saga Communications, Inc. Class A",SGA,0.04%
"Gannett Co., Inc.",GCI,0.04%
Clear Channel Outdoor Holdings Inc,CCO,0.04%
Liberty Latin America Ltd. Class A,LILA,0.03%
Viad Corp,VVI,0.03%
Entravision Communications Corporation Class A,EVC,0.02%
Marcus Corporation,MCS,0.02%
Liberty TripAdvisor Holdings Inc Class A,LTRPA,0.02%
"Reading International, Inc. Class A",RDI,0.01%
"AMC Entertainment Holdings, Inc. Class A",AMC,0.01%
