IEUR: iShares Core MSCI Europe ETF
Inception Date: 2014-06-10
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	3933700
Shares Outstanding: 76100000
Expense Ratio: 0.09%
Tracks This Index: MSCI Europe Investable Market Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEUR


Holding,Symbol,Weighting
Nestle S.A.,NESN,2.96%
Roche Holding Ltd,ROG,2.15%
Novartis AG,NOVN,1.83%
ASML Holding NV,ASML,1.82%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.52%
Unilever PLC,ULVR,1.38%
SAP SE,SAP,1.2%
AstraZeneca PLC,AZN,1.15%
Novo Nordisk A/S Class B,NOVO.B,1.06%
Siemens AG,SIE,0.96%
Sanofi,SAN,0.96%
Total SE,FP,0.94%
HSBC Holdings Plc,HSBA,0.92%
Allianz SE,ALV,0.89%
L\'Oreal SA,OR,0.83%
GlaxoSmithKline plc,GSK,0.81%
Diageo plc,DGE,0.8%
Iberdrola SA,IBE,0.74%
British American Tobacco p.l.c.,BATS,0.74%
Rio Tinto plc,RIO,0.74%
Enel SpA,ENEL,0.72%
Schneider Electric SE,SU,0.69%
Air Liquide SA,AI,0.68%
BASF SE,BAS,0.64%
Royal Dutch Shell Plc Class A,RDSA,0.63%
BP p.l.c.,BP,0.62%
adidas AG,ADS,0.61%
Royal Dutch Shell Plc Class B,RDSB,0.56%
Airbus SE,AIR,0.56%
Zurich Insurance Group Ltd,ZURN,0.55%
Reckitt Benckiser Group plc,RB,0.55%
Deutsche Telekom AG,DTE,0.54%
Daimler AG,DAI,0.53%
BNP Paribas SA Class A,BNP,0.52%
Bayer AG,BAYN,0.51%
BHP Group Plc,BHP,0.49%
Kering SA,KER,0.48%
Banco Santander S.A.,SAN,0.47%
Prosus N.V. Class N,PRX,0.46%
Anheuser-Busch InBev SA/NV,ABI,0.46%
UBS Group AG,UBSG,0.45%
ABB Ltd.,ABBN,0.45%
VINCI SA,DG,0.45%
Infineon Technologies AG,IFX,0.43%
Deutsche Post AG,DPW,0.43%
Lonza Group AG,LONN,0.42%
Prudential plc,PRU,0.42%
Koninklijke Philips N.V.,PHIA,0.42%
Vestas Wind Systems A/S,VWS,0.41%
Compagnie Financiere Richemont SA,CFR,0.41%
RELX PLC,REL,0.41%
AXA SA,CS,0.4%
Safran S.A.,SAF,0.4%
EssilorLuxottica SA,EL,0.39%
Vodafone Group Plc,VOD,0.38%
Adyen NV,ADYEN,0.37%
National Grid plc,NG,0.36%
Munich Reinsurance Company,MUV2,0.36%
Anglo American plc,AAL,0.35%
Pernod Ricard SA,RI,0.35%
Danone SA,BN,0.35%
Sika AG,SIKA,0.34%
London Stock Exchange Group plc,LSE,0.34%
Orsted,ORSTED,0.34%
Intesa Sanpaolo S.p.A.,ISP,0.34%
Givaudan SA,GIVN,0.34%
Vonovia SE,VNA,0.33%
ING Groep NV,INGA,0.32%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.31%
Lloyds Banking Group plc,LLOY,0.31%
DSV Panalpina A/S,DSV,0.31%
Volkswagen AG Pref,VOW3,0.3%
Hermes International SCA,RMS,0.3%
Atlas Copco AB Class A,ATCO.A,0.3%
"Industria de Diseno Textil, S.A.",ITX,0.3%
Barclays PLC,BARC,0.3%
Experian PLC,EXPN,0.3%
Amadeus IT Group SA Class A,AMS,0.29%
CRH Plc,CRG,0.29%
Compass Group PLC,CPG,0.29%
Investor AB Class B,INVE.B,0.29%
Volvo AB Class B,VOLV.B,0.29%
Flutter Entertainment Plc,FLTR,0.29%
Glencore plc,GLEN,0.28%
Credit Suisse Group AG,CSGN,0.28%
Deutsche Boerse AG,DB1,0.28%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.28%
"Alcon, Inc.",ALC,0.28%
Tesco PLC,TSCO,0.27%
Koninklijke Ahold Delhaize N.V.,AD,0.27%
Neste Corporation,NESTE,0.27%
Ferrari NV,RACE,0.26%
Koninklijke DSM N.V.,DSM,0.26%
Bayerische Motoren Werke AG,BMW,0.26%
Heineken NV,HEIA,0.25%
LafargeHolcim Ltd.,LHN,0.25%
Ferguson Plc,FERG,0.24%
RWE AG,RWE,0.24%
Vivendi SE,VIV,0.24%
Sandvik AB,SAND,0.24%
ENGIE SA.,ENGI,0.24%
Swiss Re AG,SREN,0.24%
Dassault Systemes SA,DSY,0.24%
Kone Oyj Class B,KNEBV,0.24%
Nordea Bank Abp,NDA.SE,0.23%
Genmab A/S,GMAB,0.23%
Eni S.p.A.,ENI,0.23%
E.ON SE,EOAN,0.22%
Capgemini SE,CAP,0.22%
Hexagon AB Class B,HEXA.B,0.22%
ASSA ABLOY AB Class B,ASSA.B,0.22%
STMicroelectronics NV,STM,0.21%
Legrand SA,LR,0.21%
Compagnie de Saint-Gobain SA,SGO,0.21%
Worldline SA,WLN,0.2%
Orange SA,ORA,0.2%
Kerry Group Plc Class A,KRZ,0.2%
Merck KGaA,MRK,0.2%
Geberit AG,GEBN,0.2%
Wolters Kluwer NV,WKL,0.2%
BAE Systems plc,BA,0.19%
Partners Group Holding AG,PGHN,0.19%
