IEUS: iShares MSCI Europe Small-Cap ETF
Inception Date: 2007-11-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	162336
Shares Outstanding: 2600000
Expense Ratio: 0.4%
Tracks This Index: MSCI Europe Small Cap Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEUS


Holding,Symbol,Weighting
ASM International N.V.,ASM,0.64%
Rightmove plc,RMV,0.5%
SIG Combibloc Group Ltd,SIGN,0.48%
DS Smith Plc,SMDS,0.45%
Weir Group PLC,WEIR,0.45%
Intermediate Capital Group plc,ICP,0.44%
IMCD N.V.,IMCD,0.43%
VAT Group AG,VACN,0.43%
B&M European Value Retail SA,BME,0.41%
Metso Outotec Oyj,MOCORP,0.4%
Euronext NV,ENX,0.4%
SimCorp A/S,SIM,0.39%
Castellum AB,CAST,0.38%
AerCap Holdings NV,AER,0.38%
Tecan Group AG,TECN,0.38%
Indutrade AB,INDT,0.38%
ams AG,AMS,0.37%
Sinch AB,SINCH,0.37%
PSP Swiss Property AG,PSPN,0.37%
ASR Nederland NV,ASRNL,0.37%
Royal Unibrew A/S,RBREW,0.37%
Howden Joinery Group PLC,HWDN,0.36%
Embracer Group AB Class B,EMBRAC.B,0.36%
Pennon Group Plc,PNN,0.35%
G4S plc,GFS,0.35%
TOMRA Systems ASA,TOM,0.35%
Trelleborg AB Class B,TREL.B,0.35%
Signify NV,LIGHT,0.35%
Georg Fischer AG,FI.N,0.34%
Getinge AB Class B,GETI.B,0.34%
Electrocomponents plc,ECM,0.34%
ITV PLC,ITV,0.34%
Dechra Pharmaceuticals PLC,DPH,0.33%
Bellway p.l.c.,BWY,0.32%
Meggitt PLC,MGGT,0.32%
Elekta AB Class B,EKTA.B,0.32%
Avast Plc,AVST,0.32%
Huhtamaki Oyj,HUH1V,0.32%
NEL ASA,NEL,0.31%
ASOS plc,ASC,0.31%
Travis Perkins plc,TPK,0.3%
boohoo group Plc,BOO,0.3%
Scatec ASA,SSO,0.3%
Rheinmetall AG,RHM,0.3%
Nokian Renkaat Oyj,TYRES,0.3%
TAG Immobilien AG,TEG,0.3%
Evotec SE,EVT,0.3%
Games Workshop Group PLC,GAW,0.3%
Hiscox Ltd,HSX,0.3%
Holmen AB Class B,HOLM.B,0.29%
UNITE Group plc,UTG,0.29%
Derwent London plc,DLN,0.29%
Warehouses De Pauw SCA,WDP,0.29%
Spectris plc,SXS,0.29%
Aalberts N.V.,AALB,0.29%
Tate & Lyle PLC,TATE,0.28%
Signature Aviation Plc,SIG,0.28%
IG Group Holdings plc,IGG,0.28%
BE Semiconductor Industries N.V.,BESI,0.28%
ABCAM PLC,ABC,0.28%
Rubis SCA,RUI,0.28%
IMI plc,IMI,0.28%
BELIMO Holding AG,BEAN,0.27%
HomeServe plc,HSV,0.27%
Soitec SA,SOI,0.27%
Netcompany Group A/S,NETC,0.27%
Fabege AB,FABG,0.27%
Royal Mail plc,RMG,0.27%
U.S. Dollar,Other,0.26%
Millicom International Cellular SA Swedish Depository Receipt,TIGO,0.26%
ConvaTec Group Plc,CTEC,0.26%
thyssenkrupp AG,TKA,0.26%
Aedifica SA,AED,0.26%
Lifco AB Class B,LIFCO.B,0.26%
Quilter Plc,QLT,0.25%
Dometic Group AB,DOM,0.25%
Bank of Ireland Group Plc,BIRG,0.25%
Entra ASA,ENTRA,0.25%
Cofinimmo SA,COFB,0.25%
Rexel SA,RXL,0.25%
Tritax Big Box REIT Plc,BBOX,0.25%
Thule Group AB,THULE,0.25%
Helvetia Holding Ltd,HELN,0.25%
CTS Eventim AG & Co. KGaA,EVD,0.25%
Swedish Orphan Biovitrum AB,SOBI,0.25%
Valmet Corp,VALMT,0.25%
Rotork plc,ROR,0.25%
Marks and Spencer Group plc,MKS,0.24%
Sweco AB Class B,SWEC.B,0.24%
Diploma PLC,DPLM,0.24%
Nordic Entertainment Group AB Class B,NENT.B,0.24%
MorphoSys AG,MOR,0.24%
Wienerberger AG,WIE,0.24%
Centrica plc,CNA,0.24%
Bankinter SA,BKT,0.24%
Cembra Money Bank AG,CMBN,0.24%
William Hill PLC,WMH,0.24%
Genus plc,GNS,0.24%
Interpump Group S.p.A.,IP,0.24%
Avanza Bank Holding AB,AZA,0.23%
AAK AB,AAK,0.23%
Bakkafrost P/F,BAKKA,0.23%
Ackermans & van Haaren NV,ACKB,0.23%
"MERLIN Properties SOCIMI, S.A.",MRL,0.23%
ProSiebenSat.1 Media SE,PSM,0.23%
Stillfront Group AB,SF,0.23%
Flughafen Zurich AG,FHZN,0.23%
IWG Plc,IWG,0.23%
Dufry AG,DUFN,0.23%
Dialog Semiconductor plc,DLG,0.23%
Fevertree Drinks PLC,FEVR,0.23%
Addtech AB Class B,ADDT.B,0.22%
SalMar ASA,SALM,0.22%
Gerresheimer AG,GXI,0.22%
TietoEVRY Oyj,TIETO,0.22%
Storebrand ASA,STB,0.22%
Inchcape plc,INCH,0.22%
Countryside Properties Plc,CSP,0.22%
Corbion NV,CRBN,0.21%
BAWAG Group AG,BG,0.21%
Beijer Ref AB Class B,BEIJ.B,0.21%
Allreal Holding AG,ALLN,0.21%
Alten SA,ATE,0.21%
Hays plc,HAS,0.21%
Siltronic AG,WAF,0.21%
Banco BPM SpA,BAMI,0.21%
Wihlborgs Fastigheter AB,WIHL,0.2%
Beazley Plc,BEZ,0.2%
Galenica AG,GALE,0.2%
Acciona SA,ANA,0.2%
Bucher Industries AG,BUCN,0.2%
ANDRITZ AG,ANDR,0.2%
SBM Offshore NV,SBMO,0.2%
BillerudKorsnas AB,BILL,0.2%
Italgas SpA,IG,0.2%
Elis SA,ELIS,0.2%
Idorsia Ltd.,IDIA,0.2%
Leonardo SpA,LDO,0.19%
ADLER Group SA,ADJ,0.19%
Britvic plc,BVIC,0.19%
Hera S.p.A.,HER,0.19%
John Wood Group PLC,WG,0.19%
Carnival plc,CCL,0.19%
AF Poyry AB Class B,AF.B,0.19%
Victrex plc,VCT,0.18%
ISS A/S,ISS,0.18%
Kojamo Oyj,KOJAMO,0.18%
Renishaw plc,RSW,0.18%
Grand City Properties SA,GYC,0.18%
Stroeer SE & Co. KGaA,SAX,0.18%
Inmobiliaria Colonial SOCIMI SA,COL,0.18%
alstria office REIT-AG,AOX,0.18%
Siegfried Holding AG,SFZN,0.18%
Keywords Studios plc,KWS,0.18%
"Viscofan, S.A.",VIS,0.18%
Zur Rose Group AG,ROSE,0.18%
Man Group PLC,EMG,0.18%
Samhallsbyggnadsbolaget I Norden AB Class B,SBB.B,0.18%
Close Brothers Group plc,CBG,0.18%
Primary Health Properties PLC,PHP,0.18%
Trainline Plc,TRN,0.18%
HEXPOL AB Class B,HPOL.B,0.18%
Vistry Group PLC,VTY,0.18%
Assura PLC,AGR,0.18%
Fortnox AB,FNOX,0.18%
Pets At Home Group Plc,PETS,0.18%
ITM Power PLC,ITM,0.18%
Grafton Group Plc,GFTU,0.18%
WH Smith PLC,SMWH,0.17%
Glanbia Plc,GL9,0.17%
Sopra Steria Group SA,SOP,0.17%
Grainger plc,GRI,0.17%
Aurubis AG,NDA,0.17%
OSB Group PLC,OSB,0.17%
Korian SA,KORI,0.17%
Bravida Holding AB,BRAV,0.17%
DKSH Holding AG,DKSH,0.17%
SoftwareONE Holding Ltd.,SWON,0.17%
LondonMetric Property Plc,LMP,0.17%
freenet AG,FNTN,0.17%
ALK-abello A/S Class B,ALK.B,0.17%
Wallenstam AB Class B,WALL.B,0.17%
UDG Healthcare Plc,UDG,0.17%
Varta AG,VAR1,0.17%
Computacenter Plc,CCC,0.16%
Ashmore Group plc,ASHM,0.16%
Axfood AB,AXFO,0.16%
A2A S.p.A.,A2A,0.16%
TUI AG,TUI,0.16%
Greggs plc,GRG,0.16%
Balfour Beatty plc,BBY,0.16%
OSRAM Licht AG,OSR,0.16%
Banco de Sabadell SA,SAB,0.16%
Reply S.p.A.,REY,0.16%
SPIE SA,SPIE,0.16%
SSP Group Plc,SSPG,0.16%
Lancashire Holdings Limited,LRE,0.16%
CA Immobilien Anlagen AG,CAI,0.16%
Cranswick plc,CWK,0.16%
Big Yellow Group PLC,BYG,0.16%
Ringkjoebing Landbobank A/S,RILBA,0.16%
QinetiQ Group plc,QQ,0.16%
Bachem Holding AG Class B,BANB,0.15%
Icade SA,ICAD,0.15%
Nordic Semiconductor ASA,NOD,0.15%
Fraport AG,FRA,0.15%
Koninklijke Boskalis Westminster N.V.,BOKA,0.15%
BKW AG,BKW,0.15%
Future plc,FUTR,0.15%
Saab AB Class B,SAAB.B,0.15%
GB Group PLC,GBG,0.15%
IntegraFin Holdings PLC,IHP,0.15%
Azimut Holding Spa,AZM,0.15%
Vontobel Holding AG,VONN,0.15%
CompuGroup Medical SE & Co. KGaA,COP,0.15%
Neoen S.A.,NEOEN,0.15%
Arcadis NV,ARCAD,0.15%
Encavis AG,ECV,0.15%
John Laing Group Plc,JLG,0.15%
Subsea 7 S.A.,SUBC,0.15%
Virgin Money UK Plc,VMUK,0.15%
Kindred Group plc Shs Swedish Depository Receipts,KIND,0.14%
Jungheinrich AG Pref,JUN3,0.14%
Daetwyler Holding AG,DAE,0.14%
Synthomer PLC,SYNT,0.14%
Aperam SA,APAM,0.14%
Safestore Holdings plc,SAFE,0.14%
Mobimo Holding AG,MOBN,0.14%
