IEV: iShares Europe ETF
Inception Date: 2000-07-25
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1612670
Shares Outstanding: 33450000
Expense Ratio: 0.59%
Tracks This Index: S&P Europe 350 Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEV


Holding,Symbol,Weighting
Nestle S.A.,NESN,3.52%
Roche Holding Ltd,ROG,2.55%
Novartis AG,NOVN,2.42%
ASML Holding NV,ASML,2.15%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.73%
Unilever PLC,ULVR,1.63%
SAP SE,SAP,1.49%
AstraZeneca PLC,AZN,1.36%
Novo Nordisk A/S Class B,NOVO.B,1.22%
Siemens AG,SIE,1.21%
Sanofi,SAN,1.15%
Total SE,FP,1.13%
HSBC Holdings Plc,HSBA,1.12%
Allianz SE,ALV,1.06%
GlaxoSmithKline plc,GSK,0.95%
L\'Oreal SA,OR,0.95%
Diageo plc,DGE,0.95%
British American Tobacco p.l.c.,BATS,0.88%
Iberdrola SA,IBE,0.86%
Rio Tinto plc,RIO,0.84%
Enel SpA,ENEL,0.81%
Schneider Electric SE,SU,0.81%
Air Liquide SA,AI,0.8%
Royal Dutch Shell Plc Class A,RDSA,0.76%
BASF SE,BAS,0.76%
Adyen NV,ADYEN,0.73%
BP p.l.c.,BP,0.73%
Airbus SE,AIR,0.7%
adidas AG,ADS,0.7%
Reckitt Benckiser Group plc,RB,0.68%
Royal Dutch Shell Plc Class B,RDSB,0.66%
Zurich Insurance Group Ltd,ZURN,0.66%
BNP Paribas SA Class A,BNP,0.63%
Deutsche Telekom AG,DTE,0.62%
Daimler AG,DAI,0.61%
Anheuser-Busch InBev SA/NV,ABI,0.61%
Bayer AG,BAYN,0.6%
BHP Group Plc,BHP,0.58%
UBS Group AG,UBSG,0.56%
Kering SA,KER,0.56%
ABB Ltd.,ABBN,0.55%
Banco Santander S.A.,SAN,0.54%
AXA SA,CS,0.52%
Infineon Technologies AG,IFX,0.52%
VINCI SA,DG,0.52%
Koninklijke Philips N.V.,PHIA,0.51%
Lonza Group AG,LONN,0.5%
RELX PLC,REL,0.5%
Deutsche Post AG,DPW,0.5%
Prudential plc,PRU,0.5%
Vestas Wind Systems A/S,VWS,0.49%
Compagnie Financiere Richemont SA,CFR,0.49%
EssilorLuxottica SA,EL,0.49%
Prosus N.V. Class N,PRX,0.48%
Safran S.A.,SAF,0.48%
Anglo American plc,AAL,0.47%
Danone SA,BN,0.47%
National Grid plc,NG,0.46%
Vodafone Group Plc,VOD,0.46%
Intesa Sanpaolo S.p.A.,ISP,0.43%
Munich Reinsurance Company,MUV2,0.43%
Vonovia SE,VNA,0.43%
Sika AG,SIKA,0.4%
London Stock Exchange Group plc,LSE,0.4%
Pernod Ricard SA,RI,0.4%
Volvo AB Class B,VOLV.B,0.39%
Hermes International SCA,RMS,0.38%
Orsted,ORSTED,0.38%
ING Groep NV,INGA,0.38%
"Industria de Diseno Textil, S.A.",ITX,0.37%
Lloyds Banking Group plc,LLOY,0.37%
Glencore plc,GLEN,0.36%
Experian PLC,EXPN,0.36%
Volkswagen AG Pref,VOW3,0.35%
Amadeus IT Group SA Class A,AMS,0.35%
Compass Group PLC,CPG,0.35%
DSV Panalpina A/S,DSV,0.35%
Givaudan SA,GIVN,0.35%
CRH Plc,CRG,0.34%
Atlas Copco AB Class A,ATCO.A,0.34%
Investor AB Class B,INVE.B,0.34%
Barclays PLC,BARC,0.34%
Deutsche Boerse AG,DB1,0.34%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.34%
"Alcon, Inc.",ALC,0.34%
Kone Oyj Class B,KNEBV,0.34%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.33%
Koninklijke DSM N.V.,DSM,0.33%
Koninklijke Ahold Delhaize N.V.,AD,0.33%
Neste Corporation,NESTE,0.33%
Tesco PLC,TSCO,0.32%
Credit Suisse Group AG,CSGN,0.31%
Ferrari NV,RACE,0.31%
RWE AG,RWE,0.3%
Flutter Entertainment Plc,FLTR,0.3%
Nordea Bank Abp,NDA.SE,0.29%
Ferguson Plc,FERG,0.29%
Vivendi SE,VIV,0.29%
Bayerische Motoren Werke AG,BMW,0.29%
Dassault Systemes SA,DSY,0.29%
LafargeHolcim Ltd.,LHN,0.29%
Heineken NV,HEIA,0.28%
Sandvik AB,SAND,0.28%
Genmab A/S,GMAB,0.28%
ENGIE SA.,ENGI,0.28%
Eni S.p.A.,ENI,0.28%
Hexagon AB Class B,HEXA.B,0.27%
Swiss Re AG,SREN,0.27%
E.ON SE,EOAN,0.26%
Capgemini SE,CAP,0.26%
Compagnie de Saint-Gobain SA,SGO,0.26%
STMicroelectronics NV,STM,0.25%
Orange SA,ORA,0.25%
ASSA ABLOY AB Class B,ASSA.B,0.25%
Legrand SA,LR,0.25%
KBC Group N.V.,KBC,0.25%
U.S. Dollar,Other,0.24%
Cellnex Telecom S.A.,CLNX,0.24%
Compagnie Generale des Etablissements Michelin SCA,ML,0.24%
Geberit AG,GEBN,0.24%
Deutsche Bank AG,DBK,0.24%
Kerry Group Plc Class A,KRZ,0.23%
Merck KGaA,MRK,0.23%
Partners Group Holding AG,PGHN,0.23%
Nokia Oyj,NOKIA,0.23%
Delivery Hero SE,DHER,0.23%
Wolters Kluwer NV,WKL,0.23%
Worldline SA,WLN,0.22%
BAE Systems plc,BA,0.22%
Ashtead Group plc,AHT,0.22%
Legal & General Group Plc,LGEN,0.22%
SSE plc,SSE,0.22%
Sampo Oyj Class A,SAMPO,0.22%
Assicurazioni Generali S.p.A.,G,0.22%
Henkel AG & Co. KGaA Pref,HEN3,0.21%
UniCredit S.p.A.,UCG,0.21%
Akzo Nobel N.V.,AKZA,0.21%
Fiat Chrysler Automobiles N.V.,FCA,0.21%
UPM-Kymmene Oyj,UPM,0.21%
Fresenius SE & Co. KGaA,FRE,0.2%
Essity AB Class B,ESSITY.B,0.2%
Teleperformance SE,TEP,0.2%
Ocado Group PLC,OCDO,0.2%
Deutsche Wohnen SE,DWNI,0.2%
Imperial Brands PLC,IMB,0.2%
Coloplast A/S Class B,COLO.B,0.19%
Telefonica SA,TEF,0.19%
Smith & Nephew plc,SN,0.19%
Zalando SE,ZAL,0.19%
Equinor ASA,EQNR,0.19%
Aviva plc,AV,0.18%
Fresenius Medical Care AG & Co. KGaA,FME,0.18%
Peugeot SA,UG,0.18%
Symrise AG,SY1,0.18%
DNB ASA,DNB,0.18%
EDP-Energias de Portugal SA,EDP,0.18%
Standard Chartered PLC,STAN,0.18%
Atlas Copco AB Class B,ATCO.B,0.18%
ArcelorMittal SA,MT,0.17%
Credit Agricole SA,ACA,0.17%
Swedbank AB Class A,SWED.A,0.17%
H&M Hennes & Mauritz AB Class B,HM.B,0.17%
Evolution Gaming Group AB,EVO,0.17%
Skandinaviska Enskilda Banken AB Class A,SEB.A,0.17%
Logitech International S.A.,LOGN,0.17%
Societe Generale S.A. Class A,GLE,0.17%
Carlsberg A/S Class B,CARL.B,0.17%
SEGRO plc,SGRO,0.16%
BT Group plc,BT.A,0.16%
Svenska Handelsbanken AB Class A,SHB.A,0.16%
3i Group plc,III,0.16%
Siemens Energy AG,ENR,0.16%
Swiss Life Holding AG,SLHN,0.16%
Continental AG,CON,0.16%
SGS SA,SGSN,0.16%
Sartorius AG Pref,SRT3,0.15%
arGEN-X SE,ARGX,0.15%
Repsol SA,REP,0.15%
Sonova Holding AG,SOON,0.15%
Alstom SA,ALO,0.15%
A.P. Moller - Maersk A/S Class B,MAERSK.B,0.15%
NN Group N.V.,NN,0.15%
Veolia Environnement SA,VIE,0.14%
Julius Baer Gruppe AG,BAER,0.14%
Straumann Holding AG,STMN,0.14%
UCB S.A.,UCB,0.14%
MTU Aero Engines AG,MTX,0.14%
Edenred SA,EDEN,0.14%
Swisscom AG,SCMN,0.14%
"Ferrovial, S.A.",FER,0.14%
WPP Plc,WPP,0.14%
Croda International Plc,CRDA,0.13%
Next plc,NXT,0.13%
Rolls-Royce Holdings plc,RR,0.13%
Rentokil Initial plc,RTO,0.13%
CNH Industrial NV,CNHI,0.13%
Intertek Group plc,ITRK,0.13%
Aena SME SA,AENA,0.13%
Swedish Match AB,SWMA,0.13%
Moncler SpA,MONC,0.13%
Halma plc,HLMA,0.13%
Ryanair Holdings Plc Sponsored ADR,RYAAY,0.12%
Siemens Healthineers AG,SHL,0.12%
Pandora A/S,PNDORA,0.12%
Bunzl plc,BNZL,0.12%
LEG Immobilien AG,LEG,0.12%
GN Store Nord A/S,GN,0.12%
Groupe Bruxelles Lambert SA,GBLB,0.12%
Brenntag AG,BNR,0.12%
Novozymes A/S Class B,NZYM.B,0.12%
Stora Enso Oyj Class R,STERV,0.12%
Smurfit Kappa Group Plc,SK3,0.12%
Melrose Industries PLC,MRO,0.12%
Kinnevik AB Class B,KINV.B,0.12%
NIBE Industrier AB Class B,NIBE.B,0.12%
Beiersdorf AG,BEI,0.12%
InterContinental Hotels Group PLC,IHG,0.12%
Publicis Groupe SA,PUB,0.12%
QIAGEN NV,QIA,0.12%
Persimmon Plc,PSN,0.12%
Snam S.p.A.,SRG,0.12%
Associated British Foods plc,ABF,0.12%
Chocoladefabriken Lindt & Spruengli AG,LISN,0.12%
Kuehne & Nagel International AG,KNIN,0.12%
Adecco Group AG,ADEN,0.12%
Spirax-Sarco Engineering PLC,SPX,0.12%
Danske Bank A/S,DANSKE,0.12%
Epiroc AB Class A,EPI.A,0.12%
Mondi plc,MNDI,0.12%
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,URW,0.12%
Schindler Holding AG Pref,SCHP,0.11%
Porsche Automobil Holding SE Pref,PAH3,0.11%
ageas SA/NV,AGS,0.11%
Admiral Group plc,ADM,0.11%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.11%
Covestro AG,1COV,0.11%
Royal KPN NV,KPN,0.11%
Telenor ASA,TEL,0.11%
HeidelbergCement AG,HEI,0.11%
PUMA SE,PUM,0.11%
Kingspan Group Plc,KRX,0.11%
NatWest Group Plc,NWG,0.11%
Skanska AB Class B,SKA.B,0.11%
Fortum Oyj,FORTUM,0.11%
Mowi ASA,MOWI,0.11%
Informa Plc,INF,0.11%
Telia Company AB,TELIA,0.11%
Carrefour SA,CA,0.11%
Terna S.p.A.,TRN,0.11%
Burberry Group plc,BRBY,0.11%
Chr. Hansen Holding A/S,CHR,0.11%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.1%
Barratt Developments PLC,BDEV,0.1%
Bouygues SA,EN,0.1%
RSA Insurance Group plc,RSA,0.1%
Henkel AG & Co. KGaA,HEN,0.1%
Umicore,UMI,0.1%
Thales SA,HO,0.1%
Hannover Rueck SE,HNR1,0.1%
Heineken Holding N.V.,HEIO,0.1%
Prysmian S.p.A.,PRY,0.1%
EXOR N.V.,EXO,0.1%
CaixaBank SA,CABK,0.1%
Just Eat Takeaway.com N.V.,TKWY,0.1%
Roche Holding AG,RO,0.1%
Erste Group Bank AG,EBS,0.1%
Actividades de Construccion y Servicios SA,ACS,0.1%
Boliden AB,BOL,0.1%
SKF AB Class B,SKF.B,0.1%
Berkeley Group Holdings plc,BKG,0.09%
Atos SE,ATO,0.09%
Temenos AG,TEMN,0.09%
Standard Life Aberdeen PLC,SLA,0.09%
Sage Group plc,SGE,0.09%
Red Electrica Corp. SA,REE,0.09%
Baloise-Holding AG,BALN,0.09%
Alfa Laval AB,ALFA,0.09%
Valeo SA,FR,0.09%
Whitbread PLC,WTB,0.09%
Aroundtown SA,AT1,0.09%
Gecina SA,GFC,0.09%
SUEZ SA,SEV,0.09%
Atlantia S.p.A,ATL,0.09%
Entain PLC,ENT,0.09%
St. James\'s Place Plc,STJ,0.09%
Renault SA,RNO,0.09%
Solvay SA,SOLB,0.09%
"Grifols, S.A. Class A",GRF,0.09%
Endesa S.A.,ELE,0.09%
Swatch Group Ltd. Bearer,UHR,0.08%
Smiths Group Plc,SMIN,0.08%
Orkla ASA,ORK,0.08%
Swiss Prime Site AG,SPSN,0.08%
Sodexo SA,SW,0.08%
Kingfisher Plc,KGF,0.08%
United Utilities Group PLC,UU,0.08%
Taylor Wimpey plc,TW,0.08%
Bureau Veritas SA,BVI,0.08%
Pearson PLC,PSON,0.08%
"Naturgy Energy Group, S.A.",NTGY,0.08%
Ubisoft Entertainment SA,UBI,0.08%
Severn Trent Plc,SVT,0.08%
DCC Plc,DCC,0.08%
Yara International ASA,YAR,0.08%
Elisa Oyj Class A,ELISA,0.08%
Vifor Pharma AG,VIFN,0.08%
Randstad NV,RAND,0.08%
Eiffage SA,FGR,0.08%
Arkema SA,AKE,0.08%
