IFRA: iShares U.S. Infrastructure ETF
Inception Date: 2018-04-03
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	94394
Shares Outstanding: 3150000
Expense Ratio: 0.4%
Tracks This Index: NYSE FactSet U.S. Infrastructure Index
ETFdb.com Category: All Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IFRA


Holding,Symbol,Weighting
California Water Service Group,CWT,0.83%
"NRG Energy, Inc.",NRG,0.83%
"BMC Stock Holdings, Inc.",BMCH,0.83%
Cleveland-Cliffs Inc,CLF,0.83%
"Builders FirstSource, Inc.",BLDR,0.83%
Pool Corporation,POOL,0.82%
American States Water Company,AWR,0.82%
Great Lakes Dredge & Dock Corporation,GLDD,0.82%
"NextEra Energy, Inc.",NEE,0.81%
Avista Corporation,AVA,0.81%
FirstEnergy Corp.,FE,0.8%
"IDACORP, Inc.",IDA,0.8%
Kansas City Southern,KSU,0.8%
"Apogee Enterprises, Inc.",APOG,0.8%
"Trex Company, Inc.",TREX,0.8%
Howmet Aerospace Inc.,HWM,0.8%
Cadiz Inc.,CDZI,0.8%
New Jersey Resources Corporation,NJR,0.8%
"Gibraltar Industries, Inc.",ROCK,0.79%
"Trinity Industries, Inc.",TRN,0.79%
Chesapeake Utilities Corporation,CPK,0.79%
SJW Group,SJW,0.79%
"American Water Works Company, Inc.",AWK,0.78%
Weyerhaeuser Company,WY,0.78%
Boise Cascade Co.,BCC,0.78%
Otter Tail Corporation,OTTR,0.78%
"MasTec, Inc.",MTZ,0.78%
Vistra Corp.,VST,0.78%
Portland General Electric Company,POR,0.78%
Exelon Corporation,EXC,0.78%
Middlesex Water Company,MSEX,0.78%
Olin Corporation,OLN,0.77%
"Evergy, Inc.",EVRG,0.77%
MYR Group Inc.,MYRG,0.77%
NorthWestern Corporation,NWE,0.77%
CMS Energy Corporation,CMS,0.77%
Black Hills Corporation,BKH,0.77%
Antero Midstream Corp.,AM,0.77%
Ameren Corporation,AEE,0.77%
"Advanced Drainage Systems, Inc.",WMS,0.77%
Unitil Corporation,UTL,0.77%
Xcel Energy Inc.,XEL,0.77%
Public Service Enterprise Group Inc,PEG,0.77%
Ingevity Corporation,NGVT,0.77%
Union Pacific Corporation,UNP,0.77%
