IIGV: Invesco Investment Grade Value ETF
Inception Date: 2018-07-25
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	39587
Shares Outstanding: 1400000
Expense Ratio: 0.13%
Tracks This Index: Invesco Investment Grade Value Index
ETFdb.com Category: Corporate Bonds
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IIGV


Holding,Symbol,Weighting
Walt Disney Company 2.0% 01-SEP-2029,Other,0.91%
Phillips 66 Partners LP 3.15% 15-DEC-2029,Other,0.9%
Sempra Energy 3.4% 01-FEB-2028,Other,0.89%
AbbVie Inc. 3.2% 21-NOV-2029,Other,0.89%
Southern California Gas Company 2.55% 01-FEB-2030,Other,0.88%
"Nordstrom, Inc. 8.75% 15-MAY-2025",Other,0.88%
New York Life Global Funding 2.875% 10-APR-2024,Other,0.88%
Berkshire Hathaway Inc. 3.125% 15-MAR-2026,Other,0.88%
Aflac Incorporated 3.6% 01-APR-2030,Other,0.87%
GE Capital International Funding Co. 3.373% 15-NOV-2025,Other,0.85%
"Piedmont Natural Gas Company, Inc. 3.5% 01-JUN-2029",Other,0.81%
"ONEOK, Inc. 3.1% 15-MAR-2030",Other,0.79%
Carlisle Companies Incorporated 2.75% 01-MAR-2030,Other,0.79%
General Electric Company 3.625% 01-MAY-2030,Other,0.79%
"PNC Bank, National Association 4.05% 26-JUL-2028",Other,0.75%
Schlumberger Holdings Corp. 3.9% 17-MAY-2028,Other,0.75%
International Business Machines Corporation 3.5% 15-MAY-2029,Other,0.74%
Tennessee Gas Pipeline Company 2.9% 01-MAR-2030,Other,0.74%
"Interpublic Group of Companies, Inc. 4.75% 30-MAR-2030",Other,0.73%
Westlake Chemical Corporation 3.6% 15-AUG-2026,Other,0.73%
Pioneer Natural Resources Company 1.9% 15-AUG-2030,Other,0.73%
"Brighthouse Financial, Inc. 3.7% 22-JUN-2027",Other,0.73%
"Fidelity National Financial, Inc. 3.4% 15-JUN-2030",Other,0.73%
Athene Holding Ltd. 4.125% 12-JAN-2028,Other,0.73%
Dow Chemical Company 7.375% 01-NOV-2029,Other,0.73%
CommonSpirit Health (Illinois) 3.347% 01-OCT-2029,Other,0.73%
"Viacom, Inc. /Old/ 7.875% 30-JUL-2030",Other,0.72%
Chevron Phillips Chemical Co. LLC 3.4% 01-DEC-2026,Other,0.72%
Chevron Corporation 1.554% 11-MAY-2025,Other,0.72%
Ventas Realty LP 4.4% 15-JAN-2029,Other,0.72%
"REGENCY CENTERS, L.P. 3.7% 15-JUN-2030",Other,0.72%
Ralph Lauren Corporation 2.95% 15-JUN-2030,Other,0.72%
Healthcare Trust of America Holdings LP 3.1% 15-FEB-2030,Other,0.72%
Amdocs Limited 2.538% 15-JUN-2030,Other,0.72%
"AEP Texas, Inc. 2.1% 01-JUL-2030",Other,0.72%
"NIKE, Inc. 2.85% 27-MAR-2030",Other,0.72%
WestRock Company 4.9% 15-MAR-2029,Other,0.72%
Campbell Soup Company 4.15% 15-MAR-2028,Other,0.72%
Adobe Incorporated 2.3% 01-FEB-2030,Other,0.72%
Eli Lilly and Company 3.375% 15-MAR-2029,Other,0.71%
American Water Capital Corp. 3.75% 01-SEP-2028,Other,0.71%
"Altria Group, Inc. 4.8% 14-FEB-2029",Other,0.71%
Jefferies Group LLC 4.15% 23-JAN-2030,Other,0.71%
Textron Inc. 3.0% 01-JUN-2030,Other,0.71%
Bristol-Myers Squibb Company 3.4% 26-JUL-2029,Other,0.71%
Verizon Communications Inc. 4.329% 21-SEP-2028,Other,0.71%
"Conoco, Inc. 6.95% 15-APR-2029",Other,0.71%
DENTSPLY SIRONA Inc. 3.25% 01-JUN-2030,Other,0.71%
DTE Electric Company 2.25% 01-MAR-2030,Other,0.71%
Camden Property Trust 2.8% 15-MAY-2030,Other,0.71%
Georgia-Pacific Corp. /Old/ 2.3% 30-APR-2030,Other,0.71%
Fox Corporation 4.709% 25-JAN-2029,Other,0.71%
Lam Research Corporation 4.0% 15-MAR-2029,Other,0.71%
CVS Health Corporation 4.3% 25-MAR-2028,Other,0.71%
Keurig Dr Pepper Inc. 4.597% 25-MAY-2028,Other,0.71%
Apollo Management Holdings LP 4.872% 15-FEB-2029,Other,0.71%
Cigna Corporation 4.375% 15-OCT-2028,Other,0.71%
AT&T Inc. 4.3% 15-FEB-2030,Other,0.7%
National Rural Utilities Cooperative Finance Corporation 3.4% 07-FEB-2028,Other,0.7%
United Technologies Corporation 4.125% 16-NOV-2028,Other,0.7%
"Fortune Brands Home & Security, Inc. 3.25% 15-SEP-2029",Other,0.7%
Microsoft Corporation 2.4% 08-AUG-2026,Other,0.7%
Nuveen LLC 4.0% 01-NOV-2028,Other,0.7%
"Consolidated Edison Company of New York, Inc. 3.35% 01-APR-2030",Other,0.7%
Sysco Corporation 5.95% 01-APR-2030,Other,0.7%
"Dominion Energy, Inc. 3.375% 01-APR-2030",Other,0.7%
Hewlett Packard Enterprise Company 4.9% 15-OCT-2025,Other,0.7%
TIAA Asset Management Finance Co. LLC 4.125% 01-NOV-2024,Other,0.7%
Harris Corporation 4.4% 15-JUN-2028,Other,0.7%
Quest Diagnostics Incorporated 2.95% 30-JUN-2030,Other,0.7%
"PNC Financial Services Group, Inc. 2.55% 22-JAN-2030",Other,0.7%
"Mars, Inc. 3.2% 01-APR-2030",Other,0.7%
Biogen Inc. 4.05% 15-SEP-2025,Other,0.7%
Kimberly-Clark Corporation 3.1% 26-MAR-2030,Other,0.7%
"Fiserv, Inc. 3.5% 01-JUL-2029",Other,0.7%
Duke Energy Florida LLC 2.5% 01-DEC-2029,Other,0.7%
Morgan Stanley & Co. LLC 3.875% 27-JAN-2026,Other,0.7%
"Colonial Enterprises, Inc. 3.25% 15-MAY-2030",Other,0.7%
Vulcan Materials Company 3.5% 01-JUN-2030,Other,0.7%
Ingredion Incorporated 2.9% 01-JUN-2030,Other,0.7%
"Reinsurance Group of America, Incorporated 3.9% 15-MAY-2029",Other,0.7%
Block Financial LLC 3.875% 15-AUG-2030,Other,0.69%
"Marsh & McLennan Companies, Inc. 4.375% 15-MAR-2029",Other,0.69%
Xcel Energy Inc. 4.0% 15-JUN-2028,Other,0.69%
"Prologis, L.P. 2.25% 15-APR-2030",Other,0.68%
U.S. Bank National Association 2.05% 21-JAN-2025,Other,0.67%
Gray Oak Pipeline LLC 2.6% 15-OCT-2025,Other,0.66%
Midwest Connector Capital Co. LLC 3.9% 01-APR-2024,Other,0.65%
Cummins Inc. 1.5% 01-SEP-2030,Other,0.64%
"Regeneron Pharmaceuticals, Inc. 1.75% 15-SEP-2030",Other,0.63%
Alphabet Inc. 1.1% 15-AUG-2030,Other,0.63%
Simon Property Group LP 2.45% 13-SEP-2029,Other,0.62%
Amphenol Corporation 2.8% 15-FEB-2030,Other,0.62%
"Principal Financial Group, Inc. 2.125% 15-JUN-2030",Other,0.61%
Southwest Airlines Co. 5.125% 15-JUN-2027,Other,0.61%
Pine Street Trust I 4.572% 15-FEB-2029,Other,0.6%
GE Capital Funding LLC 4.4% 15-MAY-2030,Other,0.6%
Air Lease Corporation 3.375% 01-JUL-2025,Other,0.6%
Health Care Service Corporation 2.2% 01-JUN-2030,Other,0.59%
ERAC USA Finance LLC 3.8% 01-NOV-2025,Other,0.59%
Lear Corporation 3.8% 15-SEP-2027,Other,0.59%
Ascension Health Alliance 2.532% 15-NOV-2029,Other,0.59%
Sonoco Products Company 3.125% 01-MAY-2030,Other,0.59%
Baker Hughes Holdings LLC 3.337% 15-DEC-2027,Other,0.58%
BorgWarner Inc. 2.65% 01-JUL-2027,Other,0.58%
"Harley-Davidson Financial Services, Inc. 3.35% 08-JUN-2025",Other,0.58%
3M Company 2.375% 26-AUG-2029,Other,0.58%
ERAC USA Finance Co. 2.7% 01-NOV-2023,Other,0.58%
NiSource Finance Corp. 3.49% 15-MAY-2027,Other,0.58%
"Equitable Holdings, Inc. 4.35% 20-APR-2028",Other,0.58%
"Keysight Technologies, Inc. 4.6% 06-APR-2027",Other,0.58%
"PerkinElmer, Inc. 3.3% 15-SEP-2029",Other,0.58%
Hormel Foods Corporation 1.8% 11-JUN-2030,Other,0.58%
"American Electric Power Company, Inc. 4.3% 01-DEC-2028",Other,0.58%
Booking Holdings Inc. 4.625% 13-APR-2030,Other,0.57%
Discover Financial Services 4.1% 09-FEB-2027,Other,0.57%
"AvalonBay Communities, Inc. 2.3% 01-MAR-2030",Other,0.57%
Providence St. Joseph Health 2.532% 01-OCT-2029,Other,0.57%
Exelon Corporation 4.05% 15-APR-2030,Other,0.57%
Ares Capital Corporation 3.5% 10-FEB-2023,Other,0.57%
NVIDIA Corporation 2.85% 01-APR-2030,Other,0.57%
"Goldman Sachs Group, Inc. 3.5% 01-APR-2025",Other,0.57%
ERP Operating LP 3.0% 01-JUL-2029,Other,0.57%
"Cboe Global Markets, Inc. 3.65% 12-JAN-2027",Other,0.57%
Costco Wholesale Corporation 1.6% 20-APR-2030,Other,0.57%
Boston Scientific Corporation 2.65% 01-JUN-2030,Other,0.57%
Procter & Gamble Company 3.028% 25-MAR-2030,Other,0.56%
"Delta Airlines, Inc. Retirement Plan 4.75% 20-OCT-2028",Other,0.56%
FMR LLC 7.57% 15-JUN-2029,Other,0.56%
Estee Lauder Companies Inc. 2.6% 15-APR-2030,Other,0.56%
Union Pacific Corporation 3.95% 10-SEP-2028,Other,0.56%
TD Ameritrade Holding Corporation 3.3% 01-APR-2027,Other,0.56%
Cintas Corporation No. 2 3.7% 01-APR-2027,Other,0.56%
KKR Group Finance Co. VI LLC 3.75% 01-JUL-2029,Other,0.56%
Federal Realty Investment Trust 3.95% 15-JAN-2024,Other,0.55%
Metropolitan Life Global Funding I 1.95% 13-JAN-2023,Other,0.53%
Athene Global Funding 2.45% 20-AUG-2027,Other,0.53%
Berkshire Hathaway Finance Corp. 1.45% 15-OCT-2030,Other,0.52%
"Franklin Resources, Inc. 1.6% 30-OCT-2030",Other,0.51%
Eversource Energy 1.65% 15-AUG-2030,Other,0.51%
Northern Trust Corporation 1.95% 01-MAY-2030,Other,0.45%
MUTUAL FUND (OTHER),Other,0.44%
"Gilead Sciences, Inc. 3.65% 01-MAR-2026",Other,0.43%
Exelon Generation Ltd. 3.25% 01-JUN-2025,Other,0.42%
Valero Energy Corporation 3.4% 15-SEP-2026,Other,0.42%
"Broadridge Financial Solutions, Inc. 2.9% 01-DEC-2029",Other,0.42%
Jersey Central Power & Light Company 4.3% 15-JAN-2026,Other,0.4%
Sutter Health 2.294% 15-AUG-2030,Other,0.4%
"Nutrition & Biosciences, Inc. 2.3% 01-NOV-2030",Other,0.39%
San Diego Gas & Electric Company 1.7% 01-OCT-2030,Other,0.39%
Comcast Corporation 4.15% 15-OCT-2028,Other,0.31%
Phillips 66 3.9% 15-MAR-2028,Other,0.29%
"BlackRock, Inc. 3.5% 18-MAR-2024",Other,0.28%
"Mondelez International, Inc. 2.75% 13-APR-2030",Other,0.28%
"ServiceNow, Inc. 1.4% 01-SEP-2030",Other,0.25%
