IMOM: MomentumShares International Quantitative Momentum ETF
Inception Date: 2015-12-23
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	100345
Shares Outstanding: 2900000
Expense Ratio: 0.59%
Tracks This Index: n/a
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Alpha Architect
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IMOM


Holding,Symbol,Weighting
Fortescue Metals Group Ltd,FMG,2.43%
Scatec ASA,SSO,2.36%
HelloFresh SE,HFG,2.35%
Delivery Hero SE,DHER,2.34%
"Solaria Energia y Medio Ambiente, S.A.",SLR,2.34%
Sinch AB,SINCH,2.21%
NEL ASA,NEL,2.21%
Mineral Resources Limited,MIN,2.2%
MicroPort Scientific Corp.,853,2.19%
Evolution Gaming Group AB,EVO,2.19%
Orsted,ORSTED,2.18%
Avanza Bank Holding AB,AZA,2.15%
Adyen NV,ADYEN,2.14%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,2.14%
EQT AB,EQT,2.12%
"Capcom Co., Ltd.",9697,2.1%
SoftBank Group Corp.,9984,2.08%
Zalando SE,ZAL,2.08%
Pandora A/S,PNDORA,2.06%
Stillfront Group AB,SF,2.04%
"Koei Tecmo Holdings Co., Ltd.",3635,2.03%
Logitech International S.A.,LOGN,2.02%
Nextdc Limited,NXT,2.0%
"JTOWER, Inc.",4485,1.98%
Domino\'s Pizza Enterprises Limited,DMP,1.97%
"M3, Inc.",2413,1.96%
Latour AB Investment Class B,LATO.B,1.96%
Ocado Group PLC,OCDO,1.95%
"Tokyo Ohka Kogyo Co., Ltd.",4186,1.95%
"BayCurrent Consulting, Inc.",6532,1.92%
Kinnevik AB Class B,KINV.B,1.92%
Tecan Group AG,TECN,1.91%
freee K.K.,4478,1.9%
Kornit Digital Ltd.,KRNT,1.88%
Lonza Group AG,LONN,1.87%
"CyberAgent, Inc.",4751,1.87%
Neste Corporation,NESTE,1.87%
"Daifuku Co., Ltd.",6383,1.85%
Sartorius Stedim Biotech SA,DIM,1.83%
"GMO Payment Gateway, Inc.",3769,1.82%
NEC Networks & System Integration Corporation,1973,1.81%
bioMerieux SA,BIM,1.8%
Swedish Match AB,SWMA,1.79%
COSMOS Pharmaceutical Corporation,3349,1.79%
Fiverr International Ltd.,FVRR,1.79%
Nihon M&A Center Inc.,2127,1.78%
Sartorius AG Pref,SRT3,1.72%
"MonotaRO Co., Ltd.",3064,1.59%
"Change, Inc. (Japan)",3962,1.55%
Pharma Mar SA,PHM,1.46%
First American Funds Inc X Government Obligations Fund,FGXXX,0.49%
U.S. Dollar,Other,0.05%
