INDY: iShares India 50 ETF
Inception Date: 2009-11-18
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	667566
Shares Outstanding: 15650000
Expense Ratio: 0.94%
Tracks This Index: S&P CNX Nifty Index
ETFdb.com Category: Asia Pacific Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/INDY


Holding,Symbol,Weighting
Reliance Industries Limited,500325,10.49%
HDFC Bank Limited,500180,10.21%
Infosys Limited,500209,7.52%
Housing Development Finance Corporation Limited,500010,7.49%
ICICI Bank Limited,532174,6.03%
Tata Consultancy Services Limited,532540,4.92%
Kotak Mahindra Bank Limited,500247,4.78%
Hindustan Unilever Limited,500696,3.49%
ITC Limited,500875,2.98%
Larsen & Toubro Ltd.,500510,2.57%
Axis Bank Limited,532215,2.51%
Bajaj Finance Limited,500034,2.29%
Asian Paints Ltd.,500820,2.04%
Bharti Airtel Limited,532454,2.0%
State Bank of India,500112,1.72%
HCL Technologies Limited,532281,1.68%
Maruti Suzuki India Limited,532500,1.66%
MUTUAL FUND (OTHER),Other,1.4%
Mahindra & Mahindra Ltd.,500520,1.13%
Nestle India Ltd.,500790,1.07%
Titan Company Limited,500114,1.07%
Sun Pharmaceutical Industries Limited,524715,1.04%
Dr. Reddy\'s Laboratories Ltd.,500124,1.03%
UltraTech Cement Limited,532538,1.0%
Tech Mahindra Limited,532755,0.99%
Wipro Limited,507685,0.94%
Bajaj Finserv Limited,532978,0.88%
HDFC Life Insurance Co. Ltd.,540777,0.87%
IndusInd Bank Ltd.,532187,0.83%
Power Grid Corporation of India Limited,532898,0.8%
Divi\'s Laboratories Limited,532488,0.8%
Tata Steel Limited,500470,0.79%
NTPC Limited,532555,0.79%
Bajaj Auto Limited.,532977,0.73%
Britannia Industries Ltd,500825,0.69%
Cipla Limited,500087,0.68%
Hero Motocorp Limited,500182,0.66%
JSW Steel Limited,500228,0.63%
Grasim Industries Ltd,500300,0.6%
Adani Ports & Special Economic Zone Ltd.,532921,0.58%
SBI Life Insurance Co. Ltd.,540719,0.58%
Eicher Motors Limited,505200,0.58%
Hindalco Industries Limited,500440,0.57%
Oil & Natural Gas Corp. Ltd.,500312,0.55%
Tata Motors Limited,500570,0.54%
Shree Cement Limited,500387,0.52%
Bharat Petroleum Corporation Limited,500547,0.5%
Coal India Ltd.,533278,0.46%
UPL Limited,512070,0.42%
Indian Oil Corp. Ltd.,530965,0.38%
GAIL (India) Limited,532155,0.37%
U.S. Dollar,Other,0.12%
EQUITY OTHER,Other,0.05%
Yes Bank Limited,532648,0.0%
