IQM: Franklin Intelligent Machines ETF
Inception Date: 2020-02-25
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	6502
Shares Outstanding: 150000
Expense Ratio: 0.5%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
Issuer: Franklin Templeton Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IQM


Holding,Symbol,Weighting
Tesla Inc,TSLA,10.91%
Apple Inc.,AAPL,6.11%
"Intuitive Surgical, Inc.",ISRG,5.07%
"Autodesk, Inc.",ADSK,3.67%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,3.12%
"Teradyne, Inc.",TER,2.95%
"ANSYS, Inc.",ANSS,2.84%
NVIDIA Corporation,NVDA,2.83%
"iRhythm Technologies, Inc.",IRTC,2.67%
Axon Enterprise Inc,AAXN,2.62%
NovoCure Ltd.,NVCR,2.6%
Zebra Technologies Corporation Class A,ZBRA,2.57%
"Synopsys, Inc.",SNPS,2.27%
Cerence Inc.,CRNC,2.14%
"Cadence Design Systems, Inc.",CDNS,2.05%
"Proto Labs, Inc.",PRLB,1.96%
"Entegris, Inc.",ENTG,1.94%
"Teladoc Health, Inc.",TDOC,1.94%
Altair Engineering Inc. Class A,ALTR,1.91%
Keyence Corporation,6861,1.83%
Amphenol Corporation Class A,APH,1.83%
Insulet Corporation,PODD,1.62%
Descartes Systems Group Inc.,DSG,1.6%
"IDEXX Laboratories, Inc.",IDXX,1.54%
"DexCom, Inc.",DXCM,1.52%
Dassault Systemes SA,DSY,1.48%
PTC Inc.,PTC,1.46%
Masimo Corporation,MASI,1.46%
ResMed Inc.,RMD,1.4%
"Inspire Medical Systems, Inc.",INSP,1.34%
Infineon Technologies AG,IFX,1.16%
"Brooks Automation, Inc.",BRKS,1.11%
Keysight Technologies Inc,KEYS,1.01%
KLA Corporation,KLAC,1.0%
"Align Technology, Inc.",ALGN,0.98%
Aptiv PLC,APTV,0.98%
ASML Holding NV ADR,ASML,0.97%
"Kratos Defense & Security Solutions, Inc.",KTOS,0.97%
TE Connectivity Ltd.,TEL,0.95%
"Roper Technologies, Inc.",ROP,0.94%
Nevro Corp.,NVRO,0.93%
Lam Research Corporation,LRCX,0.91%
Atlassian Corp. Plc Class A,TEAM,0.83%
"Applied Materials, Inc.",AMAT,0.82%
"Rockwell Automation, Inc.",ROK,0.81%
"AeroVironment, Inc.",AVAV,0.76%
Stryker Corporation,SYK,0.71%
Harmonic Drive Systems Inc.,6324,0.55%
"ZTO Express (Cayman), Inc. Sponsored ADR Class A",ZTO,0.5%
Cognex Corporation,CGNX,0.49%
"Bentley Systems, Incorporated Class B",BSY,0.47%
Yaskawa Electric Corporation,6506,0.46%
Sensata Technologies Holding PLC,ST,0.45%
Eaton Corp. Plc,ETN,0.45%
"MKS Instruments, Inc.",MKSI,0.42%
"Aspen Technology, Inc.",AZPN,0.35%
Stratasys Ltd.,SSYS,0.34%
Fortive Corp.,FTV,0.29%
U.S. Dollar,Other,0.16%
