IQSI: IQ Candriam ESG International Equity ETF
Inception Date: 2019-12-17
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	132604
Shares Outstanding: 4850000
Expense Ratio: 0.15%
Tracks This Index: IQ Candriam ESG International Equity Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: IndexIQ
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IQSI


Holding,Symbol,Weighting
Nestle S.A.,NESN,2.85%
Roche Holding Ltd,ROG,2.06%
ASML Holding NV,ASML,1.77%
Toyota Motor Corp.,7203,1.44%
AIA Group Limited,1299,1.28%
Unilever PLC,ULVR,1.25%
SAP SE,SAP,1.1%
AstraZeneca PLC,AZN,1.06%
Sony Corporation,6758,1.03%
Novo Nordisk A/S Class B,NOVO.B,0.98%
Siemens AG,SIE,0.97%
Total SE,FP,0.94%
Sanofi,SAN,0.88%
SoftBank Group Corp.,9984,0.85%
Allianz SE,ALV,0.84%
CSL Limited,CSL,0.83%
BHP Group Ltd,BHP,0.81%
GlaxoSmithKline plc,GSK,0.78%
Iberdrola SA,IBE,0.77%
Rio Tinto plc,RIO,0.69%
Enel SpA,ENEL,0.67%
Schneider Electric SE,SU,0.67%
L\'Oreal SA,OR,0.67%
Air Liquide SA,AI,0.66%
"Nintendo Co., Ltd.",7974,0.62%
BASF SE,BAS,0.61%
Royal Dutch Shell Plc Class A,RDSA,0.6%
Hong Kong Exchanges & Clearing Ltd.,388,0.6%
BP p.l.c.,BP,0.58%
"Daiichi Sankyo Company, Limited",4568,0.56%
Dreyfus Institutional Reserves Money Fund Institutional,DSVXX,0.54%
Reckitt Benckiser Group plc,RB,0.54%
Nidec Corporation,6594,0.53%
Zurich Insurance Group Ltd,ZURN,0.53%
adidas AG,ADS,0.53%
Nippon Telegraph and Telephone Corporation,9432,0.52%
Deutsche Telekom AG,DTE,0.5%
BNP Paribas SA Class A,BNP,0.5%
Royal Dutch Shell Plc Class B,RDSB,0.49%
"DAIKIN INDUSTRIES, LTD.",6367,0.49%
National Australia Bank Limited,NAB,0.48%
VINCI SA,DG,0.48%
BHP Group Plc,BHP,0.47%
Takeda Pharmaceutical Co. Ltd.,4502,0.46%
Tokyo Electron Ltd.,8035,0.45%
AXA SA,CS,0.45%
Westpac Banking Corporation,WBC,0.45%
Banco Santander S.A.,SAN,0.45%
ABB Ltd.,ABBN,0.44%
Kering SA,KER,0.44%
Adyen NV,ADYEN,0.43%
Infineon Technologies AG,IFX,0.43%
"Recruit Holdings Co., Ltd.",6098,0.43%
HOYA CORPORATION,7741,0.43%
Koninklijke Philips N.V.,PHIA,0.42%
Deutsche Post AG,DPW,0.41%
Prudential plc,PRU,0.41%
Lonza Group AG,LONN,0.4%
Vestas Wind Systems A/S,VWS,0.4%
KDDI Corporation,9433,0.4%
RELX PLC,REL,0.4%
"FAST RETAILING CO., LTD.",9983,0.4%
Fanuc Corporation,6954,0.39%
EssilorLuxottica SA,EL,0.39%
Australia and New Zealand Banking Group Limited,ANZ,0.39%
Wesfarmers Limited,WES,0.37%
NXP Semiconductors NV,NXPI,0.37%
Vodafone Group Plc,VOD,0.37%
Prosus N.V. Class N,PRX,0.36%
Itochu Corporation,8001,0.35%
Anglo American plc,AAL,0.34%
Munich Reinsurance Company,MUV2,0.34%
Vonovia SE,VNA,0.34%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.33%
Intesa Sanpaolo S.p.A.,ISP,0.33%
Danone SA,BN,0.33%
Macquarie Group Limited,MQG,0.32%
Orsted,ORSTED,0.32%
SMC Corporation,6273,0.32%
DSV Panalpina A/S,DSV,0.32%
Sika AG,SIKA,0.31%
"Hitachi,Ltd.",6501,0.31%
Hermes International SCA,RMS,0.3%
SoftBank Corp.,9434,0.3%
ING Groep NV,INGA,0.3%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.3%
Kao Corp.,4452,0.3%
Experian PLC,EXPN,0.3%
"Industria de Diseno Textil, S.A.",ITX,0.29%
Givaudan SA,GIVN,0.29%
Volkswagen AG Pref,VOW3,0.28%
DBS Group Holdings Ltd,D05,0.28%
"Chugai Pharmaceutical Co., Ltd.",4519,0.28%
CRH Plc,CRH,0.28%
Atlas Copco AB Class A,ATCO.A,0.28%
Compass Group PLC,CPG,0.28%
Barclays PLC,BARC,0.28%
Lloyds Banking Group plc,LLOY,0.28%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.28%
Neste Corporation,NESTE,0.28%
Mitsubishi Corporation,8058,0.28%
Rio Tinto Limited,RIO,0.27%
Nordea Bank Abp,NDA.FI,0.27%
Amadeus IT Group SA Class A,AMS,0.27%
"Alcon, Inc.",ALC,0.27%
"Oriental Land Co., Ltd.",4661,0.26%
Deutsche Boerse AG,DB1,0.26%
"Mizuho Financial Group, Inc.",8411,0.25%
Koninklijke DSM N.V.,DSM,0.25%
Kone Oyj Class B,KNEBV,0.25%
Astellas Pharma Inc.,4503,0.24%
Terumo Corporation,4543,0.24%
"Mitsui & Co.,Ltd",8031,0.24%
Transurban Group Ltd.,TCL,0.24%
Goodman Group,GMG,0.23%
Telstra Corporation Limited,TLS,0.23%
Oversea-Chinese Banking Corporation Limited,O39,0.23%
Bayerische Motoren Werke AG,BMW,0.23%
Dassault Systemes SA,DSY,0.23%
"Shiseido Company,Limited",4911,0.23%
Ferguson Plc,FERG,0.22%
DENSO CORPORATION,6902,0.22%
Partners Group Holding AG,PGHN,0.22%
Hexagon AB Class B,HEXA.B,0.22%
Sandvik AB,SAND,0.22%
Genmab A/S,GMAB,0.22%
Fujitsu Limited,6702,0.22%
STMicroelectronics NV,STM,0.21%
E.ON SE,EOAN,0.21%
Capgemini SE,CAP,0.21%
Eni S.p.A.,ENI,0.21%
Kubota Corporation,6326,0.21%
Swiss Re AG,SREN,0.21%
Panasonic Corporation,6752,0.21%
United Overseas Bank Ltd. (Singapore),U11,0.2%
Orange SA,ORA,0.2%
Legrand SA,LR,0.2%
Compagnie de Saint-Gobain SA,SGO,0.2%
Kerry Group Plc Class A,KRZ,0.19%
Merck KGaA,MRK,0.19%
"AEON Co., Ltd.",8267,0.19%
Cellnex Telecom S.A.,CLNX,0.19%
ASSA ABLOY AB Class B,ASSA.B,0.19%
Geberit AG,GEBN,0.19%
Wolters Kluwer NV,WKL,0.19%
Central Japan Railway Company,9022,0.19%
Nokia Oyj,NOKIA,0.18%
Ashtead Group plc,AHT,0.18%
Compagnie Generale des Etablissements Michelin SCA,ML,0.18%
Legal & General Group Plc,LGEN,0.18%
East Japan Railway Company,9020,0.18%
"Techtronic Industries Co., Ltd.",669,0.17%
Vivendi SE,VIV,0.17%
KBC Group N.V.,KBC,0.17%
Standard Chartered PLC,STAN,0.17%
Deutsche Bank AG,DBK,0.17%
Assicurazioni Generali S.p.A.,G,0.17%
Henkel AG & Co. KGaA Pref,HEN3,0.16%
Fresenius SE & Co. KGaA,FRE,0.16%
Coloplast A/S Class B,COLO.B,0.16%
Telefonica SA,TEF,0.16%
Kyocera Corporation,6971,0.16%
Link Real Estate Investment Trust,823,0.16%
