ISDX: Invesco Strategic Developed ex-US ETF
Inception Date: 2018-09-12
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	282255
Shares Outstanding: 10350000
Expense Ratio: 0.23%
Tracks This Index: Invesco Strategic Developed ex-US Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ISDX


Holding,Symbol,Weighting
"Samsung Electronics Co., Ltd.",005930,2.52%
Royal Dutch Shell Plc Class A,RDSA,2.23%
Toyota Motor Corp.,7203,1.28%
Total SE,FP,1.22%
Daimler AG,DAI,1.2%
Volkswagen AG Pref,VOW3,1.1%
BP p.l.c.,BP,1.04%
BHP Group Ltd,BHP,0.99%
Anheuser-Busch InBev SA/NV,ABI,0.98%
BHP Group Plc,BHP,0.97%
Nestle S.A.,NESN,0.92%
Enbridge Inc.,ENB,0.88%
Rio Tinto Limited,RIO,0.84%
Magna International Inc.,MG,0.84%
Brookfield Asset Management Inc. Class A,BAM.A,0.84%
Suncor Energy Inc.,SU,0.81%
Glencore plc,GLEN,0.79%
Nutrien Ltd.,NTR,0.76%
Canadian Natural Resources Limited,CNQ,0.74%
BASF SE,BAS,0.74%
Novartis AG,NOVN,0.73%
Fiat Chrysler Automobiles N.V.,FCA,0.73%
Rio Tinto plc,RIO,0.71%
Siemens AG,SIE,0.7%
Vodafone Group Plc,VOD,0.69%
NXP Semiconductors NV,NXPI,0.65%
Zurich Insurance Group Ltd,ZURN,0.64%
Enel SpA,ENEL,0.6%
AIA Group Limited,1299,0.6%
Hyundai Motor Company,005380,0.58%
Roche Holding Ltd,ROG,0.56%
"Honda Motor Co., Ltd.",7267,0.54%
Teck Resources Limited Class B,TECK.B,0.54%
Canadian National Railway Company,CNR,0.54%
Unilever PLC,ULVR,0.53%
Sony Corporation,6758,0.52%
ENGIE SA.,ENGI,0.51%
Sanofi,SAN,0.47%
Alimentation Couche-Tard Inc. Class B,ATD.B,0.47%
Deutsche Telekom AG,DTE,0.46%
ArcelorMittal SA,MT,0.45%
Iberdrola SA,IBE,0.44%
Munich Reinsurance Company,MUV2,0.43%
Bayerische Motoren Werke AG,BMW,0.42%
Eni S.p.A.,ENI,0.41%
POSCO,005490,0.41%
Cenovus Energy Inc.,CVE,0.4%
"Hitachi,Ltd.",6501,0.39%
Anglo American plc,AAL,0.38%
EXOR N.V.,EXO,0.38%
Airbus SE,AIR,0.38%
Renault SA,RNO,0.38%
EQUITY OTHER,Other,0.37%
Legal & General Group Plc,LGEN,0.37%
"Nissan Motor Co., Ltd.",7201,0.37%
Mitsubishi Corporation,8058,0.37%
Peugeot SA,UG,0.36%
A.P. Moller - Maersk A/S Class B,MAERSK.B,0.36%
Compagnie de Saint-Gobain SA,SGO,0.36%
Telefonica SA,TEF,0.35%
Schneider Electric SE,SU,0.35%
Swiss Re AG,SREN,0.35%
Bayer AG,BAYN,0.34%
SK hynix Inc,000660,0.34%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.33%
Wesfarmers Limited,WES,0.32%
Nippon Telegraph and Telephone Corporation,9432,0.32%
Carnival plc,CCL,0.32%
Novo Nordisk A/S Class B,NOVO.B,0.31%
Volvo AB Class B,VOLV.B,0.31%
GlaxoSmithKline plc,GSK,0.31%
VINCI SA,DG,0.31%
"Mitsui & Co.,Ltd",8031,0.31%
LG Electronics Inc.,066570,0.3%
Itochu Corporation,8001,0.3%
KIA Motors Corporation,000270,0.3%
"Tokio Marine Holdings, Inc.",8766,0.3%
Fairfax Financial Holdings Limited,FFH,0.3%
BT Group plc,BT.A,0.29%
NIPPON STEEL CORP.,5401,0.29%
Koninklijke Ahold Delhaize N.V.,AD,0.29%
Panasonic Corporation,6752,0.29%
National Grid plc,NG,0.28%
Canadian Pacific Railway Limited,CP,0.28%
Repsol SA,REP,0.27%
Orange SA,ORA,0.27%
ABB Ltd.,ABBN,0.26%
Marubeni Corporation,8002,0.26%
Air Liquide SA,AI,0.25%
"AEON Co., Ltd.",8267,0.25%
"ENEOS Holdings, Inc.",5020,0.25%
Telstra Corporation Limited,TLS,0.24%
"SK Innovation Co., Ltd",096770,0.24%
Diageo plc,DGE,0.24%
LafargeHolcim Ltd.,LHN,0.24%
CRH Plc,CRH,0.23%
DENSO CORPORATION,6902,0.23%
Compagnie Financiere Richemont SA,CFR,0.23%
Continental AG,CON,0.22%
Tesco PLC,TSCO,0.22%
CK Hutchison Holdings Ltd,1,0.22%
BCE Inc.,BCE,0.22%
Safran S.A.,SAF,0.22%
"Canadian Tire Corporation, Limited Class A",CTC.A,0.21%
ASML Holding NV,ASML,0.21%
"SK Holdings Co., Ltd.",034730,0.21%
Seven Generations Energy Ltd. Class A,VII,0.21%
Korea Electric Power Corporation,015760,0.21%
Carrefour SA,CA,0.21%
WPP Plc,WPP,0.21%
Deutsche Post AG,DPW,0.21%
"Seven & I Holdings Co., Ltd.",3382,0.2%
Methanex Corporation,MX,0.2%
Barrick Gold Corporation,ABX,0.2%
AstraZeneca PLC,AZN,0.2%
LG Chem Ltd.,051910,0.2%
Woolworths Group Ltd,WOW,0.2%
Compagnie Generale des Etablissements Michelin SCA,ML,0.2%
"Hyundai Mobis Co., Ltd",012330,0.2%
Koninklijke Philips N.V.,PHIA,0.2%
Henkel AG & Co. KGaA Pref,HEN3,0.19%
Vestas Wind Systems A/S,VWS,0.19%
Vivendi SE,VIV,0.19%
Pembina Pipeline Corporation,PPL,0.19%
Sumitomo Corporation,8053,0.19%
CGI Inc. Class A,GIB.A,0.19%
VEON Ltd. Sponsored ADR,VEON,0.18%
Mitsubishi Electric Corp.,6503,0.18%
"MS&AD Insurance Group Holdings, Inc.",8725,0.18%
Thomson Reuters Corporation,TRI,0.18%
Takeda Pharmaceutical Co. Ltd.,4502,0.18%
Equinor ASA,EQNR,0.18%
SSE plc,SSE,0.18%
Ryanair Holdings Plc Sponsored ADR,RYAAY,0.17%
Teva Pharmaceutical Industries Limited Sponsored ADR,TEVA,0.17%
Bridgestone Corporation,5108,0.17%
Empire Co. Ltd. Class A,EMP.A,0.17%
Merck KGaA,MRK,0.17%
Centrica plc,CNA,0.17%
"LG Display Co., Ltd",034220,0.17%
Imperial Oil Limited,IMO,0.17%
adidas AG,ADS,0.17%
L\'Oreal SA,OR,0.17%
Crescent Point Energy Corp.,CPG,0.17%
Imperial Brands PLC,IMB,0.17%
Shin-Etsu Chemical Co Ltd,4063,0.17%
Fresenius SE & Co. KGaA,FRE,0.16%
George Weston Limited,WN,0.16%
"Mitsubishi Heavy Industries, Ltd.",7011,0.16%
thyssenkrupp AG,TKA,0.16%
HeidelbergCement AG,HEI,0.16%
CNH Industrial NV,CNHI,0.16%
Compass Group PLC,CPG,0.16%
Akzo Nobel N.V.,AKZA,0.16%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.16%
Valeo SA,FR,0.16%
Loblaw Companies Limited,L,0.16%
Fujitsu Limited,6702,0.16%
Air Canada,AC,0.16%
Reckitt Benckiser Group plc,RB,0.16%
Suzuki Motor Corp.,7269,0.15%
Bouygues SA,EN,0.15%
Husky Energy Inc.,HSE,0.15%
Covestro AG,1COV,0.15%
"Daiwa House Industry Co., Ltd.",1925,0.15%
Toyota Tsusho Corp.,8015,0.15%
"Sompo Holdings,Inc.",8630,0.15%
Komatsu Ltd.,6301,0.15%
International Consolidated Airlines Group SA,IAG,0.15%
Electricite de France SA,EDF,0.15%
Veolia Environnement SA,VIE,0.14%
Tokyo Electron Ltd.,8035,0.14%
E.ON SE,EOAN,0.14%
Capgemini SE,CAP,0.14%
Kingfisher Plc,KGF,0.14%
Ferguson Plc,FERG,0.14%
"JFE Holdings, Inc.",5411,0.14%
Intact Financial Corporation,IFC,0.14%
"DAIKIN INDUSTRIES, LTD.",6367,0.14%
Danone SA,BN,0.14%
Actividades de Construccion y Servicios SA,ACS,0.14%
"Tokyo Electric Power Company Holdings, Incorporated",9501,0.14%
Uniper SE,UN01,0.13%
