ISEM: Invesco Strategic Emerging Markets ETF
Inception Date: 2018-09-12
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	22806
Shares Outstanding: 850000
Expense Ratio: 0.35%
Tracks This Index: Invesco Strategic Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ISEM


Holding,Symbol,Weighting
Alibaba Group Holding Ltd. Sponsored ADR,BABA,5.44%
PetroChina Company Limited Class H,857,4.59%
China Petroleum & Chemical Corporation Class H,386,3.98%
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,3.2%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,3.04%
China Life Insurance Co. Ltd. Class H,2628,2.86%
Petroleo Brasileiro SA Pfd,PETR4,2.76%
"JD.com, Inc. Sponsored ADR Class A",JD,2.65%
Banco Bradesco SA Pfd,BBDC4,1.95%
Gazprom PJSC,GAZP,1.95%
"Hon Hai Precision Industry Co., Ltd.",2317,1.7%
"Baidu, Inc. Sponsored ADR Class A",BIDU,1.64%
"China Pacific Insurance (Group) Co., Ltd. Class H",2601,1.63%
Infosys Limited Sponsored ADR,INFY,1.61%
Vale S.A.,VALE3,1.42%
China Shenhua Energy Co. Ltd. Class H,1088,1.38%
Oil company LUKOIL PJSC,LKOH,1.17%
Cemex SAB de CV Sponsored ADR,CX,1.16%
"Great Wall Motor Co., Ltd. Class H",2333,1.12%
Vedanta Limited Sponsored ADR,VEDL,1.02%
Fomento Economico Mexicano SAB de CV Sponsored ADR Class B,FMX,1.0%
Tencent Holdings Ltd.,700,0.97%
China Mobile Limited,941,0.85%
Surgutneftegas PJSC,SNGS,0.82%
Tata Motors Limited Sponsored ADR,TTM,0.75%
Sasol Limited,SOL,0.75%
Xiaomi Corp. Class B,1810,0.7%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,0.67%
"Zijin Mining Group Co., Ltd. Class H",2899,0.66%
Rosneft Oil Co.,ROSN,0.65%
BYD Company Limited Class H,1211,0.64%
China Railway Group Limited Class H,390,0.63%
Trip.com Group Ltd. Sponsored ADR,TCOM,0.54%
"PICC Property & Casualty Co., Ltd. Class H",2328,0.54%
Metallurgical Corporation of China Ltd. Class H,1618,0.51%
United Microelectronics Corp.,2303,0.49%
Companhia Brasileira de Distribuicao Sponsored ADR,CBD,0.46%
Tata Steel Limited Sponsored GDR RegS,TTST,0.45%
"NetEase, Inc. Sponsored ADR",NTES,0.44%
CNOOC Limited,883,0.43%
"New China Life Insurance Co., Ltd. Class H",1336,0.42%
"Dongfeng Motor Group Co., Ltd. Class H",489,0.42%
Innolux Corp.,3481,0.41%
Coca-Cola FEMSA SAB de CV Sponsored ADR Class L,KOF,0.4%
"PTT Public Co., Ltd. NVDR",PTT.R,0.39%
Cosan Limited Class A,CZZ,0.39%
Aluminum Corporation of China Limited Class H,2600,0.39%
"Yum China Holdings, Inc.",YUMC,0.39%
Gerdau SA Pfd,GGBR4,0.38%
Vipshop Holdings Ltd Sponsored ADR,VIPS,0.37%
Tencent Music Entertainment Group Sponsored ADR Class A,TME,0.37%
Lenovo Group Limited,992,0.36%
Jiangxi Copper Company Limited Class H,358,0.36%
"JinkoSolar Holding Co., Ltd. Sponsored ADR",JKS,0.35%
"Huaneng Power International, Inc. Class H",902,0.35%
Ambev SA,ABEV3,0.34%
MediaTek Inc,2454,0.34%
"Sinopharm Group Co., Ltd. Class H",1099,0.33%
Grupo Financiero Banorte SAB de CV Class O,GFNORTEO,0.33%
Au Optronics Corp.,2409,0.33%
"Angang Steel Co., Ltd. Class H",347,0.32%
Metalurgica Gerdau SA Pfd,GOAU4,0.31%
China Tower Corp. Ltd. Class H,788,0.31%
People\'s Insurance Co. (Group) of China Ltd. Class H,1339,0.31%
OI S.A.,OIBR3,0.31%
Anhui Conch Cement Company Limited Class H,914,0.3%
"Weichai Power Co., Ltd. Class H",2338,0.29%
China Longyuan Power Group Corp. Ltd. Class H,916,0.29%
Pegatron Corporation,4938,0.29%
"Grupo Televisa, S.A.B. Sponsored ADR",TV,0.27%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB,0.27%
TATNEFT PJSC,TATN,0.26%
Meituan Class B,3690,0.26%
"China Taiping Insurance Holdings Co., Ltd.",966,0.25%
Ultrapar Participacoes S.A.,UGPA3,0.24%
Quanta Computer Inc.,2382,0.24%
Eregli Demir ye celik Fabrikalari T.A.S.,EREGL,0.24%
Steinhoff International Holdings NV,SNH,0.24%
Magnit PJSC,MGNT,0.24%
China Steel Corporation,2002,0.24%
Polski Koncern Naftowy ORLEN S.A.,PKN,0.24%
China Reinsurance (Group) Corp. Class H,1508,0.24%
Nan Ya Plastics Corporation,1303,0.23%
GCL-Poly Energy Holdings Limited,3800,0.23%
KGHM Polska Miedz S.A.,KGH,0.23%
"China Molybdenum Co., Ltd. Class H",3993,0.23%
"Fuyao Glass Industry Group Co., Ltd. Class H",3606,0.22%
PT Astra International Tbk,ASII,0.22%
Sanlam Limited,SLM,0.22%
"Delta Electronics, Inc.",2308,0.22%
"Guangzhou Automobile Group Co., Ltd. Class H",2238,0.22%
Formosa Chemicals & Fibre Corporation,1326,0.22%
"Compal Electronics, Inc.",2324,0.22%
MMC Norilsk Nickel PJSC,GMKN,0.22%
Geely Automobile Holdings Limited,175,0.22%
"ASE Technology Holding Co., Ltd.",3711,0.21%
Country Garden Holdings Co. Ltd.,2007,0.21%
"JOYY, Inc. Sponsored ADR Class A",YY,0.2%
Grupo Aval Acciones y Valores SA Pfd,PFAVAL,0.2%
Asustek Computer Inc.,2357,0.2%
Wistron Corporation,3231,0.2%
China Life Insurance Co. Ltd. (Taiwan),2823,0.2%
Formosa Plastics Corporation,1301,0.2%
China Development Financial Holding Corp.,2883,0.19%
Companhia Siderurgica Nacional,CSNA3,0.19%
"Guangzhou R&F Properties Co., Ltd. Class H",2777,0.19%
"ZTO Express (Cayman), Inc. Sponsored ADR Class A",ZTO,0.18%
PT Telkom Indonesia (Persero) Tbk Class B,TLKM,0.18%
Uni-President Enterprises Corp.,1216,0.18%
"B3 SA - Brasil, Bolsa, Balcao",B3SA3,0.18%
BAIC Motor Corporation Limited Class H,1958,0.18%
Sime Darby Bhd.,4197,0.18%
"New Oriental Education & Technology Group, Inc. Sponsored ADR",EDU,0.17%
Usinas Siderurgicas de Minas Gerais SA-Usiminas Pfd  A,USIM5,0.17%
Sociedad Quimica y Minera de Chile SA Pfd Series B,SQM.B,0.17%
Companhia Energetica de Minas Gerais SA Pfd,CMIG4,0.17%
Wal-Mart de Mexico SAB de CV,WALMEX,0.17%
Public Power Corporation S.A.,PPC,0.17%
"COSCO SHIPPING Holdings Co., Ltd. Class H",1919,0.17%
"Chunghwa Telecom Co., Ltd",2412,0.17%
TAURON Polska Energia S.A.,TPE,0.17%
Air China Limited Class H,753,0.17%
"Alfa, S.A.B. de C.V. Class A",ALFAA,0.17%
Shanghai Electric Group Company Limited Class H,2727,0.17%
JBS S.A.,JBSS3,0.16%
Sinotrans Ltd. Class H,598,0.16%
MOL Hungarian Oil & Gas Plc Class A,MOL,0.16%
Petrobras Distribuidora SA,BRDT3,0.16%
PGE Polska Grupa Energetyczna S.A.,PGE,0.16%
Koc Holding A.S.,KCHOL,0.16%
Shanghai Pharmaceuticals Holding Co. Ltd. Class H,2607,0.15%
China Southern Airlines Company Limited Class H,1055,0.15%
China Resources Land Limited,1109,0.14%
El Puerto de Liverpool SAB de CV,LIVEPOLC.1,0.14%
China National Building Material Co. Ltd. Class H,3323,0.14%
Centrais Eletricas Brasileiras SA-Eletrobras,ELET3,0.14%
Legend Holdings Corporation Class H,3396,0.14%
Shoprite Holdings Limited,SHP,0.14%
Empresas Copec S.A.,COPEC,0.14%
Yanzhou Coal Mining Co. Ltd. Class H,1171,0.14%
China Coal Energy Co. Ltd. Class H,1898,0.14%
Tenaga Nasional Bhd,5347,0.14%
NOVATEK JSC,NVTK,0.14%
Dr. Reddy\'s Laboratories Ltd. Sponsored ADR,RDY,0.13%
TAL Education Group Sponsored ADR Class A,TAL,0.13%
PTT Global Chemical Plc NVDR,PTTGC.R,0.13%
KunLun Energy Co. Ltd.,135,0.13%
WPG Holding Co Ltd,3702,0.13%
"China Mengniu Dairy Co., Ltd.",2319,0.13%
Sistema PJSFC,AFKS,0.13%
ALROSA PJSC,ALRS,0.13%
Compania de Minas Buenaventura SAA Sponsored ADR,BVN,0.12%
"iQIYI, Inc. Sponsored ADR Class A",IQ,0.12%
BRF SA,BRFS3,0.12%
Sinopec Shanghai Petrochemical Co. Ltd. Class H,338,0.12%
Embraer S.A.,EMBR3,0.12%
BBMG Corporation Class H,2009,0.12%
PTT Exploration & Production Plc NVDR,PTTEP.R,0.11%
Transneft PJSC Pref.,TRNFP,0.11%
PagSeguro Digital Ltd. Class A,PAGS,0.11%
ZTE Corporation Class H,763,0.11%
"Haier Smart Home Co., Ltd. Class H",6690,0.11%
Shin Kong Financial Holding Co. Ltd.,2888,0.11%
Kingboard Holdings Limited,148,0.11%
Sappi Limited,SAP,0.11%
SINA Corp.,SINA,0.11%
Exxaro Resources Limited,EXX,0.11%
CEZ as,CEZ,0.11%
Is Yatirim Menkul Degerler AS,ISMEN,0.11%
Bidvest Group Limited,BVT,0.11%
Cencosud S.A.,CENCOSUD,0.11%
Pou Chen Corporation,9904,0.11%
Woolworths Holdings Limited,WHL,0.11%
Bid Corporation Limited,BID,0.11%
"Sogou, Inc. Sponsored ADR",SOGO,0.1%
Weibo Corp Sponsored ADR Class A,WB,0.1%
Sohu.com Limited Sponsored ADR,SOHU,0.1%
Companhia Paranaense de Energia - COPEL Pfd Registered B,CPLE6,0.1%
Bashneft OJSC Pref.,BANEP,0.1%
Braskem S.A. Pfd  A,BRKM5,0.1%
Jiangsu Expressway Co. Ltd. Class H,177,0.1%
China Eastern Airlines Corporation Limited Class H,670,0.1%
Fosun International Limited,656,0.1%
China Overseas Land & Investment Limited,688,0.1%
Enel Americas S.A.,ENELAM,0.1%
Turkiye Petrol Rafinerileri A.S.,TUPRS,0.1%
Genting Bhd.,3182,0.1%
Discovery Limited,DSY,0.1%
