ITB: iShares U.S. Home Construction ETF
Inception Date: 2006-05-01
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1988720
Shares Outstanding: 35650000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Select Home Construction Index
ETFdb.com Category: Building & Construction 
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ITB


Holding,Symbol,Weighting
"D.R. Horton, Inc.",DHI,13.78%
Lennar Corporation Class A,LEN,12.64%
"NVR, Inc.",NVR,8.6%
"PulteGroup, Inc.",PHM,6.97%
Sherwin-Williams Company,SHW,4.5%
"Lowe\'s Companies, Inc.",LOW,4.42%
"Home Depot, Inc.",HD,4.41%
TopBuild Corp.,BLD,3.66%
"Toll Brothers, Inc.",TOL,3.01%
Masco Corporation,MAS,2.59%
"Fortune Brands Home & Security, Inc.",FBHS,2.14%
Taylor Morrison Home Corporation,TMHC,2.01%
Meritage Homes Corporation,MTH,1.88%
KB Home,KBH,1.78%
"Floor & Decor Holdings, Inc. Class A",FND,1.74%
"Trex Company, Inc.",TREX,1.74%
Lennox International Inc.,LII,1.72%
"Mohawk Industries, Inc.",MHK,1.52%
"M.D.C. Holdings, Inc.",MDC,1.5%
Owens Corning,OC,1.48%
"LGI Homes, Inc.",LGIH,1.41%
"Installed Building Products, Inc.",IBP,1.39%
"Watsco, Inc.",WSO,1.34%
TRI Pointe Group Inc,TPH,1.32%
"Leggett & Platt, Incorporated",LEG,1.06%
Skyline Champion Corp.,SKY,0.97%
"Cavco Industries, Inc.",CVCO,0.9%
"Builders FirstSource, Inc.",BLDR,0.86%
"M/I Homes, Inc.",MHO,0.77%
"Century Communities, Inc.",CCS,0.77%
Eagle Materials Inc.,EXP,0.76%
"Simpson Manufacturing Co., Inc.",SSD,0.73%
Louisiana-Pacific Corporation,LPX,0.73%
AZEK Company Inc Class A,AZEK,0.72%
"Green Brick Partners, Inc.",GRBK,0.67%
"UFP Industries, Inc.",UFPI,0.61%
Lennar Corporation Class B,LEN.B,0.57%
Masonite International Corp.,DOOR,0.43%
"Beacon Roofing Supply, Inc.",BECN,0.39%
"JELD-WEN Holding, Inc.",JELD,0.31%
American Woodmark Corporation,AMWD,0.29%
"Beazer Homes USA, Inc.",BZH,0.27%
"PGT Innovations, Inc.",PGTI,0.22%
"Lumber Liquidators Holdings, Inc.",LL,0.16%
Quanex Building Products Corporation,NX,0.13%
Ethan Allen Interiors Inc.,ETH,0.08%
MUTUAL FUND (OTHER),Other,0.05%
U.S. Dollar,Other,0.0%
