IVES: ETFMG Drone Economy Strategy ETF
Inception Date: 2016-03-09
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	57359
Shares Outstanding: 1100000
Expense Ratio: 0.68%
Tracks This Index: Reality Shares Drone Index
ETFdb.com Category: Global Equities
Issuer: ETF Managers Group
Structure: 
ETF Home Page: https://etfdb.com/etf/IVES


Holding,Symbol,Weighting
NICE Ltd,NICE,4.84%
Elastic NV,ESTC,4.48%
ETFMG Sit Ultra Short ETF,VALT,4.34%
GDS Holdings Ltd. Sponsored ADR Class A,GDS,4.31%
Open Text Corporation,OTEX,4.17%
Sinch AB,SINCH,4.16%
Kingsoft Cloud Holdings Ltd Sponsored ADR,KC,4.13%
"MongoDB, Inc. Class A",MDB,3.87%
Chindata Group Holdings Limited Sponsored ADR Class A,CD,3.81%
Itochu Techno-Solutions Corporation,4739,3.7%
"Coupa Software, Inc.",COUP,3.28%
Cloudflare Inc Class A,NET,3.16%
Datadog Inc Class A,DDOG,3.12%
"Zendesk, Inc.",ZEN,3.06%
"NetApp, Inc.",NTAP,2.7%
SCSK Corporation,9719,2.57%
Appian Corporation Class A,APPN,2.08%
"21Vianet Group, Inc. Sponsored ADR Class A",VNET,1.97%
Nextdc Limited,NXT,1.86%
"Anaplan, Inc.",PLAN,1.84%
"Fastly, Inc. Class A",FSLY,1.82%
"Dropbox, Inc. Class A",DBX,1.68%
"CyrusOne, Inc.",CONE,1.61%
"Smartsheet, Inc. Class A",SMAR,1.53%
Keppel DC REIT,AJBU,1.51%
"Alteryx, Inc. Class A",AYX,1.49%
Chinasoft International Ltd.,354,1.32%
Software AG,SOW,1.31%
"nCino, Inc.",NCNO,1.21%
NS Solutions Corp,2327,1.21%
"Nutanix, Inc. Class A",NTNX,1.2%
AppFolio Inc Class A,APPF,1.13%
"Pure Storage, Inc. Class A",PSTG,1.11%
CoreSite Realty Corporation,COR,0.98%
"Everbridge, Inc.",EVBG,0.96%
Sunevision Holdings Ltd.,1686,0.92%
SolarWinds Corp.,SWI,0.86%
Micro Focus International plc,MCRO,0.84%
"Cloudera, Inc.",CLDR,0.8%
Datto Holding Corp.,MSP,0.8%
Megaport Ltd.,MP1,0.74%
"New Relic, Inc.",NEWR,0.73%
"QTS Realty Trust, Inc. Class A",QTS,0.73%
"Switch, Inc. Class A",SWCH,0.72%
"Rackspace Technology, Inc.",RXT,0.7%
"8x8, Inc.",EGHT,0.67%
MicroStrategy Incorporated Class A,MSTR,0.66%
Jamf Holding Corp,JAMF,0.64%
"PagerDuty, Inc.",PD,0.61%
"Cybozu, Inc.",4776,0.57%
HENNGE K.K.,4475,0.56%
"Sumo Logic, Inc.",SUMO,0.52%
"Box, Inc. Class A",BOX,0.52%
"Blackbaud, Inc.",BLKB,0.52%
"CommVault Systems, Inc.",CVLT,0.48%
Teradata Corporation,TDC,0.45%
Short Term Investments Trust Treasury Portfolio Institutional,TRPXX,0.41%
TechMatrix Corporation,3762,0.4%
"Domo, Inc. Class B",DOMO,0.34%
"Super Micro Computer, Inc.",SMCI,0.3%
Data#3 Limited.,DTL,0.29%
Inseego Corp.,INSG,0.28%
Unisys Corporation,UIS,0.23%
KINX Inc.,093320,0.14%
"i3 Systems, Inc.",4495,0.12%
"Grid Dynamics Holdings, Inc. Class A",GDYN,0.12%
"Limelight Networks, Inc.",LLNW,0.09%
Xunlei Ltd. ADR,XNET,0.08%
U.S. Dollar,Other,-4.34%
