IWC: iShares Microcap ETF
Inception Date: 2005-08-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	990123
Shares Outstanding: 8350000
Expense Ratio: 0.6%
Tracks This Index: Russell Microcap Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IWC


Holding,Symbol,Weighting
"Digital Turbine, Inc.",APPS,1.22%
"Magnite, Inc.",MGNI,0.84%
"FuelCell Energy, Inc.",FCEL,0.82%
"Intellia Therapeutics, Inc.",NTLA,0.7%
"Maxar Technologies, Inc.",MAXR,0.6%
"Overstock.com, Inc.",OSTK,0.52%
"Kura Oncology, Inc.",KURA,0.51%
"Owens & Minor, Inc.",OMI,0.5%
Workhorse Group Inc.,WKHS,0.48%
"Celsius Holdings, Inc.",CELH,0.45%
Providence Service Corporation,PRSC,0.43%
"Sorrento Therapeutics, Inc.",SRNE,0.43%
"Domo, Inc. Class B",DOMO,0.42%
"TPI Composites, Inc.",TPIC,0.42%
Tupperware Brands Corporation,TUP,0.41%
"Cohu, Inc.",COHU,0.4%
"eXp World Holdings, Inc.",EXPI,0.4%
"Calix, Inc.",CALX,0.4%
"CryoPort, Inc.",CYRX,0.38%
GrowGeneration Corp.,GRWG,0.38%
Vericel Corporation,VCEL,0.36%
"TechTarget, Inc.",TTGT,0.36%
"Mersana Therapeutics, Inc.",MRSN,0.36%
Ocular Therapeutix Inc,OCUL,0.36%
Seres Therapeutics Inc,MCRB,0.34%
"BioCryst Pharmaceuticals, Inc.",BCRX,0.34%
"Century Communities, Inc.",CCS,0.33%
Malibu Boats Inc Class A,MBUU,0.33%
"Boot Barn Holdings, Inc.",BOOT,0.32%
"Ultra Clean Holdings, Inc.",UCTT,0.32%
Scholar Rock Holding Corp.,SRRK,0.32%
Unisys Corporation,UIS,0.31%
"M/I Homes, Inc.",MHO,0.31%
Silvergate Capital Corp. Class A,SI,0.3%
PAR Technology Corporation,PAR,0.3%
"PGT Innovations, Inc.",PGTI,0.3%
"ImmunoGen, Inc.",IMGN,0.3%
"Everi Holdings, Inc.",EVRI,0.29%
"Triumph Bancorp, Inc.",TBK,0.28%
GameStop Corp. Class A,GME,0.28%
CTS Corporation,CTS,0.28%
Blink Charging Co,BLNK,0.28%
"QuinStreet, Inc.",QNST,0.27%
"Simulations Plus, Inc.",SLP,0.26%
SiTime Corporation,SITM,0.26%
"CEVA, Inc.",CEVA,0.26%
Heska Corporation,HSKA,0.26%
"GenMark Diagnostics, Inc.",GNMK,0.26%
Clean Energy Fuels Corp.,CLNE,0.26%
MYR Group Inc.,MYRG,0.25%
"Douglas Dynamics, Inc.",PLOW,0.25%
"Smith & Wesson Brands, Inc.",SWBI,0.25%
StoneX Group Inc.,SNEX,0.25%
"Shyft Group, Inc.",SHYF,0.25%
Quanterix Corporation,QTRX,0.25%
"Arcturus Therapeutics Holdings, Inc.",ARCT,0.24%
NexPoint Residential Trust Inc,NXRT,0.24%
"Keros Therapeutics, Inc.",KROS,0.23%
Columbus McKinnon Corporation,CMCO,0.23%
"Replimune Group, Inc.",REPL,0.23%
Lantheus Holdings Inc,LNTH,0.23%
"Personalis, Inc.",PSNL,0.23%
"Frequency Therapeutics, Inc.",FREQ,0.23%
"XPEL, Inc.",XPEL,0.22%
"Lumber Liquidators Holdings, Inc.",LL,0.22%
"RadNet, Inc.",RDNT,0.22%
Rite Aid Corporation,RAD,0.22%
NV5 Global Inc,NVEE,0.22%
"Stock Yards Bancorp, Inc.",SYBT,0.22%
"SI-BONE, Inc.",SIBN,0.22%
"B. Riley Financial, Inc.",RILY,0.22%
"German American Bancorp, Inc.",GABC,0.22%
Enova International Inc,ENVA,0.22%
Premier Financial Corp.,PFC,0.22%
"Hanger, Inc.",HNGR,0.21%
"Provention Bio, Inc.",PRVB,0.21%
Riot Blockchain Inc,RIOT,0.21%
