IXUS: iShares Core MSCI Total International Stock ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	25269400
Shares Outstanding: 374800000
Expense Ratio: 0.09%
Tracks This Index: MSCI ACWI ex USA Investable Market Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IXUS


Holding,Symbol,Weighting
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,1.58%
Alibaba Group Holding Ltd. Sponsored ADR,BABA,1.5%
Tencent Holdings Ltd.,700,1.42%
"Samsung Electronics Co., Ltd.",005930,1.21%
Nestle S.A.,NESN,1.14%
Roche Holding Ltd,ROG,0.83%
Novartis AG,NOVN,0.71%
ASML Holding NV,ASML,0.7%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.59%
Unilever PLC,ULVR,0.55%
Toyota Motor Corp.,7203,0.55%
AIA Group Limited,1299,0.51%
Meituan Class B,3690,0.47%
SAP SE,SAP,0.46%
AstraZeneca PLC,AZN,0.45%
Sony Corporation,6758,0.43%
SoftBank Group Corp.,9984,0.42%
"Shopify, Inc. Class A",SHOP,0.42%
Novo Nordisk A/S Class B,NOVO.B,0.41%
Royal Bank of Canada,RY,0.39%
Commonwealth Bank of Australia,CBA,0.38%
Siemens AG,SIE,0.37%
Sanofi,SAN,0.37%
Total SE,FP,0.37%
HSBC Holdings Plc,HSBA,0.36%
Allianz SE,ALV,0.35%
Keyence Corporation,6861,0.35%
Toronto-Dominion Bank,TD,0.34%
CSL Limited,CSL,0.34%
L\'Oreal SA,OR,0.33%
BHP Group Ltd,BHP,0.32%
GlaxoSmithKline plc,GSK,0.31%
Diageo plc,DGE,0.31%
Naspers Limited Class N,NPN,0.3%
Iberdrola SA,IBE,0.29%
British American Tobacco p.l.c.,BATS,0.29%
Rio Tinto plc,RIO,0.29%
Enel SpA,ENEL,0.28%
Schneider Electric SE,SU,0.27%
Reliance Industries Limited,500325,0.27%
"JD.com, Inc. Sponsored ADR Class A",JD,0.26%
Air Liquide SA,AI,0.26%
Canadian National Railway Company,CNR,0.26%
China Construction Bank Corporation Class H,939,0.25%
Royal Dutch Shell Plc Class A,RDSA,0.25%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,0.24%
adidas AG,ADS,0.24%
BP p.l.c.,BP,0.24%
BASF SE,BAS,0.24%
"Nintendo Co., Ltd.",7974,0.24%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,0.23%
Hong Kong Exchanges & Clearing Ltd.,388,0.23%
Royal Dutch Shell Plc Class B,RDSB,0.22%
