IYC: iShares US Consumer Services ETF
Inception Date: 2000-06-28
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1251130
Shares Outstanding: 17750000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Consumer Services Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYC


Holding,Symbol,Weighting
"Amazon.com, Inc.",AMZN,10.16%
"Home Depot, Inc.",HD,6.9%
Walt Disney Company,DIS,6.11%
"Netflix, Inc.",NFLX,4.77%
Comcast Corporation Class A,CMCSA,4.46%
Costco Wholesale Corporation,COST,4.31%
Walmart Inc.,WMT,4.24%
McDonald\'s Corporation,MCD,4.15%
Starbucks Corporation,SBUX,3.26%
"Lowe\'s Companies, Inc.",LOW,3.05%
"Charter Communications, Inc. Class A",CHTR,2.5%
Booking Holdings Inc.,BKNG,2.37%
Target Corporation,TGT,2.29%
TJX Companies Inc,TJX,2.13%
"Uber Technologies, Inc.",UBER,1.84%
Dollar General Corporation,DG,1.34%
"Ross Stores, Inc.",ROST,1.13%
"Chipotle Mexican Grill, Inc.",CMG,1.01%
Sysco Corporation,SYY,0.98%
"Roku, Inc. Class A",ROKU,0.94%
"Marriott International, Inc. Class A",MAR,0.91%
"Pinterest, Inc. Class A",PINS,0.87%
IHS Markit Ltd.,INFO,0.87%
Liberty Broadband Corp. Class C,LBRDK,0.87%
"O\'Reilly Automotive, Inc.",ORLY,0.85%
"Yum! Brands, Inc.",YUM,0.85%
Hilton Worldwide Holdings Inc,HLT,0.8%
Walgreens Boots Alliance Inc,WBA,0.74%
Southwest Airlines Co.,LUV,0.71%
"AutoZone, Inc.",AZO,0.71%
"Copart, Inc.",CPRT,0.69%
"Delta Air Lines, Inc.",DAL,0.67%
"Dollar Tree, Inc.",DLTR,0.66%
Kroger Co.,KR,0.64%
"Best Buy Co., Inc.",BBY,0.6%
ViacomCBS Inc. Class B,VIAC,0.55%
Las Vegas Sands Corp.,LVS,0.51%
"Expedia Group, Inc.",EXPE,0.47%
"Burlington Stores, Inc.",BURL,0.45%
"Wayfair, Inc. Class A",W,0.43%
Tractor Supply Company,TSCO,0.42%
Ulta Beauty Inc,ULTA,0.42%
Carnival Corporation,CCL,0.42%
"Cardinal Health, Inc.",CAH,0.41%
"Darden Restaurants, Inc.",DRI,0.4%
"CarMax, Inc.",KMX,0.4%
"Domino\'s Pizza, Inc.",DPZ,0.39%
DraftKings Inc Class A,DKNG,0.38%
AmerisourceBergen Corporation,ABC,0.37%
Tiffany & Co.,TIF,0.37%
Royal Caribbean Group,RCL,0.36%
Omnicom Group Inc,OMC,0.35%
Carvana Co. Class A,CVNA,0.35%
MGM Resorts International,MGM,0.34%
"United Airlines Holdings, Inc.",UAL,0.33%
Lyft Inc Class A,LYFT,0.31%
"Cable One, Inc.",CABO,0.31%
"Chegg, Inc.",CHGG,0.3%
"Vail Resorts, Inc.",MTN,0.29%
"Advance Auto Parts, Inc.",AAP,0.28%
"Wynn Resorts, Limited",WYNN,0.28%
"Bright Horizons Family Solutions, Inc.",BFAM,0.27%
"Live Nation Entertainment, Inc.",LYV,0.27%
LKQ Corporation,LKQ,0.26%
"American Airlines Group, Inc.",AAL,0.25%
"Floor & Decor Holdings, Inc. Class A",FND,0.25%
Fox Corporation Class A,FOXA,0.25%
"Five Below, Inc.",FIVE,0.25%
Aramark,ARMK,0.25%
"Interpublic Group of Companies, Inc.",IPG,0.24%
"Altice USA, Inc. Class A",ATUS,0.24%
"IAA, Inc.",IAA,0.23%
"L Brands, Inc.",LB,0.23%
