IYF: iShares U.S. Financials ETF
Inception Date: 2000-05-31
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1453680
Shares Outstanding: 21750000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Financials Index
ETFdb.com Category: Financials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYF


Holding,Symbol,Weighting
Berkshire Hathaway Inc. Class B,BRK.B,8.01%
JPMorgan Chase & Co.,JPM,6.87%
Visa Inc. Class A,V,6.58%
Mastercard Incorporated Class A,MA,4.62%
Bank of America Corp,BAC,4.15%
Citigroup Inc.,C,2.31%
Wells Fargo & Company,WFC,2.24%
"BlackRock, Inc.",BLK,1.84%
American Tower Corporation,AMT,1.79%
Morgan Stanley,MS,1.76%
"Goldman Sachs Group, Inc.",GS,1.63%
Charles Schwab Corporation,SCHW,1.42%
American Express Company,AXP,1.42%
"S&P Global, Inc.",SPGI,1.42%
"Prologis, Inc.",PLD,1.32%
Chubb Limited,CB,1.25%
Crown Castle International Corp,CCI,1.23%
CME Group Inc. Class A,CME,1.17%
Truist Financial Corporation,TFC,1.16%
"Intercontinental Exchange, Inc.",ICE,1.16%
U.S. Bancorp,USB,1.15%
"Equinix, Inc.",EQIX,1.14%
"PNC Financial Services Group, Inc.",PNC,1.13%
"Marsh & McLennan Companies, Inc.",MMC,1.07%
Progressive Corporation,PGR,1.04%
Aon Plc Class A,AON,0.87%
Moody\'s Corporation,MCO,0.84%
Capital One Financial Corporation,COF,0.81%
Blackstone Group Inc. Class A,BX,0.79%
"Digital Realty Trust, Inc.",DLR,0.7%
MSCI Inc. Class A,MSCI,0.67%
"CoStar Group, Inc.",CSGP,0.65%
"MetLife, Inc.",MET,0.65%
"Travelers Companies, Inc.",TRV,0.64%
Public Storage,PSA,0.63%
Bank of New York Mellon Corporation,BK,0.62%
T. Rowe Price Group,TROW,0.62%
Allstate Corporation,ALL,0.6%
"American International Group, Inc.",AIG,0.59%
"Prudential Financial, Inc.",PRU,0.56%
SBA Communications Corp. Class A,SBAC,0.56%
Aflac Incorporated,AFL,0.52%
"Simon Property Group, Inc.",SPG,0.5%
Discover Financial Services,DFS,0.5%
Willis Towers Watson Public Limited Company,WLTW,0.49%
"Welltower, Inc.",WELL,0.48%
First Republic Bank,FRC,0.46%
State Street Corporation,STT,0.46%
Weyerhaeuser Company,WY,0.45%
Arthur J. Gallagher & Co.,AJG,0.43%
"Ameriprise Financial, Inc.",AMP,0.41%
KKR & Co. Inc.,KKR,0.41%
"AvalonBay Communities, Inc.",AVB,0.4%
"Alexandria Real Estate Equities, Inc.",ARE,0.4%
Realty Income Corporation,O,0.39%
MarketAxess Holdings Inc.,MKTX,0.39%
"CBRE Group, Inc. Class A",CBRE,0.38%
SVB Financial Group,SIVB,0.36%
Equity Residential,EQR,0.36%
Fifth Third Bancorp,FITB,0.35%
Northern Trust Corporation,NTRS,0.35%
Synchrony Financial,SYF,0.34%
"Ventas, Inc.",VTR,0.33%
"Hartford Financial Services Group, Inc.",HIG,0.32%
"Invitation Homes, Inc.",INVH,0.3%
"Sun Communities, Inc.",SUI,0.29%
KeyCorp,KEY,0.29%
"Healthpeak Properties, Inc.",PEAK,0.29%
M&T Bank Corporation,MTB,0.29%
Regions Financial Corporation,RF,0.28%
"Essex Property Trust, Inc.",ESS,0.28%
Duke Realty Corporation,DRE,0.27%
"Citizens Financial Group, Inc.",CFG,0.27%
"Nasdaq, Inc.",NDAQ,0.27%
Extra Space Storage Inc.,EXR,0.27%
"Mid-America Apartment Communities, Inc.",MAA,0.26%
Arch Capital Group Ltd.,ACGL,0.26%
Markel Corporation,MKL,0.26%
VICI Properties Inc,VICI,0.25%
"Boston Properties, Inc.",BXP,0.24%
Ally Financial Inc,ALLY,0.24%
MUTUAL FUND (OTHER),Other,0.23%
"Principal Financial Group, Inc.",PFG,0.23%
Huntington Bancshares Incorporated,HBAN,0.23%
Cincinnati Financial Corporation,CINF,0.23%
FactSet Research Systems Inc.,FDS,0.23%
W. P. Carey Inc.,WPC,0.22%
"Medical Properties Trust, Inc.",MPW,0.21%
"Raymond James Financial, Inc.",RJF,0.21%
"Fidelity National Financial, Inc. - FNF Group",FNF,0.21%
"Annaly Capital Management, Inc.",NLY,0.21%
"Brown & Brown, Inc.",BRO,0.2%
"UDR, Inc.",UDR,0.2%
"Host Hotels & Resorts, Inc.",HST,0.19%
"Equity LifeStyle Properties, Inc.",ELS,0.19%
Loews Corporation,L,0.19%
Cboe Global Markets Inc,CBOE,0.18%
"Equitable Holdings, Inc.",EQH,0.18%
Apollo Global Management Inc. Class A,APO,0.18%
"Everest Re Group, Ltd.",RE,0.17%
Camden Property Trust,CPT,0.17%
"Gaming and Leisure Properties, Inc.",GLPI,0.17%
W. R. Berkley Corporation,WRB,0.17%
Lincoln National Corporation,LNC,0.16%
Globe Life Inc.,GL,0.16%
Alleghany Corporation,Y,0.16%
"CyrusOne, Inc.",CONE,0.16%
LPL Financial Holdings Inc.,LPLA,0.15%
"Omega Healthcare Investors, Inc.",OHI,0.15%
RenaissanceRe Holdings Ltd.,RNR,0.15%
"Iron Mountain, Inc.",IRM,0.15%
"VEREIT, Inc.",VER,0.15%
"Assurant, Inc.",AIZ,0.15%
AGNC Investment Corp.,AGNC,0.15%
STORE Capital Corporation,STOR,0.14%
American Homes 4 Rent Class A,AMH,0.14%
Americold Realty Trust,COLD,0.14%
"Reinsurance Group of America, Incorporated",RGA,0.14%
Eaton Vance Corp.,EV,0.14%
Jones Lang LaSalle Incorporated,JLL,0.14%
Comerica Incorporated,CMA,0.14%
Regency Centers Corporation,REG,0.13%
"Zions Bancorporation, N.A.",ZION,0.13%
Lamar Advertising Company Class A,LAMR,0.13%
First Horizon Corporation,FHN,0.13%
Signature Bank,SBNY,0.13%
