JETS: U.S. Global Jets ETF
Inception Date: 2015-04-28
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	2903450
Shares Outstanding: 129850000
Expense Ratio: 0.6%
Tracks This Index: U.S. Global Jets Index
ETFdb.com Category: Industrials Equities
Issuer: U.S. Global Investors
Structure: ETF
ETF Home Page: https://etfdb.com/etf/JETS


Holding,Symbol,Weighting
Southwest Airlines Co.,LUV,10.18%
"Delta Air Lines, Inc.",DAL,9.83%
"American Airlines Group, Inc.",AAL,9.23%
"United Airlines Holdings, Inc.",UAL,9.16%
Allegiant Travel Company,ALGT,4.37%
"Alaska Air Group, Inc.",ALK,4.23%
JetBlue Airways Corporation,JBLU,3.91%
"Spirit Airlines, Inc.",SAVE,3.86%
Air Canada,AC,3.5%
Cargojet Inc.,CJT,3.26%
"Air Transport Services Group, Inc.",ATSG,3.2%
Textron Inc.,TXT,3.13%
General Dynamics Corporation,GD,3.04%
"SkyWest, Inc",SKYW,2.86%
Pegasus Hava Tasimaciligi Anonim Sirketi,PGSUS,1.3%
Turk Hava Yollari A.O.,THYAO,1.17%
Aena SME SA,AENA,1.1%
Grupo Aeroportuario del Sureste SA de CV Sponsored ADR Class B,ASR,1.09%
Hainan Meilan International Airport Company Limited Class H,357,1.09%
"Japan Airlines Co., Ltd.",9201,1.07%
Grupo Aeroportuario del Pacifico SAB de CV Sponsored ADR Class B,PAC,1.06%
Flughafen Zurich AG,FHZN,1.06%
Singapore Airlines Ltd.,C6L,1.04%
TravelSky Technology Ltd. Class H,696,1.04%
Sydney Airport,SYD,1.03%
Aeroports de Paris SA,ADP,1.03%
Wizz Air Holdings Plc,WIZZ,1.03%
SATS Ltd,S58,1.02%
"Beijing Capital International Airport Co., Ltd. Class H",694,1.01%
Azul S.A. Sponsored ADR Pfd,AZUL,1.0%
Qantas Airways Limited,QAN,1.0%
China Eastern Airlines Corporation Limited Class H,670,0.99%
China Southern Airlines Company Limited Class H,1055,0.99%
ANA Holdings Inc.,9202,0.98%
"Copa Holdings, S.A. Class A",CPA,0.97%
Auckland International Airport Limited,AIA,0.97%
Air China Limited Class H,753,0.97%
GOL Linhas Aereas Inteligentes S.A. Sponsored ADR Pfd,GOL,0.94%
"Japan Airport Terminal Co., Ltd.",9706,0.82%
Fidelity Institutional Cash Portfolios Fund Money Market Government Fund I,FIGXX,0.57%
U.S. Dollar,Other,-0.06%
