JHMD: John Hancock Multifactor Developed International ETF
Inception Date: 2016-12-15
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	479525
Shares Outstanding: 15400000
Expense Ratio: 0.45%
Tracks This Index: John Hancock Dimensional Developed International Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: John Hancock
Structure: ETF
ETF Home Page: https://etfdb.com/etf/JHMD


Holding,Symbol,Weighting
Nestle S.A.,NESN,1.59%
Toyota Motor Corp.,7203,1.44%
Roche Holding Ltd,ROG,0.99%
Novartis AG,NOVN,0.93%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.73%
Orange SA,ORA,0.69%
AIA Group Limited,1299,0.67%
ASML Holding NV,ASML,0.66%
Lonza Group AG,LONN,0.65%
Compagnie Generale des Etablissements Michelin SCA,ML,0.64%
Rio Tinto plc,RIO,0.64%
Royal Dutch Shell Plc Class B,RDSB,0.61%
Iberdrola SA,IBE,0.59%
BHP Group Ltd,BHP,0.59%
AstraZeneca PLC,AZN,0.57%
Capgemini SE,CAP,0.56%
Bayer AG,BAYN,0.55%
SoftBank Group Corp.,9984,0.55%
Novo Nordisk A/S Class B,NOVO.B,0.54%
Total SE,FP,0.54%
Wolters Kluwer NV,WKL,0.54%
Commonwealth Bank of Australia,CBA,0.52%
Allianz SE,ALV,0.51%
Sika AG,SIKA,0.49%
Compagnie Financiere Richemont SA,CFR,0.49%
HSBC Holdings Plc,HSBA,0.49%
CSL Limited,CSL,0.49%
Sony Corporation,6758,0.48%
Peugeot SA,UG,0.46%
Fresenius SE & Co. KGaA,FRE,0.45%
STMicroelectronics NV,STM,0.45%
Credit Suisse Group AG,CSGN,0.45%
SAP SE,SAP,0.44%
Diageo plc,DGE,0.44%
Nippon Telegraph and Telephone Corporation,9432,0.43%
Infineon Technologies AG,IFX,0.43%
Swiss Re AG,SREN,0.43%
Fresenius Medical Care AG & Co. KGaA,FME,0.42%
VINCI SA,DG,0.42%
Koninklijke DSM N.V.,DSM,0.42%
Sanofi,SAN,0.41%
"Alcon, Inc.",ALC,0.41%
BHP Group Plc,BHP,0.4%
KDDI Corporation,9433,0.4%
Swisscom AG,SCMN,0.4%
UPM-Kymmene Oyj,UPM,0.4%
Air Liquide SA,AI,0.39%
Vivendi SE,VIV,0.39%
GlaxoSmithKline plc,GSK,0.39%
BASF SE,BAS,0.39%
Deutsche Telekom AG,DTE,0.38%
Unilever PLC,UNA,0.38%
LafargeHolcim Ltd.,LHN,0.38%
BP p.l.c.,BP,0.37%
Hong Kong Exchanges & Clearing Ltd.,388,0.36%
Genmab A/S,GMAB,0.36%
Legrand SA,LR,0.36%
ENGIE SA.,ENGI,0.36%
Akzo Nobel N.V.,AKZA,0.35%
Deutsche Wohnen SE,DWNI,0.35%
CLP Holdings Limited,2,0.34%
Daimler AG,DAI,0.34%
Ashtead Group plc,AHT,0.34%
Bayerische Motoren Werke AG,BMW,0.34%
Unilever PLC,ULVR,0.33%
Bouygues SA,EN,0.33%
3i Group plc,III,0.33%
RWE AG,RWE,0.33%
Zurich Insurance Group Ltd,ZURN,0.33%
Pernod Ricard SA,RI,0.33%
Volvo AB Class B,VOLV.B,0.33%
Deutsche Boerse AG,DB1,0.33%
Koninklijke Ahold Delhaize N.V.,AD,0.33%
"Techtronic Industries Co., Ltd.",669,0.32%
British American Tobacco p.l.c.,BATS,0.32%
Compagnie de Saint-Gobain SA,SGO,0.32%
Vonovia SE,VNA,0.32%
Volkswagen AG Pref,VOW3,0.31%
Enel SpA,ENEL,0.31%
Rio Tinto Limited,RIO,0.31%
ABB Ltd.,ABBN,0.3%
Legal & General Group Plc,LGEN,0.3%
Givaudan SA,GIVN,0.3%
Partners Group Holding AG,PGHN,0.29%
SKF AB Class B,SKF.B,0.29%
Koninklijke Philips N.V.,PHIA,0.29%
HOYA CORPORATION,7741,0.29%
Vestas Wind Systems A/S,VWS,0.28%
CRH Plc,CRG,0.28%
Safran S.A.,SAF,0.28%
"DAIKIN INDUSTRIES, LTD.",6367,0.28%
Deutsche Bank AG,DBK,0.28%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.28%
Siemens AG,SIE,0.27%
Westpac Banking Corporation,WBC,0.27%
RELX PLC,REL,0.27%
Boliden AB,BOL,0.27%
"FAST RETAILING CO., LTD.",9983,0.27%
Mondi plc,MNDI,0.27%
BNP Paribas SA Class A,BNP,0.26%
Tesco PLC,TSCO,0.26%
Banco Santander S.A.,SAN,0.26%
"Honda Motor Co., Ltd.",7267,0.26%
Airbus SE,AIR,0.26%
"Nintendo Co., Ltd.",7974,0.26%
Aviva plc,AV,0.25%
"Seven & I Holdings Co., Ltd.",3382,0.25%
AXA SA,CS,0.25%
Vodafone Group Plc,VOD,0.25%
adidas AG,ADS,0.25%
Australia and New Zealand Banking Group Limited,ANZ,0.25%
Shin-Etsu Chemical Co Ltd,4063,0.25%
National Grid plc,NG,0.24%
Anheuser-Busch InBev SA/NV,ABI,0.24%
Munich Reinsurance Company,MUV2,0.24%
Tokyo Electron Ltd.,8035,0.23%
Next plc,NXT,0.23%
DBS Group Holdings Ltd,D05,0.23%
Itochu Corporation,8001,0.23%
"Sekisui Chemical Co., Ltd.",4204,0.23%
Panasonic Corporation,6752,0.23%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.22%
Bridgestone Corporation,5108,0.22%
Macquarie Group Limited,MQG,0.22%
Coca-Cola European Partners Plc,CCEP,0.22%
Anglo American plc,AAL,0.22%
Takeda Pharmaceutical Co. Ltd.,4502,0.22%
National Australia Bank Limited,NAB,0.22%
Woolworths Group Ltd,WOW,0.22%
Keyence Corporation,6861,0.22%
DSV Panalpina A/S,DSV,0.22%
Deutsche Post AG,DPW,0.22%
Adyen NV,ADYEN,0.21%
Standard Life Aberdeen PLC,SLA,0.21%
UBS Group AG,UBSG,0.21%
E.ON SE,EOAN,0.21%
Glencore plc,GLEN,0.21%
Credit Agricole SA,ACA,0.21%
Symrise AG,SY1,0.21%
Orsted,ORSTED,0.21%
"Industria de Diseno Textil, S.A.",ITX,0.21%
Kao Corp.,4452,0.21%
Reckitt Benckiser Group plc,RB,0.21%
L\'Oreal SA,OR,0.21%
"Hitachi,Ltd.",6501,0.21%
Sartorius AG Pref,SRT3,0.2%
Nidec Corporation,6594,0.2%
"M3, Inc.",2413,0.2%
"Murata Manufacturing Co., Ltd.",6981,0.2%
Stora Enso Oyj Class R,STERV,0.2%
Skanska AB Class B,SKA.B,0.2%
Kering SA,KER,0.2%
NEC Corp.,6701,0.2%
Experian PLC,EXPN,0.2%
Santos Limited,STO,0.2%
Imperial Brands PLC,IMB,0.2%
U.S. Dollar,Other,0.19%
ageas SA/NV,AGS,0.19%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.19%
HeidelbergCement AG,HEI,0.19%
"Tokio Marine Holdings, Inc.",8766,0.19%
"Daifuku Co., Ltd.",6383,0.19%
"Recruit Holdings Co., Ltd.",6098,0.19%
United Overseas Bank Ltd. (Singapore),U11,0.18%
Wesfarmers Limited,WES,0.18%
Amadeus IT Group SA Class A,AMS,0.18%
Advantest Corp.,6857,0.18%
Heineken Holding N.V.,HEIO,0.18%
Schneider Electric SE,SU,0.18%
Barclays PLC,BARC,0.18%
Equinor ASA,EQNR,0.18%
Fortescue Metals Group Ltd,FMG,0.18%
WPP Plc,WPP,0.18%
Electricite de France SA,EDF,0.18%
Mitsubishi Corporation,8058,0.18%
James Hardie Industries PLC Chess Units of Foreign Securities,JHX,0.17%
Repsol SA,REP,0.17%
Ferguson Plc,FERG,0.17%
Rentokil Initial plc,RTO,0.17%
Atlas Copco AB Class A,ATCO.A,0.17%
Compass Group PLC,CPG,0.17%
ING Groep NV,INGA,0.17%
Japan Tobacco Inc.,2914,0.17%
Intertek Group plc,ITRK,0.17%
Persimmon Plc,PSN,0.17%
EssilorLuxottica SA,EL,0.17%
Danone SA,BN,0.17%
"Mitsui & Co.,Ltd",8031,0.17%
Prudential plc,PRU,0.17%
Kone Oyj Class B,KNEBV,0.17%
MinebeaMitsumi Inc.,6479,0.17%
Croda International Plc,CRDA,0.16%
Novozymes A/S Class B,NZYM.B,0.16%
"Daiwa House Industry Co., Ltd.",1925,0.16%
"NIPPON EXPRESS CO., LTD.",9062,0.16%
CNH Industrial NV,CNHI,0.16%
Lloyds Banking Group plc,LLOY,0.16%
Neste Corporation,NESTE,0.16%
TAISEI CORP,1801,0.16%
Societe Generale S.A. Class A,GLE,0.16%
Burberry Group plc,BRBY,0.16%
"Osaka Gas Co., Ltd.",9532,0.16%
Carlsberg A/S Class B,CARL.B,0.16%
Bunzl plc,BNZL,0.15%
Teleperformance SE,TEP,0.15%
Kajima Corporation,1812,0.15%
"Naturgy Energy Group, S.A.",NTGY,0.15%
CK Asset Holdings Limited,1113,0.15%
Intesa Sanpaolo S.p.A.,ISP,0.15%
Komatsu Ltd.,6301,0.15%
Ferrari NV,RACE,0.15%
Olympus Corp.,7733,0.15%
TDK Corporation,6762,0.15%
Eni S.p.A.,ENI,0.15%
Oversea-Chinese Banking Corporation Limited,O39,0.15%
"Hankyu Hanshin Holdings, Inc.",9042,0.15%
Moncler SpA,MONC,0.15%
Electrolux AB Class B,ELUX.B,0.15%
Central Japan Railway Company,9022,0.15%
LIXIL Corporation,5938,0.15%
Porsche Automobil Holding SE Pref,PAH3,0.14%
Barratt Developments PLC,BDEV,0.14%
"Mizuho Financial Group, Inc.",8411,0.14%
Thales SA,HO,0.14%
Sandvik AB,SAND,0.14%
Renesas Electronics Corporation,6723,0.14%
Aurizon Holdings Ltd.,AZJ,0.14%
Standard Chartered PLC,STAN,0.14%
Spirax-Sarco Engineering PLC,SPX,0.14%
Nitto Denko Corp.,6988,0.14%
Admiral Group plc,ADM,0.13%
Hermes International SCA,RMS,0.13%
Prosus N.V. Class N,PRX,0.13%
"Chugai Pharmaceutical Co., Ltd.",4519,0.13%
BAE Systems plc,BA,0.13%
"Sumitomo Electric Industries, Ltd.",5802,0.13%
RSA Insurance Group plc,RSA,0.13%
New World Development Co. Ltd.,17,0.13%
FinecoBank SpA,FBK,0.13%
"Sumitomo Metal Mining Co., Ltd.",5713,0.13%
"Daiichi Sankyo Company, Limited",4568,0.13%
Evonik Industries AG,EVK,0.13%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.13%
"Tohoku Electric Power Company, Incorporated",9506,0.13%
Danske Bank A/S,DANSKE,0.13%
SSE plc,SSE,0.13%
Chr. Hansen Holding A/S,CHR,0.13%
East Japan Railway Company,9020,0.13%
"Tobu Railway Co., Ltd.",9001,0.12%
APA Group,APA,0.12%
Nordea Bank Abp,NDA.FI,0.12%
Coca-Cola HBC AG,CCH,0.12%
Heineken NV,HEIA,0.12%
DENSO CORPORATION,6902,0.12%
Astellas Pharma Inc.,4503,0.12%
Melrose Industries PLC,MRO,0.12%
"Sumitomo Chemical Co., Ltd.",4005,0.12%
Terumo Corporation,4543,0.12%
Hannover Rueck SE,HNR1,0.12%
"AEON Co., Ltd.",8267,0.12%
"Ajinomoto Co., Inc.",2802,0.12%
Whitbread PLC,WTB,0.12%
Asahi Kasei Corporation,3407,0.12%
"Yamaha Motor Co., Ltd.",7272,0.12%
AGL Energy Limited,AGL,0.12%
"Tokyo Electric Power Company Holdings, Incorporated",9501,0.12%
Halma plc,HLMA,0.12%
Mitsubishi Electric Corp.,6503,0.11%
Telefonica SA,TEF,0.11%
Cochlear Limited,COH,0.11%
Power Assets Holdings Limited,6,0.11%
Kyocera Corporation,6971,0.11%
Disco Corporation,6146,0.11%
"Kirin Holdings Company, Limited",2503,0.11%
Taylor Wimpey plc,TW,0.11%
Yaskawa Electric Corporation,6506,0.11%
Kingspan Group Plc,KRX,0.11%
ORIX Corporation,8591,0.11%
Singapore Airlines Ltd.,C6L,0.11%
FUJIFILM Holdings Corp,4901,0.11%
CK Hutchison Holdings Ltd,1,0.11%
Fanuc Corporation,6954,0.11%
KBC Group N.V.,KBC,0.11%
Elisa Oyj Class A,ELISA,0.11%
Informa Plc,INF,0.11%
Obayashi Corporation,1802,0.11%
Sysmex Corporation,6869,0.11%
Marubeni Corporation,8002,0.11%
"Ferrovial, S.A.",FER,0.11%
Mediobanca S.p.A.,MB,0.11%
Fiat Chrysler Automobiles N.V.,FCA,0.11%
Flutter Entertainment Plc,FLTR,0.11%
"Grifols, S.A. Class A",GRF,0.11%
Ramsay Health Care Limited,RHC,0.11%
Sun Hung Kai Properties Limited,16,0.11%
"Shiseido Company,Limited",4911,0.11%
Oji Holdings Corp.,3861,0.1%
Smiths Group Plc,SMIN,0.1%
Nissan Chemical Corporation,4021,0.1%
"Nitori Holdings Co., Ltd.",9843,0.1%
Rolls-Royce Holdings plc,RR,0.1%
"Toray Industries, Inc.",3402,0.1%
London Stock Exchange Group plc,LSE,0.1%
"Rohm Co., Ltd.",6963,0.1%
Unicharm Corporation,8113,0.1%
United Utilities Group PLC,UU,0.1%
Continental AG,CON,0.1%
"Mitsui Chemicals, Inc.",4183,0.1%
Shimadzu Corporation,7701,0.1%
DNB ASA,DNB,0.1%
Beiersdorf AG,BEI,0.1%
Seiko Epson Corp.,6724,0.1%
CaixaBank SA,CABK,0.1%
Fujitsu Limited,6702,0.1%
"Odakyu Electric Railway Co., Ltd.",9007,0.1%
Kikkoman Corporation,2801,0.1%
Medibank Private Ltd.,MPL,0.1%
Woodside Petroleum Ltd,WPL,0.1%
Kuehne & Nagel International AG,KNIN,0.1%
Kubota Corporation,6326,0.1%
ICON Plc,ICLR,0.1%
Trend Micro Incorporated,4704,0.1%
"Koito Manufacturing Co., Ltd.",7276,0.1%
HKT Trust and HKT Ltd,6823,0.1%
BANDAI NAMCO Holdings Inc.,7832,0.1%
Volkswagen AG,VOW,0.1%
Sea Ltd. (Singapore) Sponsored ADR Class A,SE,0.09%
Schindler Holding AG Pref,SCHP,0.09%
"Idemitsu Kosan Co., Ltd.",5019,0.09%
"Dai-ichi Life Holdings,Inc.",8750,0.09%
Suzuki Motor Corp.,7269,0.09%
"Dai Nippon Printing Co., Ltd.",7912,0.09%
Antofagasta plc,ANTO,0.09%
Eurofins Scientific Societe Europeenne,ERF,0.09%
Origin Energy Limited,ORG,0.09%
South32 Ltd.,S32,0.09%
Hargreaves Lansdown plc,HL,0.09%
Svenska Handelsbanken AB Class A,SHB.A,0.09%
"Resona Holdings, Inc.",8308,0.09%
Swedbank AB Class A,SWED.A,0.09%
"T&D Holdings, Inc.",8795,0.09%
Check Point Software Technologies Ltd.,CHKP,0.09%
Daiwa Securities Group Inc.,8601,0.09%
H&M Hennes & Mauritz AB Class B,HM.B,0.09%
Sartorius Stedim Biotech SA,DIM,0.09%
Kesko Oyj Class B,KESKOB,0.09%
