JKD: iShares Morningstar Large-Cap ETF
Inception Date: 2004-06-28
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	868342
Shares Outstanding: 4000000
Expense Ratio: 0.2%
Tracks This Index: Morningstar Large Core Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/JKD


Holding,Symbol,Weighting
Apple Inc.,AAPL,16.7%
Berkshire Hathaway Inc. Class B,BRK.B,3.96%
UnitedHealth Group Incorporated,UNH,3.07%
Walt Disney Company,DIS,3.02%
"Home Depot, Inc.",HD,2.69%
Abbott Laboratories,ABT,2.0%
"NIKE, Inc. Class B",NKE,1.88%
Accenture Plc Class A,ACN,1.8%
Costco Wholesale Corporation,COST,1.78%
McDonald\'s Corporation,MCD,1.75%
"NextEra Energy, Inc.",NEE,1.69%
Texas Instruments Incorporated,TXN,1.67%
Linde plc,LIN,1.59%
Danaher Corporation,DHR,1.58%
Eli Lilly and Company,LLY,1.56%
Starbucks Corporation,SBUX,1.49%
"United Parcel Service, Inc. Class B",UPS,1.43%
"Lowe\'s Companies, Inc.",LOW,1.42%
"BlackRock, Inc.",BLK,1.31%
Booking Holdings Inc.,BKNG,1.24%
Target Corporation,TGT,1.2%
Deere & Company,DE,1.18%
Lockheed Martin Corporation,LMT,1.17%
"Fidelity National Information Services, Inc.",FIS,1.16%
TJX Companies Inc,TJX,1.15%
Stryker Corporation,SYK,1.15%
"Anthem, Inc.",ANTM,1.13%
"S&P Global, Inc.",SPGI,1.12%
"Activision Blizzard, Inc.",ATVI,1.11%
American Express Company,AXP,1.11%
"Applied Materials, Inc.",AMAT,1.1%
"Automatic Data Processing, Inc.",ADP,1.09%
"Prologis, Inc.",PLD,1.08%
Cigna Corporation,CI,1.08%
Global Payments Inc.,GPN,1.06%
"Intercontinental Exchange, Inc.",ICE,1.03%
"Fiserv, Inc.",FISV,1.02%
CME Group Inc. Class A,CME,1.01%
Estee Lauder Companies Inc. Class A,EL,1.01%
Lam Research Corporation,LRCX,1.01%
"Air Products and Chemicals, Inc.",APD,0.98%
Sherwin-Williams Company,SHW,0.98%
Progressive Corporation,PGR,0.98%
"Marsh & McLennan Companies, Inc.",MMC,0.97%
"Analog Devices, Inc.",ADI,0.95%
Humana Inc.,HUM,0.95%
FedEx Corporation,FDX,0.94%
Boston Scientific Corporation,BSX,0.94%
Dollar General Corporation,DG,0.91%
Aon Plc Class A,AON,0.9%
"Regeneron Pharmaceuticals, Inc.",REGN,0.9%
"Ross Stores, Inc.",ROST,0.89%
Northrop Grumman Corporation,NOC,0.88%
"Roper Technologies, Inc.",ROP,0.87%
"Twitter, Inc.",TWTR,0.87%
"Waste Management, Inc.",WM,0.87%
NXP Semiconductors NV,NXPI,0.86%
Electronic Arts Inc.,EA,0.86%
Blackstone Group Inc. Class A,BX,0.85%
"Digital Realty Trust, Inc.",DLR,0.84%
Baxter International Inc.,BAX,0.83%
L3Harris Technologies Inc,LHX,0.81%
Amphenol Corporation Class A,APH,0.81%
Centene Corporation,CNC,0.77%
"O\'Reilly Automotive, Inc.",ORLY,0.77%
eBay Inc.,EBAY,0.77%
Southern Copper Corporation,SCCO,0.6%
Brown-Forman Corporation Class B,BF.B,0.51%
MUTUAL FUND (OTHER),Other,0.18%
Brown-Forman Corporation Class A,BF.A,0.14%
U.S. Dollar,Other,0.01%
