JMIN: JPMorgan U.S. Minimum Volatility ETF
Inception Date: 2017-11-08
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	17451
Shares Outstanding: 550000
Expense Ratio: 0.12%
Tracks This Index: JP Morgan US Minimum Volatility Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: J.P. Morgan
Structure: ETF
ETF Home Page: https://etfdb.com/etf/JMIN


Holding,Symbol,Weighting
Microsoft Corporation,MSFT,0.73%
Scotts Miracle-Gro Company Class A,SMG,0.69%
Pool Corporation,POOL,0.68%
"Synopsys, Inc.",SNPS,0.66%
"First Solar, Inc.",FSLR,0.66%
Estee Lauder Companies Inc. Class A,EL,0.66%
"IDEXX Laboratories, Inc.",IDXX,0.65%
"NextEra Energy, Inc.",NEE,0.64%
"ANSYS, Inc.",ANSS,0.63%
Johnson & Johnson,JNJ,0.63%
Linde plc,LIN,0.63%
Procter & Gamble Company,PG,0.63%
"NIKE, Inc. Class B",NKE,0.63%
Costco Wholesale Corporation,COST,0.62%
"American Water Works Company, Inc.",AWK,0.62%
Berkshire Hathaway Inc. Class B,BRK.B,0.62%
UnitedHealth Group Incorporated,UNH,0.62%
Medtronic Plc,MDT,0.62%
"Activision Blizzard, Inc.",ATVI,0.62%
Intuit Inc.,INTU,0.62%
"Home Depot, Inc.",HD,0.62%
"PepsiCo, Inc.",PEP,0.62%
"West Pharmaceutical Services, Inc.",WST,0.62%
Abbott Laboratories,ABT,0.62%
"T-Mobile US, Inc.",TMUS,0.62%
Colgate-Palmolive Company,CL,0.61%
"United Parcel Service, Inc. Class B",UPS,0.61%
Public Service Enterprise Group Inc,PEG,0.61%
RPM International Inc.,RPM,0.61%
"Zoetis, Inc. Class A",ZTS,0.61%
Stryker Corporation,SYK,0.61%
McDonald\'s Corporation,MCD,0.61%
Bio-Techne Corporation,TECH,0.61%
"American Electric Power Company, Inc.",AEP,0.6%
Danaher Corporation,DHR,0.6%
Teleflex Incorporated,TFX,0.6%
Archer-Daniels-Midland Company,ADM,0.6%
"Republic Services, Inc.",RSG,0.6%
"Automatic Data Processing, Inc.",ADP,0.6%
"Waste Management, Inc.",WM,0.6%
Eli Lilly and Company,LLY,0.59%
Thermo Fisher Scientific Inc.,TMO,0.59%
Walmart Inc.,WMT,0.59%
"NVR, Inc.",NVR,0.59%
Garmin Ltd.,GRMN,0.59%
"PPG Industries, Inc.",PPG,0.59%
"Zimmer Biomet Holdings, Inc.",ZBH,0.59%
STERIS Plc,STE,0.59%
Coca-Cola Company,KO,0.58%
CMS Energy Corporation,CMS,0.58%
"Conagra Brands, Inc.",CAG,0.58%
Verizon Communications Inc.,VZ,0.58%
"Brown & Brown, Inc.",BRO,0.58%
Monster Beverage Corporation,MNST,0.58%
"Cooper Companies, Inc.",COO,0.58%
Duke Energy Corporation,DUK,0.57%
"Mondelez International, Inc. Class A",MDLZ,0.57%
Brown-Forman Corporation Class B,BF.B,0.57%
"Yum! Brands, Inc.",YUM,0.57%
DTE Energy Company,DTE,0.57%
"Cheniere Energy, Inc.",LNG,0.57%
"Marsh & McLennan Companies, Inc.",MMC,0.57%
"AbbVie, Inc.",ABBV,0.56%
"Merck & Co., Inc.",MRK,0.56%
"Motorola Solutions, Inc.",MSI,0.56%
Eversource Energy,ES,0.56%
Electronic Arts Inc.,EA,0.56%
Southern Company,SO,0.56%
Clorox Company,CLX,0.55%
J.M. Smucker Company,SJM,0.55%
Ameren Corporation,AEE,0.55%
Xcel Energy Inc.,XEL,0.55%
Quest Diagnostics Incorporated,DGX,0.55%
Exelon Corporation,EXC,0.55%
Amdocs Limited,DOX,0.55%
"Lamb Weston Holdings, Inc.",LW,0.55%
"Air Products and Chemicals, Inc.",APD,0.54%
Allstate Corporation,ALL,0.54%
"AutoZone, Inc.",AZO,0.54%
Alliant Energy Corp,LNT,0.54%
Hershey Company,HSY,0.54%
Molson Coors Beverage Company Class B,TAP,0.54%
"McCormick & Company, Incorporated",MKC,0.54%
"Church & Dwight Co., Inc.",CHD,0.54%
"Hologic, Inc.",HOLX,0.53%
Crown Castle International Corp,CCI,0.53%
Amgen Inc.,AMGN,0.53%
Ecolab Inc.,ECL,0.53%
Edwards Lifesciences Corporation,EW,0.53%
WEC Energy Group Inc,WEC,0.53%
"Constellation Brands, Inc. Class A",STZ,0.53%
"Becton, Dickinson and Company",BDX,0.53%
Keurig Dr Pepper Inc.,KDP,0.52%
Pinnacle West Capital Corporation,PNW,0.52%
Service Corporation International,SCI,0.52%
RenaissanceRe Holdings Ltd.,RNR,0.52%
Kellogg Company,K,0.52%
Lockheed Martin Corporation,LMT,0.52%
Genuine Parts Company,GPC,0.52%
Boston Scientific Corporation,BSX,0.52%
"Bio-Rad Laboratories, Inc. Class A",BIO,0.52%
"Evergy, Inc.",EVRG,0.51%
Kimberly-Clark Corporation,KMB,0.51%
Hormel Foods Corporation,HRL,0.51%
Atmos Energy Corporation,ATO,0.51%
Tiffany & Co.,TIF,0.51%
"Hill-Rom Holdings, Inc.",HRC,0.51%
Bristol-Myers Squibb Company,BMY,0.51%
"General Mills, Inc.",GIS,0.51%
Baxter International Inc.,BAX,0.51%
"Essential Utilities, Inc.",WTRG,0.51%
"Ashland Global Holdings, Inc.",ASH,0.5%
Zynga Inc. Class A,ZNGA,0.5%
Philip Morris International Inc.,PM,0.5%
L3Harris Technologies Inc,LHX,0.5%
Dominion Energy Inc,D,0.5%
"PerkinElmer, Inc.",PKI,0.5%
Masimo Corporation,MASI,0.5%
AT&T Inc.,T,0.5%
"Varian Medical Systems, Inc.",VAR,0.5%
Sempra Energy,SRE,0.5%
Campbell Soup Company,CPB,0.49%
Entergy Corporation,ETR,0.49%
PPL Corporation,PPL,0.49%
"Henry Schein, Inc.",HSIC,0.49%
NiSource Inc,NI,0.49%
"Regeneron Pharmaceuticals, Inc.",REGN,0.49%
Phillips 66,PSX,0.49%
Pfizer Inc.,PFE,0.49%
"Consolidated Edison, Inc.",ED,0.49%
"Post Holdings, Inc.",POST,0.48%
Exxon Mobil Corporation,XOM,0.48%
Newmont Corporation,NEM,0.47%
"Gilead Sciences, Inc.",GILD,0.47%
Altria Group Inc,MO,0.47%
ConocoPhillips,COP,0.47%
Chevron Corporation,CVX,0.47%
Kinder Morgan Inc Class P,KMI,0.46%
"Tyson Foods, Inc. Class A",TSN,0.45%
Ingredion Incorporated,INGR,0.45%
OGE Energy Corp.,OGE,0.45%
Fastenal Company,FAST,0.45%
V.F. Corporation,VFC,0.45%
"Williams Companies, Inc.",WMB,0.45%
Cabot Oil & Gas Corporation,COG,0.45%
Bunge Limited,BG,0.43%
CVS Health Corporation,CVS,0.43%
"Leggett & Platt, Incorporated",LEG,0.42%
"Avangrid, Inc.",AGR,0.41%
Arthur J. Gallagher & Co.,AJG,0.4%
3M Company,MMM,0.4%
"Citrix Systems, Inc.",CTXS,0.39%
National Fuel Gas Company,NFG,0.38%
Baker Hughes Company Class A,BKR,0.38%
"Expeditors International of Washington, Inc.",EXPD,0.38%
Avery Dennison Corporation,AVY,0.37%
"CDK Global, Inc.",CDK,0.37%
"IDACORP, Inc.",IDA,0.36%
Hubbell Incorporated Class B,HUBB,0.36%
"Flowers Foods, Inc.",FLO,0.36%
Corteva Inc,CTVA,0.36%
International Flavors & Fragrances Inc.,IFF,0.36%
Valero Energy Corporation,VLO,0.34%
"O\'Reilly Automotive, Inc.",ORLY,0.34%
UGI Corporation,UGI,0.34%
QIAGEN NV,QGEN,0.33%
FirstEnergy Corp.,FE,0.32%
Chemed Corporation,CHE,0.31%
"CenterPoint Energy, Inc.",CNP,0.3%
Texas Instruments Incorporated,TXN,0.3%
Edison International,EIX,0.3%
Gentex Corporation,GNTX,0.29%
Cerner Corporation,CERN,0.29%
Honeywell International Inc.,HON,0.29%
"Hasbro, Inc.",HAS,0.28%
"Jack Henry & Associates, Inc.",JKHY,0.28%
"Choice Hotels International, Inc.",CHH,0.28%
