JMST: JPMorgan Ultra-Short Municipal ETF
Inception Date: 2018-10-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1147280
Shares Outstanding: 22500000
Expense Ratio: 0.18%
Tracks This Index: n/a
ETFdb.com Category: Total Bond Market
Issuer: J.P. Morgan
Structure: ETF
ETF Home Page: https://etfdb.com/etf/JMST


Holding,Symbol,Weighting
MUTUAL FUND (OTHER),Other,9.76%
MUNICIPAL BONDS,Other,4.33%
Pennsylvania St Tpk Commn Tpk Rev VAR 01-DEC-2038,Other,1.24%
Ventnor City N J 2.0% 15-JUL-2021,Other,1.13%
Ohio Hsg Fin Agy Multifamily Hsg Rev VAR 01-JUN-2022,Other,0.93%
Capital Tr Agy Fla Hsg Rev VAR 01-MAR-2023,Other,0.93%
Illinois Fin Auth Rev VAR 01-MAY-2048,Other,0.88%
West Orange Twp N J 1.5% 15-DEC-2021,Other,0.86%
New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev VAR 15-JUN-2046,Other,0.78%
Carlstadt N J 2.0% 25-JUN-2021,Other,0.77%
East Rutherford N J Sch Dist 1.25% 15-JUL-2021,Other,0.71%
Tender Opt Bd Tr Rcpts / Ctfs Var Sts VAR 15-FEB-2041,Other,0.67%
Windham Conn 2.0% 30-SEP-2021,Other,0.65%
Ossining Vlg N Y 1.25% 24-SEP-2021,Other,0.63%
New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev VAR 15-JUN-2051,Other,0.62%
Port Auth N Y & N J Spl Oblig Rev 5.5% 01-DEC-2031,Other,0.62%
University N C Hosp Chapel Hill Rev VAR 01-FEB-2029,Other,0.6%
New York St Dorm Auth Revs Non St Supported Debt VAR 01-MAY-2048,Other,0.6%
Rhode Island Health & Edl Bldg Corp Higher Ed Fac Rev VAR 01-JUN-2035,Other,0.57%
Chicago Ill O Hare Intl Arpt Rev 5.75% 01-JAN-2039,Other,0.57%
North Carolina Med Care Commn Health Care Facs Rev VAR 01-DEC-2048,Other,0.55%
Lowell Mass Regl Tran Auth 1.25% 19-AUG-2021,Other,0.53%
West Virginia St Hosp Fin Auth Hosp Rev 5.0% 01-JUN-2021,Other,0.51%
Geauga Cnty Ohio Rev VAR 31-DEC-2047,Other,0.51%
Ohio St Hosp Rev VAR 15-JAN-2045,Other,0.49%
Bellingham Wash Wtr & Swr Rev VAR 01-AUG-2040,Other,0.48%
