JPHY: JPMorgan High Yield Research Enhanced
Inception Date: 2016-09-14
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	491055
Shares Outstanding: 9500000
Expense Ratio: 0.24%
Tracks This Index: n/a
ETFdb.com Category: High Yield Bonds
Issuer: J.P. Morgan
Structure: ETF
ETF Home Page: https://etfdb.com/etf/JPHY


Holding,Symbol,Weighting
CORPORATE BOND,Other,1.45%
"TransDigm, Inc. 6.25% 15-MAR-2026",Other,1.26%
Ford Motor Credit Company LLC 4.125% 17-AUG-2027,Other,1.1%
JPMorgan Trust II US Government Money Market Fund Institutional,IJGXX,0.95%
CCO Holdings LLC 4.75% 01-MAR-2030,Other,0.93%
Springleaf Finance Corporation 7.125% 15-MAR-2026,Other,0.92%
"Netflix, Inc. 5.875% 15-NOV-2028",Other,0.84%
Tenet Healthcare Corporation 5.125% 01-NOV-2027,Other,0.79%
"Post Holdings, Inc. 5.5% 15-DEC-2029",Other,0.73%
"Yum! Brands, Inc. 4.75% 15-JAN-2030",Other,0.71%
Apache Corporation 5.1% 01-SEP-2040,Other,0.71%
"Argos Merger Sub, Inc. 7.125% 15-MAR-2023",Other,0.7%
CCO Holdings LLC 5.375% 01-JUN-2029,Other,0.69%
Sprint Corp. 7.875% 15-SEP-2023,Other,0.69%
Sprint Capital Corp. 8.75% 15-MAR-2032,Other,0.68%
"WESCO Distribution, Inc. 7.25% 15-JUN-2028",Other,0.64%
Targa Resources Partners LP 6.875% 15-JAN-2029,Other,0.61%
CCOH Safari LLC 5.75% 15-FEB-2026,Other,0.61%
Nationstar Mortgage Holdings Inc. 5.5% 15-AUG-2028,Other,0.61%
"WPX Energy, Inc. 5.25% 15-SEP-2024",Other,0.6%
DISH DBS Corporation 5.875% 15-NOV-2024,Other,0.6%
Centene Escrow I Corp. 5.375% 01-JUN-2026,Other,0.59%
VRX Escrow Corp. 6.125% 15-APR-2025,Other,0.59%
"HCA, Inc. 5.625% 01-SEP-2028",Other,0.58%
Ford Motor Credit Company LLC 5.584% 18-MAR-2024,Other,0.57%
"United Rentals (North America), Inc. 4.875% 15-JAN-2028",Other,0.57%
Vistra Operations Co. LLC 5.625% 15-FEB-2027,Other,0.57%
Centene Corporation 4.625% 15-DEC-2029,Other,0.56%
Quicken Loans LLC 5.25% 15-JAN-2028,Other,0.55%
Ford Motor Credit Company LLC 5.125% 16-JUN-2025,Other,0.53%
Bausch Health Companies Inc. 5.0% 30-JAN-2028,Other,0.52%
Comstock Escrow Corp. 9.75% 15-AUG-2026,Other,0.52%
Sprint Capital Corp. 6.875% 15-NOV-2028,Other,0.52%
"Cheniere Energy Partners, L.P. 4.5% 01-OCT-2029",Other,0.52%
"CSC Holdings, LLC 6.5% 01-FEB-2029",Other,0.52%
Alcoa Europe Holding BV 6.125% 15-MAY-2028,Other,0.51%
Springleaf Finance Corporation 6.125% 15-MAR-2024,Other,0.51%
"United Rentals (North America), Inc. 5.25% 15-JAN-2030",Other,0.5%
Frontier Communications Corporation 5.875% 15-OCT-2027,Other,0.5%
Bausch Health Companies Inc. 8.5% 31-JAN-2027,Other,0.5%
"XPO Logistics, Inc. 6.25% 01-MAY-2025",Other,0.48%
Parsley Energy LLC 5.625% 15-OCT-2027,Other,0.48%
NCR Corporation 6.125% 01-SEP-2029,Other,0.48%
"Standard Industries, Inc. (New York) 4.75% 15-JAN-2028",Other,0.46%
PG&E Corporation 5.25% 01-JUL-2030,Other,0.46%
Quicken Loans LLC 3.875% 01-MAR-2031,Other,0.46%
Bausch Health Companies Inc. 7.25% 30-MAY-2029,Other,0.45%
Ovintiv Canada ULC 6.5% 15-AUG-2034,Other,0.45%
EQM Midstream Partners LP 5.5% 15-JUL-2028,Other,0.44%
"iHeartCommunications, Inc. 8.375% 01-MAY-2027",Other,0.44%
"L Brands, Inc. 6.875% 01-NOV-2035",Other,0.43%
"Buckeye Partners, L.P. 4.5% 01-MAR-2028",Other,0.43%
Telecom Italia Capital SA 7.721% 04-JUN-2038,Other,0.43%
"HCA, Inc. 5.875% 01-FEB-2029",Other,0.42%
EQT Corporation 7.875% 01-FEB-2025,Other,0.42%
"Live Nation Entertainment, Inc. 6.5% 15-MAY-2027",Other,0.41%
"Gartner, Inc. 4.5% 01-JUL-2028",Other,0.41%
"Clear Channel Worldwide Holdings, Inc. 9.25% 15-FEB-2024",Other,0.41%
"HCA, Inc. 5.375% 01-FEB-2025",Other,0.4%
Ziggo Secured Finance BV 5.5% 15-JAN-2027,Other,0.4%
"Energizer Holdings, Inc. 4.75% 15-JUN-2028",Other,0.39%
"Sabre GLBL, Inc. 9.25% 15-APR-2025",Other,0.39%
Howmet Aerospace Inc. 6.875% 01-MAY-2025,Other,0.38%
"AmeriGas Partners, L.P. 5.875% 20-AUG-2026",Other,0.38%
Alcoa Inc. 5.95% 01-FEB-2037,Other,0.38%
CCO Holdings LLC 5.125% 01-MAY-2027,Other,0.38%
Ally Financial Inc. 5.75% 20-NOV-2025,Other,0.38%
"Freeport-McMoRan, Inc. 4.625% 01-AUG-2030",Other,0.37%
"Netflix, Inc. 5.875% 15-FEB-2025",Other,0.37%
"NRG Energy, Inc. 5.25% 15-JUN-2029",Other,0.36%
"Performance Food Group, Inc. 5.5% 15-OCT-2027",Other,0.36%
Nielsen Finance LLC 5.625% 01-OCT-2028,Other,0.36%
"Hilton Domestic Operating Co., Inc. 4.875% 15-JAN-2030",Other,0.35%
Centene Corporation 4.25% 15-DEC-2027,Other,0.35%
"SS&C Technologies, Inc. 5.5% 30-SEP-2027",Other,0.34%
Ovintiv Exploration Inc. 5.375% 01-JAN-2026,Other,0.34%
"Albertsons Companies, Inc. 4.625% 15-JAN-2027",Other,0.34%
"Par Pharmaceutical, Inc. 7.5% 01-APR-2027",Other,0.34%
Centene Corporation 3.375% 15-FEB-2030,Other,0.34%
Altadis Finance BV 5.125% 02-OCT-2013,Other,0.33%
Prime Security Services Borrower LLC 5.75% 15-APR-2026,Other,0.33%
"Freeport-McMoRan, Inc. 5.45% 15-MAR-2043",Other,0.33%
"LPL Holdings, Inc. 4.625% 15-NOV-2027",Other,0.33%
"TransDigm, Inc. 5.5% 15-NOV-2027",Other,0.32%
"Clear Channel Outdoor Holdings, Inc. 5.125% 15-AUG-2027",Other,0.32%
"Staples, Inc. 7.5% 15-APR-2026",Other,0.32%
"Nexstar Escrow, Inc. 5.625% 15-JUL-2027",Other,0.32%
Targa Resources Partners LP 5.875% 15-APR-2026,Other,0.32%
Calpine Corporation 4.5% 15-FEB-2028,Other,0.32%
"T-Mobile USA, Inc. 4.75% 01-FEB-2028",Other,0.31%
CommScope Technologies LLC 5.0% 15-MAR-2027,Other,0.31%
Boyd Gaming Corporation 4.75% 01-DEC-2027,Other,0.31%
1011778 B.C. UNLIMITED LIABILITY COMPANY 3.875% 15-JAN-2028,Other,0.3%
