JPN: Xtrackers Japan JPX-Nikkei 400 Equity ETF
Inception Date: 2015-06-24
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	16286
Shares Outstanding: 500000
Expense Ratio: 0.09%
Tracks This Index: JPX-Nikkei 400 Total Return Index
ETFdb.com Category: Japan Equities
Issuer: DWS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/JPN


Holding,Symbol,Weighting
Sony Corporation,6758,1.75%
Nippon Telegraph and Telephone Corporation,9432,1.72%
SoftBank Group Corp.,9984,1.68%
Nidec Corporation,6594,1.61%
Keyence Corporation,6861,1.61%
Toyota Motor Corp.,7203,1.59%
"Daiichi Sankyo Company, Limited",4568,1.54%
Shin-Etsu Chemical Co Ltd,4063,1.53%
"Nintendo Co., Ltd.",7974,1.5%
"DAIKIN INDUSTRIES, LTD.",6367,1.49%
HOYA CORPORATION,7741,1.48%
"Mitsubishi UFJ Financial Group, Inc.",8306,1.47%
"Murata Manufacturing Co., Ltd.",6981,1.46%
"Recruit Holdings Co., Ltd.",6098,1.4%
Takeda Pharmaceutical Co. Ltd.,4502,1.36%
Tokyo Electron Ltd.,8035,1.22%
Fanuc Corporation,6954,1.22%
"Honda Motor Co., Ltd.",7267,1.17%
KDDI Corporation,9433,1.15%
"Sumitomo Mitsui Financial Group, Inc.",8316,1.12%
"M3, Inc.",2413,1.1%
Itochu Corporation,8001,1.06%
SMC Corporation,6273,1.01%
Kao Corp.,4452,1.0%
"Hitachi,Ltd.",6501,0.99%
"Tokio Marine Holdings, Inc.",8766,0.94%
"Mizuho Financial Group, Inc.",8411,0.9%
"Chugai Pharmaceutical Co., Ltd.",4519,0.88%
"Oriental Land Co., Ltd.",4661,0.85%
Mitsubishi Corporation,8058,0.85%
"Mitsui & Co.,Ltd",8031,0.83%
Mitsubishi Electric Corp.,6503,0.79%
Astellas Pharma Inc.,4503,0.73%
"Shiseido Company,Limited",4911,0.73%
"Seven & I Holdings Co., Ltd.",3382,0.72%
Fujitsu Limited,6702,0.71%
Panasonic Corporation,6752,0.71%
DENSO CORPORATION,6902,0.7%
Komatsu Ltd.,6301,0.68%
"AEON Co., Ltd.",8267,0.66%
Terumo Corporation,4543,0.64%
Olympus Corp.,7733,0.63%
Kubota Corporation,6326,0.62%
"FAST RETAILING CO., LTD.",9983,0.61%
East Japan Railway Company,9020,0.6%
Central Japan Railway Company,9022,0.6%
"Mitsubishi Estate Company, Limited",8802,0.59%
Japan Tobacco Inc.,2914,0.57%
"Kirin Holdings Company, Limited Sponsored ADR",KNBWY,0.53%
"Mitsui Fudosan Co., Ltd.",8801,0.53%
Unicharm Corporation,8113,0.52%
Suzuki Motor Corp.,7269,0.5%
ORIX Corporation,8591,0.5%
"Daiwa House Industry Co., Ltd.",1925,0.49%
"Nomura Holdings, Inc.",8604,0.49%
Canon Inc.,7751,0.48%
"Secom Co., Ltd.",9735,0.48%
"Asahi Group Holdings,Ltd.",2502,0.48%
Shimano Inc.,7309,0.47%
"Otsuka Holdings Co., Ltd.",4578,0.47%
BANDAI NAMCO Holdings Inc.,7832,0.47%
Bridgestone Corporation,5108,0.46%
"Nitori Holdings Co., Ltd.",9843,0.46%
NIPPON PAINT HOLDINGS CO.LTD.,4612,0.46%
"Dai-ichi Life Holdings,Inc.",8750,0.45%
Kyocera Corporation,6971,0.45%
Z Holdings Corporation,4689,0.45%
Sysmex Corporation,6869,0.45%
"Eisai Co., Ltd.",4523,0.44%
OMRON Corporation,6645,0.43%
Sumitomo Corporation,8053,0.43%
"MS&AD Insurance Group Holdings, Inc.",8725,0.41%
"NEXON Co., Ltd.",3659,0.4%
"Japan Exchange Group, Inc.",8697,0.39%
"Sompo Holdings,Inc.",8630,0.39%
TDK Corporation,6762,0.38%
"ONO Pharmaceutical Co., Ltd.",4528,0.37%
"Shionogi & Co., Ltd.",4507,0.37%
NEC Corp.,6701,0.37%
"OBIC Co., Ltd.",4684,0.36%
"Sekisui House, Ltd.",1928,0.36%
Marubeni Corporation,8002,0.35%
"Sumitomo Realty & Development Co., Ltd.",8830,0.35%
Asahi Kasei Corporation,3407,0.34%
Makita Corporation,6586,0.34%
Toyota Industries Corp.,6201,0.34%
"Daifuku Co., Ltd.",6383,0.33%
SUBARU CORP,7270,0.33%
Nitto Denko Corp.,6988,0.33%
"Sumitomo Metal Mining Co., Ltd.",5713,0.31%
Lasertec Corp.,6920,0.3%
"Sumitomo Mitsui Trust Holdings, Inc.",8309,0.3%
Nihon M&A Center Inc.,2127,0.29%
"ENEOS Holdings, Inc.",5020,0.29%
NIPPON STEEL CORP.,5401,0.29%
Yaskawa Electric Corporation,6506,0.28%
Advantest Corp.,6857,0.28%
ANA Holdings Inc.,9202,0.28%
"Nomura Research Institute,Ltd.",4307,0.28%
"Mitsubishi Heavy Industries, Ltd.",7011,0.27%
Pan Pacific International Holdings Corporation,7532,0.27%
"Ajinomoto Co., Inc.",2802,0.27%
"Meiji Holdings Co., Ltd.",2269,0.26%
"Sumitomo Electric Industries, Ltd.",5802,0.25%
Kikkoman Corporation,2801,0.25%
West Japan Railway Company,9021,0.25%
U.S. Dollar,Other,0.24%
Shimadzu Corporation,7701,0.24%
Toyota Tsusho Corp.,8015,0.24%
Renesas Electronics Corporation,6723,0.24%
"TOKYO GAS Co., Ltd.",9531,0.24%
"Odakyu Electric Railway Co., Ltd.",9007,0.24%
"Yamato Holdings Co., Ltd.",9064,0.23%
Keio Corporation,9008,0.23%
Disco Corporation,6146,0.23%
Hamamatsu Photonics K.K.,6965,0.23%
"Rakuten, Inc.",4755,0.23%
"Toray Industries, Inc.",3402,0.22%
"Asahi Intecc Co., Ltd.",7747,0.22%
Misumi Group Inc.,9962,0.22%
TOTO Ltd,5332,0.22%
"Hankyu Hanshin Holdings, Inc.",9042,0.22%
"Kintetsu Group Holdings Co., Ltd.",9041,0.21%
"Koito Manufacturing Co., Ltd.",7276,0.21%
"Sekisui Chemical Co., Ltd.",4204,0.21%
"Japan Airlines Co., Ltd.",9201,0.21%
NTT DATA Corporation,9613,0.2%
"Resona Holdings, Inc.",8308,0.2%
Daiwa Securities Group Inc.,8601,0.2%
Mitsubishi Chemical Holdings Corporation,4188,0.2%
"Osaka Gas Co., Ltd.",9532,0.2%
"Kansai Paint Co., Ltd.",4613,0.19%
"Nissin Foods Holdings Co., Ltd.",2897,0.19%
"Kansai Electric Power Company, Incorporated",9503,0.19%
Nissan Chemical Corporation,4021,0.19%
"Chubu Electric Power Company,Incorporated",9502,0.19%
