JQUA: JPMorgan U.S. Quality Factor ETF
Inception Date: 2017-11-08
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	440709
Shares Outstanding: 12300000
Expense Ratio: 0.12%
Tracks This Index: JP Morgan US Quality Factor Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: J.P. Morgan
Structure: ETF
ETF Home Page: https://etfdb.com/etf/JQUA


Holding,Symbol,Weighting
Visa Inc. Class A,V,1.96%
Procter & Gamble Company,PG,1.93%
Microsoft Corporation,MSFT,1.92%
Alphabet Inc. Class A,GOOGL,1.89%
Johnson & Johnson,JNJ,1.81%
Mastercard Incorporated Class A,MA,1.81%
"Facebook, Inc. Class A",FB,1.77%
NVIDIA Corporation,NVDA,1.76%
Apple Inc.,AAPL,1.73%
"Home Depot, Inc.",HD,1.65%
Adobe Inc.,ADBE,1.43%
Verizon Communications Inc.,VZ,1.43%
"Merck & Co., Inc.",MRK,1.24%
"AbbVie, Inc.",ABBV,1.16%
"Cisco Systems, Inc.",CSCO,1.16%
Intel Corporation,INTC,1.09%
Qualcomm Inc,QCOM,1.07%
"Amazon.com, Inc.",AMZN,1.06%
Costco Wholesale Corporation,COST,1.05%
Accenture Plc Class A,ACN,1.05%
Texas Instruments Incorporated,TXN,0.96%
Honeywell International Inc.,HON,0.96%
McDonald\'s Corporation,MCD,0.95%
Eli Lilly and Company,LLY,0.94%
Union Pacific Corporation,UNP,0.92%
Pfizer Inc.,PFE,0.92%
Amgen Inc.,AMGN,0.86%
Chevron Corporation,CVX,0.86%
Coca-Cola Company,KO,0.85%
"NextEra Energy, Inc.",NEE,0.84%
"Lowe\'s Companies, Inc.",LOW,0.83%
Oracle Corporation,ORCL,0.83%
International Business Machines Corporation,IBM,0.75%
3M Company,MMM,0.7%
American Tower Corporation,AMT,0.69%
Intuit Inc.,INTU,0.68%
Booking Holdings Inc.,BKNG,0.66%
Target Corporation,TGT,0.65%
Lockheed Martin Corporation,LMT,0.63%
TJX Companies Inc,TJX,0.62%
"Zoetis, Inc. Class A",ZTS,0.61%
"S&P Global, Inc.",SPGI,0.59%
Altria Group Inc,MO,0.58%
"Automatic Data Processing, Inc.",ADP,0.58%
Colgate-Palmolive Company,CL,0.57%
"Autodesk, Inc.",ADSK,0.56%
American Express Company,AXP,0.56%
Illinois Tool Works Inc.,ITW,0.52%
"Gilead Sciences, Inc.",GILD,0.51%
"Air Products and Chemicals, Inc.",APD,0.5%
Vertex Pharmaceuticals Incorporated,VRTX,0.49%
Progressive Corporation,PGR,0.49%
Edwards Lifesciences Corporation,EW,0.49%
"Marsh & McLennan Companies, Inc.",MMC,0.49%
"Applied Materials, Inc.",AMAT,0.48%
Dollar General Corporation,DG,0.46%
"Illumina, Inc.",ILMN,0.45%
U.S. Bancorp,USB,0.45%
Moody\'s Corporation,MCO,0.43%
"IDEXX Laboratories, Inc.",IDXX,0.43%
Aon Plc Class A,AON,0.43%
Electronic Arts Inc.,EA,0.43%
"Synopsys, Inc.",SNPS,0.42%
"Zoom Video Communications, Inc. Class A",ZM,0.42%
Cognizant Technology Solutions Corporation Class A,CTSH,0.42%
"NIKE, Inc. Class B",NKE,0.42%
"Cadence Design Systems, Inc.",CDNS,0.42%
"Ross Stores, Inc.",ROST,0.41%
Estee Lauder Companies Inc. Class A,EL,0.41%
"Intercontinental Exchange, Inc.",ICE,0.4%
Philip Morris International Inc.,PM,0.4%
"Palo Alto Networks, Inc.",PANW,0.4%
Kimberly-Clark Corporation,KMB,0.38%
Verisk Analytics Inc,VRSK,0.38%
Monster Beverage Corporation,MNST,0.38%
Public Storage,PSA,0.37%
Cummins Inc.,CMI,0.37%
"Analog Devices, Inc.",ADI,0.37%
"Xilinx, Inc.",XLNX,0.37%
"Marriott International, Inc. Class A",MAR,0.37%
"Yum! Brands, Inc.",YUM,0.37%
"Copart, Inc.",CPRT,0.36%
Biogen Inc.,BIIB,0.36%
ResMed Inc.,RMD,0.36%
Chubb Limited,CB,0.36%
Exelon Corporation,EXC,0.36%
Allstate Corporation,ALL,0.35%
Cintas Corporation,CTAS,0.35%
"Paychex, Inc.",PAYX,0.35%
"O\'Reilly Automotive, Inc.",ORLY,0.35%
"Rockwell Automation, Inc.",ROK,0.35%
eBay Inc.,EBAY,0.35%
