JXI: iShares Global Utilities ETF
Inception Date: 2006-09-21
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	147019
Shares Outstanding: 2450000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Utilities Index
ETFdb.com Category: Utilities Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/JXI


Holding,Symbol,Weighting
"NextEra Energy, Inc.",NEE,10.11%
Iberdrola SA,IBE,5.53%
Enel SpA,ENEL,5.23%
Duke Energy Corporation,DUK,4.5%
Southern Company,SO,4.34%
Dominion Energy Inc,D,4.1%
National Grid plc,NG,2.99%
"American Electric Power Company, Inc.",AEP,2.76%
Exelon Corporation,EXC,2.75%
Orsted,ORSTED,2.48%
Sempra Energy,SRE,2.45%
Xcel Energy Inc.,XEL,2.34%
Eversource Energy,ES,1.98%
Public Service Enterprise Group Inc,PEG,1.97%
WEC Energy Group Inc,WEC,1.94%
RWE AG,RWE,1.92%
"American Water Works Company, Inc.",AWK,1.86%
ENGIE SA.,ENGI,1.82%
E.ON SE,EOAN,1.67%
"Consolidated Edison, Inc.",ED,1.65%
Edison International,EIX,1.59%
DTE Energy Company,DTE,1.57%
PPL Corporation,PPL,1.45%
SSE plc,SSE,1.45%
Entergy Corporation,ETR,1.34%
Ameren Corporation,AEE,1.29%
Fortis Inc.,FTS,1.28%
EDP-Energias de Portugal SA,EDP,1.2%
CMS Energy Corporation,CMS,1.17%
FirstEnergy Corp.,FE,1.11%
Hong Kong & China Gas Co. Ltd.,3,1.06%
AES Corporation,AES,1.05%
CLP Holdings Limited,2,1.0%
Brookfield Infrastructure Partners L.P.,BIP.UT,0.98%
Veolia Environnement SA,VIE,0.87%
Alliant Energy Corp,LNT,0.86%
"Evergy, Inc.",EVRG,0.84%
Snam S.p.A.,SRG,0.81%
Atmos Energy Corporation,ATO,0.79%
"CenterPoint Energy, Inc.",CNP,0.79%
Emera Incorporated,EMA,0.72%
Terna S.p.A.,TRN,0.72%
Fortum Oyj,FORTUM,0.7%
Algonquin Power & Utilities Corp.,AQN,0.66%
Red Electrica Corp. SA,REE,0.61%
"NRG Energy, Inc.",NRG,0.61%
Pinnacle West Capital Corporation,PNW,0.6%
APA Group,APA,0.6%
"TOKYO GAS Co., Ltd.",9531,0.59%
"Chubu Electric Power Company,Incorporated",9502,0.58%
NiSource Inc,NI,0.58%
Endesa S.A.,ELE,0.58%
"Osaka Gas Co., Ltd.",9532,0.57%
United Utilities Group PLC,UU,0.56%
SUEZ SA,SEV,0.55%
"Naturgy Energy Group, S.A.",NTGY,0.53%
Severn Trent Plc,SVT,0.52%
"Kansai Electric Power Company, Incorporated",9503,0.51%
Electricite de France SA,EDF,0.43%
AGL Energy Limited,AGL,0.39%
Enagas SA,ENG,0.38%
Enel Americas S.A. Sponsored ADR,ENIA,0.32%
Centrica plc,CNA,0.25%
U.S. Dollar,Other,0.17%
Enel Chile SA Sponsored ADR,ENIC,0.15%
Infraestructura Energetica Nova SAB de CV,IENOVA,0.14%
BlackRock Cash Funds Treasury SL Agency Shares,Other,0.11%
