KOL: VanEck Vectors Coal ETF
Inception Date: 2008-01-10
Fund Holdings as of: 2020-12-11
Total Assets Under Management (in thousands):	37322
Shares Outstanding: 395000
Expense Ratio: 0.6%
Tracks This Index: Stowe Coal Index
ETFdb.com Category: Commodity Producers Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/KOL


Holding,Symbol,Weighting
Teck Resources Limited Class B,TECK,9.03%
Washington H. Soul Pattinson and Co. Ltd.,SOL,6.85%
Aurizon Holdings Ltd.,AZJ,6.19%
PT United Tractors Tbk,UNTR,6.0%
China Shenhua Energy Co. Ltd. Class H,1088,5.97%
PT Adaro Energy Tbk,ADRO,5.63%
Banpu Public Co. Ltd. NVDR,BANPU.R,5.52%
PT Bukit Asam Tbk,PTBA,4.96%
Exxaro Resources Limited,EXX,4.51%
China Coal Energy Co. Ltd. Class H,1898,4.11%
"Warrior Met Coal, Inc.",HCC,3.95%
Whitehaven Coal Limited,WHC,3.93%
Yanzhou Coal Mining Co. Ltd. Class H,1171,3.76%
PT Transcoal Pacific,TCPI,3.44%
New Hope Corporation Limited,NHC,3.01%
Westshore Terminals Investment Corporation,WTE,2.94%
Coronado Global Resources Inc. Shs Chess Depository Interests Repr 10 Sh,CRN,2.75%
PT Indo Tambangraya Megah Tbk,ITMG,2.7%
Jastrzebska Spolka Weglowa S.A.,JSW,2.61%
Semirara Mining & Power Corp.,SCC,2.1%
"Arch Resources, Inc. Class A",ARCH,2.09%
"Sany Heavy Equipment International Holdings Co., Ltd.",631,1.9%
Shougang Fushan Resources Group Limited,639,1.78%
"SunCoke Energy, Inc.",SXC,1.42%
U.S. Dollar,Other,1.4%
Raspadskaya PJSC,RASP,1.31%
DERIVATIVE SECURITIES (OTHER),Other,0.15%
