KSCD: KFA Small Cap Quality Dividend Index ETF
Inception Date: 2019-06-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	38350
Shares Outstanding: 1499000
Expense Ratio: 0.51%
Tracks This Index: Russell 2000 Dividend Select Equal Weight Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: KraneShares
Structure: 
ETF Home Page: https://etfdb.com/etf/KSCD


Holding,Symbol,Weighting
"Healthcare Services Group, Inc.",HCSG,2.52%
"Badger Meter, Inc.",BMI,2.42%
California Water Service Group,CWT,2.35%
"PetMed Express, Inc.",PETS,2.35%
Lindsay Corporation,LNN,2.31%
American States Water Company,AWR,2.3%
Lancaster Colony Corporation,LANC,2.3%
New Jersey Resources Corporation,NJR,2.27%
"Washington Trust Bancorp, Inc.",WASH,2.25%
WD-40 Company,WDFC,2.25%
"National Health Investors, Inc.",NHI,2.23%
Chesapeake Utilities Corporation,CPK,2.23%
SJW Group,SJW,2.23%
"Columbia Banking System, Inc.",COLB,2.22%
Atlantic Union Bankshares Corporation,AUB,2.22%
Quaker Chemical Corporation,KWR,2.21%
Middlesex Water Company,MSEX,2.21%
Horace Mann Educators Corporation,HMN,2.21%
Churchill Downs Incorporated,CHDN,2.21%
Stepan Company,SCL,2.2%
"Hillenbrand, Inc.",HI,2.19%
NorthWestern Corporation,NWE,2.18%
Black Hills Corporation,BKH,2.18%
"Andersons, Inc.",ANDE,2.18%
BancFirst Corporation,BANF,2.18%
"Applied Industrial Technologies, Inc.",AIT,2.15%
York Water Company,YORW,2.15%
Atrion Corporation,ATRI,2.15%
"WesBanco, Inc.",WSBC,2.14%
"Ensign Group, Inc.",ENSG,2.13%
"Stock Yards Bancorp, Inc.",SYBT,2.13%
"Lithia Motors, Inc. Class A",LAD,2.13%
First Financial Corporation,THFF,2.12%
"Franklin Electric Co., Inc.",FELE,2.12%
Sensient Technologies Corporation,SXT,2.11%
Universal Health Realty Income Trust,UHT,2.1%
Artesian Resources Corporation Class A,ARTNA,2.1%
"Calavo Growers, Inc.",CVGW,2.09%
H.B. Fuller Company,FUL,2.09%
Standex International Corporation,SXI,2.08%
"Community Bank System, Inc.",CBU,2.07%
Heritage Financial Corporation,HFWA,2.06%
"Bar Harbor Bankshares, Inc.",BHB,2.01%
"PROG Holdings, Inc.",PRG,2.0%
"Insperity, Inc.",NSP,1.97%
HNI Corporation,HNI,1.91%
U.S. Dollar,Other,-0.2%
