LRGF: iShares Edge MSCI Multifactor USA ETF
Inception Date: 2015-04-28
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	880414
Shares Outstanding: 23350000
Expense Ratio: 0.2%
Tracks This Index: MSCI USA Diversified Multi-Factor
ETFdb.com Category: Large Cap Blend Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/LRGF


Holding,Symbol,Weighting
Apple Inc.,AAPL,4.56%
Microsoft Corporation,MSFT,2.72%
Intel Corporation,INTC,2.7%
"Micron Technology, Inc.",MU,2.46%
Walmart Inc.,WMT,2.42%
Target Corporation,TGT,2.25%
"Activision Blizzard, Inc.",ATVI,2.11%
"Anthem, Inc.",ANTM,2.11%
"Amazon.com, Inc.",AMZN,2.1%
Intuit Inc.,INTU,1.6%
Humana Inc.,HUM,1.6%
"Regeneron Pharmaceuticals, Inc.",REGN,1.49%
Eaton Corp. Plc,ETN,1.41%
Cognizant Technology Solutions Corporation Class A,CTSH,1.31%
Electronic Arts Inc.,EA,1.22%
Exelon Corporation,EXC,1.21%
TE Connectivity Ltd.,TEL,1.18%
"Synopsys, Inc.",SNPS,1.16%
Biogen Inc.,BIIB,1.14%
"Cadence Design Systems, Inc.",CDNS,1.12%
"Agilent Technologies, Inc.",A,1.08%
Public Storage,PSA,1.07%
HP Inc.,HPQ,1.03%
eBay Inc.,EBAY,1.03%
"Alexion Pharmaceuticals, Inc.",ALXN,1.01%
T. Rowe Price Group,TROW,1.01%
Cummins Inc.,CMI,0.99%
"ANSYS, Inc.",ANSS,0.92%
ResMed Inc.,RMD,0.91%
Carrier Global Corp.,CARR,0.91%
Public Service Enterprise Group Inc,PEG,0.87%
Corteva Inc,CTVA,0.85%
Fastenal Company,FAST,0.82%
Lululemon Athletica Inc,LULU,0.82%
"Skyworks Solutions, Inc.",SWKS,0.75%
Keysight Technologies Inc,KEYS,0.73%
Kroger Co.,KR,0.73%
LyondellBasell Industries NV,LYB,0.72%
"D.R. Horton, Inc.",DHI,0.7%
"Maxim Integrated Products, Inc.",MXIM,0.7%
Cerner Corporation,CERN,0.7%
"Take-Two Interactive Software, Inc.",TTWO,0.7%
"Viatris, Inc.",VTRS,0.68%
