LRNZ: TrueMark AI & Deep Learning ETF
Inception Date: 2020-03-02
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	27374
Shares Outstanding: 575000
Expense Ratio: 0.68%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
"Issuer: TrueMark Investments, LLC"
Structure: ETF
ETF Home Page: https://etfdb.com/etf/LRNZ


Holding,Symbol,Weighting
"CrowdStrike Holdings, Inc. Class A",CRWD,8.05%
"Zscaler, Inc.",ZS,7.59%
"Twilio, Inc. Class A",TWLO,5.72%
"Unity Software, Inc.",U,5.57%
First American Funds Inc X Treasury Obligations Fund,FXFXX,5.51%
"Varonis Systems, Inc.",VRNS,5.06%
Datadog Inc Class A,DDOG,5.03%
Berkeley Lights Inc,BLI,4.61%
Elastic NV,ESTC,4.52%
"Anaplan, Inc.",PLAN,4.46%
"Advanced Micro Devices, Inc.",AMD,4.42%
"Okta, Inc. Class A",OKTA,4.4%
"C3.ai, Inc. Class A",AI,4.21%
"Guardant Health, Inc.",GH,4.11%
NVIDIA Corporation,NVDA,3.83%
"Schrodinger, Inc.",SDGR,3.79%
"ServiceNow, Inc.",NOW,3.7%
"Xilinx, Inc.",XLNX,3.51%
"Relay Therapeutics, Inc.",RLAY,3.36%
"Amazon.com, Inc.",AMZN,3.05%
"salesforce.com, inc.",CRM,2.8%
"AbCellera Biologics, Inc.",ABCL,2.74%
U.S. Dollar,Other,-0.05%
