LTL: Ultra Telecommunications ProShares
Inception Date: 2008-03-25
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	976
Shares Outstanding: 25000
Expense Ratio: 0.95%
Tracks This Index: Dow Jones U.S. Select Telecommunications Index (200%)
ETFdb.com Category: Leveraged Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/LTL


Holding,Symbol,Weighting
U.S. Dollar,Other,29.98%
Verizon Communications Inc.,VZ,15.83%
AT&T Inc.,T,15.47%
"Arista Networks, Inc.",ANET,3.37%
"T-Mobile US, Inc.",TMUS,3.34%
Garmin Ltd.,GRMN,3.28%
"Cisco Systems, Inc.",CSCO,3.25%
"Motorola Solutions, Inc.",MSI,3.21%
"F5 Networks, Inc.",FFIV,2.54%
"Lumen Technologies, Inc.",LUMN,2.24%
Liberty Global Plc Class C,LBTYK,1.99%
Ciena Corporation,CIEN,1.84%
"Juniper Networks, Inc.",JNPR,1.74%
"Lumentum Holdings, Inc.",LITE,1.71%
Iridium Communications Inc.,IRDM,1.06%
Liberty Global Plc Class A,LBTYA,0.8%
Viavi Solutions Inc,VIAV,0.79%
Vonage Holdings Corp.,VG,0.69%
"Acacia Communications, Inc.",ACIA,0.66%
"CommScope Holding Co., Inc.",COMM,0.6%
Shenandoah Telecommunications Company,SHEN,0.5%
"ViaSat, Inc.",VSAT,0.48%
"NetScout Systems, Inc.",NTCT,0.46%
Ubiquiti Inc.,UI,0.46%
"Telephone and Data Systems, Inc.",TDS,0.43%
Liberty Latin America Ltd. Class C,LILAK,0.39%
"NETGEAR, Inc.",NTGR,0.28%
EchoStar Corporation Class A,SATS,0.25%
"Plantronics, Inc.",PLT,0.23%
Inseego Corp.,INSG,0.22%
"Extreme Networks, Inc.",EXTR,0.2%
Cincinnati Bell Inc.,CBB,0.18%
"Ribbon Communications, Inc.",RBBN,0.17%
Harmonic Inc.,HLIT,0.17%
"ADTRAN, Inc.",ADTN,0.16%
Liberty Latin America Ltd. Class A,LILA,0.13%
ORBCOMM Inc.,ORBC,0.13%
Comtech Telecommunications Corp.,CMTL,0.12%
United States Cellular Corporation 6.7% 15-DEC-2033,Other,0.11%
"ATN International, Inc.",ATNI,0.11%
Anterix Inc.,ATEX,0.1%
CalAmp Corp.,CAMP,0.08%
"Consolidated Communications Holdings, Inc.",CNSL,0.08%
"Globalstar, Inc.",GSAT,0.05%
"Spok Holdings, Inc.",SPOK,0.05%
"Applied Optoelectronics, Inc.",AAOI,0.04%
