MCHI: iShares MSCI China ETF
Inception Date: 2011-03-29
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	6560180
Shares Outstanding: 80600000
Expense Ratio: 0.59%
Tracks This Index: MSCI China Index
ETFdb.com Category: China Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MCHI


Holding,Symbol,Weighting
Alibaba Group Holding Ltd. Sponsored ADR,BABA,14.29%
Tencent Holdings Ltd.,700,13.55%
Meituan Class B,3690,4.44%
"JD.com, Inc. Sponsored ADR Class A",JD,2.47%
China Construction Bank Corporation Class H,939,2.37%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,2.37%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,2.19%
NIO Inc. Sponsored ADR Class A,NIO,2.03%
Xiaomi Corp. Class B,1810,1.99%
"Baidu, Inc. Sponsored ADR Class A",BIDU,1.91%
Wuxi Biologics (Cayman) Inc.,2269,1.3%
"NetEase, Inc. Sponsored ADR",NTES,1.29%
Industrial and Commercial Bank of China Limited Class H,1398,1.27%
China Mobile Limited,941,1.14%
"New Oriental Education & Technology Group, Inc. Sponsored ADR",EDU,0.91%
TAL Education Group Sponsored ADR Class A,TAL,0.88%
Bank of China Limited Class H,3988,0.87%
"China Merchants Bank Co., Ltd. Class H",3968,0.8%
"Kweichow Moutai Co., Ltd. Class A",600519,0.76%
"Yum China Holdings, Inc.",YUMC,0.74%
Geely Automobile Holdings Limited,175,0.65%
ANTA Sports Products Ltd.,2020,0.58%
BYD Company Limited Class H,1211,0.56%
"China Mengniu Dairy Co., Ltd.",2319,0.56%
Shenzhou International Group Holdings Limited,2313,0.53%
CNOOC Limited,883,0.53%
China Life Insurance Co. Ltd. Class H,2628,0.53%
Trip.com Group Ltd. Sponsored ADR,TCOM,0.51%
"Sunny Optical Technology (Group) Co., Ltd.",2382,0.5%
Li Ning Company Limited,2331,0.49%
China Resources Beer (Holdings) Co. Ltd.,291,0.45%
Vipshop Holdings Ltd Sponsored ADR,VIPS,0.41%
China Resources Land Limited,1109,0.41%
Alibaba Health Information Technology Ltd.,241,0.4%
"ZTO Express (Cayman), Inc. Sponsored ADR Class A",ZTO,0.38%
"BeiGene, Ltd. Sponsored ADR",BGNE,0.38%
ENN Energy Holdings Limited,2688,0.38%
Semiconductor Manufacturing International Corp.,981,0.36%
China Petroleum & Chemical Corporation Class H,386,0.35%
"China Pacific Insurance (Group) Co., Ltd. Class H",2601,0.35%
"Great Wall Motor Co., Ltd. Class H",2333,0.35%
Xinyi Solar Holdings Ltd.,968,0.35%
Country Garden Holdings Co. Ltd.,2007,0.34%
Longfor Group Holdings Ltd.,960,0.34%
China Gas Holdings Limited,384,0.34%
