MFDX: PIMCO RAFI Dynamic Multi-Factor International Equity ETF
Inception Date: 2017-08-31
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	72804
Shares Outstanding: 2660000
Expense Ratio: 0.39%
Tracks This Index: RAFI Dynamic Multi-Factor Developed Ex-U.S. Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: PIMCO
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MFDX


Holding,Symbol,Weighting
Roche Holding Ltd,ROG,1.03%
U.S. Dollar,Other,1.01%
Unilever PLC,ULVR,0.91%
ASML Holding NV,ASML,0.89%
Nestle S.A.,NESN,0.79%
GlaxoSmithKline plc,GSK,0.68%
AstraZeneca PLC,AZN,0.67%
Diageo plc,DGE,0.66%
Iberdrola SA,IBE,0.65%
Novo Nordisk A/S Class B,NOVO.B,0.65%
Zurich Insurance Group Ltd,ZURN,0.6%
KDDI Corporation,9433,0.59%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.57%
Reckitt Benckiser Group plc,RB,0.57%
Rio Tinto plc,RIO,0.54%
National Grid plc,NG,0.53%
"Hitachi,Ltd.",6501,0.53%
Fortescue Metals Group Ltd,FMG,0.53%
Magna International Inc.,MG,0.51%
"DAIKIN INDUSTRIES, LTD.",6367,0.49%
HOYA CORPORATION,7741,0.49%
ABB Ltd.,ABBN,0.48%
Sony Corporation,6758,0.48%
"Murata Manufacturing Co., Ltd.",6981,0.46%
SoftBank Group Corp.,9984,0.44%
Koninklijke Ahold Delhaize N.V.,AD,0.43%
Enel SpA,ENEL,0.42%
Tokyo Electron Ltd.,8035,0.41%
Woolworths Group Ltd,WOW,0.41%
Wesfarmers Limited,WES,0.4%
Vodafone Group Plc,VOD,0.4%
Keyence Corporation,6861,0.39%
EDP-Energias de Portugal SA,EDP,0.39%
SSE plc,SSE,0.38%
Daimler AG,DAI,0.37%
CSL Limited,CSL,0.37%
Medtronic Plc,MDT,0.36%
"Daiichi Sankyo Company, Limited",4568,0.36%
Canadian National Railway Company,CNR,0.36%
Vestas Wind Systems A/S,VWS,0.35%
BHP Group Ltd,BHP,0.35%
Nippon Telegraph and Telephone Corporation,9432,0.35%
Tesco PLC,TSCO,0.35%
NEC Corp.,6701,0.35%
Panasonic Corporation,6752,0.35%
Glencore plc,GLEN,0.33%
Toyota Motor Corp.,7203,0.33%
OMRON Corporation,6645,0.31%
Rio Tinto Limited,RIO,0.31%
RWE AG,RWE,0.31%
Unilever PLC,UNA,0.31%
Atlas Copco AB Class A,ATCO.A,0.31%
Anglo American plc,AAL,0.31%
L\'Oreal SA,OR,0.31%
Shin-Etsu Chemical Co Ltd,4063,0.31%
Telstra Corporation Limited,TLS,0.3%
"Recruit Holdings Co., Ltd.",6098,0.3%
BASF SE,BAS,0.3%
Neste Corporation,NESTE,0.3%
Takeda Pharmaceutical Co. Ltd.,4502,0.29%
Japan Tobacco Inc.,2914,0.29%
RELX PLC,REL,0.29%
Givaudan SA,GIVN,0.29%
"Seven & I Holdings Co., Ltd.",3382,0.28%
Siemens AG,SIE,0.28%
Canadian Pacific Railway Limited,CP,0.28%
Volvo AB Class B,VOLV.B,0.28%
E.ON SE,EOAN,0.27%
H&M Hennes & Mauritz AB Class B,HM.B,0.27%
Astellas Pharma Inc.,4503,0.27%
Thomson Reuters Corporation,TRI,0.27%
Olympus Corp.,7733,0.27%
Imperial Brands PLC,IMB,0.27%
Endesa S.A.,ELE,0.27%
Volkswagen AG Pref,VOW3,0.26%
Terumo Corporation,4543,0.26%
VINCI SA,DG,0.26%
Swiss Re AG,SREN,0.26%
Kone Oyj Class B,KNEBV,0.26%
"Nintendo Co., Ltd.",7974,0.26%
adidas AG,ADS,0.25%
Koninklijke DSM N.V.,DSM,0.25%
"FAST RETAILING CO., LTD.",9983,0.25%
Bridgestone Corporation,5108,0.24%
Nidec Corporation,6594,0.24%
Sika AG,SIKA,0.24%
NXP Semiconductors NV,NXPI,0.24%
Compagnie Financiere Richemont SA,CFR,0.24%
"AEON Co., Ltd.",8267,0.24%
Aptiv PLC,APTV,0.24%
