MFEM: PIMCO RAFI Dynamic Multi-Factor Emerging Market Equity ETF
Inception Date: 2017-08-31
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	791773
Shares Outstanding: 29120000
Expense Ratio: 0.49%
Tracks This Index: RAFI Dynamic Multi-Factor Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: PIMCO
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MFEM


Holding,Symbol,Weighting
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,3.54%
Infosys Limited Sponsored ADR,INFY,3.05%
Hyundai Motor Company,005380,3.0%
Vale S.A.,VALE3,2.78%
KIA Motors Corporation,000270,1.8%
"JD.com, Inc. Sponsored ADR Class A",JD,1.77%
Tencent Holdings Ltd.,700,1.68%
Meituan Class B,3690,1.47%
Naspers Limited Class N,NPN,1.43%
Reliance Industries Limited Sponsored GDR 144A,RIGD,1.31%
MMC Norilsk Nickel PJSC,GMKN,1.31%
MediaTek Inc,2454,1.27%
"NetEase, Inc. Sponsored ADR",NTES,1.15%
U.S. Dollar,Other,1.05%
"Hyundai Mobis Co., Ltd",012330,1.04%
HDFC Bank Limited Sponsored ADR,HDB,1.02%
"Baidu, Inc. Sponsored ADR Class A",BIDU,1.0%
SK hynix Inc,000660,0.87%
Korea Electric Power Corporation,015760,0.86%
China Resources Beer (Holdings) Co. Ltd.,291,0.84%
NAVER Corp.,035420,0.81%
EQUITY OTHER,Other,0.73%
Delta Electronics (Thailand) Public Co. Ltd.(Alien Mkt),DELTA.F,0.71%
United Microelectronics Corp.,2303,0.71%
Dr. Reddy\'s Laboratories Ltd. Sponsored ADR,RDY,0.7%
Citigroup Global Markets Holdings Inc.,Other,0.69%
"SK Innovation Co., Ltd",096770,0.65%
Siam Cement Public Co. Ltd.(Alien Mkt),SCC.F,0.63%
Gold Fields Limited,GFI,0.63%
POSCO,005490,0.63%
CITIGROUP GLBL MKT HLDG  WT 02/12/16,Other,0.62%
"PTT Public Co., Ltd.(Alien Mkt)",PTT.F,0.6%
Wipro Limited Sponsored ADR,WIT,0.6%
"New Oriental Education & Technology Group, Inc. Sponsored ADR",EDU,0.57%
LG Chem Ltd.,051910,0.57%
Tencent Music Entertainment Group Sponsored ADR Class A,TME,0.54%
"Yum China Holdings, Inc.",YUMC,0.54%
LG Electronics Inc.,066570,0.53%
"Great Wall Motor Co., Ltd. Class H",2333,0.52%
Mobile TeleSystems PJSC,MTSS,0.52%
Wal-Mart de Mexico SAB de CV,WALMEX,0.51%
America Movil SAB de CV Class L,AMXL,0.51%
"Shinhan Financial Group Co., Ltd.",055550,0.5%
China Mobile Limited,941,0.5%
Gazprom PJSC,GAZP,0.5%
WEG S.A.,WEGE3,0.48%
Citigroup Global Markets Holdings Inc. 0.0% 17-JAN-2017,Other,0.47%
"B3 SA - Brasil, Bolsa, Balcao",B3SA3,0.47%
LG Household & Health Care Ltd,051900,0.47%
"Delta Electronics, Inc.",2308,0.46%
"Samsung SDI Co., Ltd",006400,0.46%
Impala Platinum Holdings Limited,IMP,0.46%
Xiaomi Corp. Class B,1810,0.46%
HSBC Bank plc 0.0% 06-DEC-2021,Other,0.45%
AngloGold Ashanti Limited,ANG,0.43%
Oil company LUKOIL PJSC,LKOH,0.43%
HSBC Bank plc 0.0% 19-JAN-2021,Other,0.42%
"ZTO Express (Cayman), Inc. Sponsored ADR Class A",ZTO,0.41%
"China Merchants Bank Co., Ltd. Class H",3968,0.41%
Innolux Corp.,3481,0.4%
ANTA Sports Products Ltd.,2020,0.4%
Citigroup Global Markets Holdings Inc.,Other,0.38%
Shenzhou International Group Holdings Limited,2313,0.38%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB,0.38%
Quanta Computer Inc.,2382,0.37%
Surgutneftegas PJSC,SNGS,0.37%
Yandex NV Class A,YNDX,0.37%
"SK Telecom Co., Ltd.",017670,0.37%
NCsoft Corporation,036570,0.37%
Vipshop Holdings Ltd Sponsored ADR,VIPS,0.35%
Reliance Industries Limited Sponsored GDR 144A,RLNIY,0.35%
KT & G Corporation,033780,0.35%
SAMSUNG C&T CORP,028260,0.35%
"Chunghwa Telecom Co., Ltd",2412,0.35%
Polyus PJSC,PLZL,0.35%
China Petroleum & Chemical Corporation Class H,386,0.33%
MTN Group Limited,MTN,0.33%
ENN Energy Holdings Limited,2688,0.33%
Tata Motors Limited Sponsored ADR,TTM,0.32%
Citigroup Global Markets Holdings Inc. 0.0% 17-JAN-2017,Other,0.32%
Severstal PAO,CHMF,0.31%
Geely Automobile Holdings Limited,175,0.31%
"Mega Financial Holding Co., Ltd.",2886,0.3%
ALROSA PJSC,ALRS,0.3%
Taiwan Cement Corp.,1101,0.3%
Novatek Microelectronics Corp.,3034,0.29%
"Samsung Electro-Mechanics Co., Ltd",009150,0.29%
"Samsung Fire & Marine Insurance Co., Ltd",000810,0.29%
KT Corporation Sponsored ADR,KT,0.28%
Asustek Computer Inc.,2357,0.28%
Vedanta Limited Sponsored ADR,VEDL,0.27%
BYD Company Limited Class H,1211,0.27%
Kakao Corp.,035720,0.27%
Ambev SA,ABEV3,0.27%
BIM Birlesik Magazalar A.S.,BIMAS,0.27%
E-MART Inc.,139480,0.26%
CTBC Financial Holding Company Ltd.,2891,0.26%
JBS S.A.,JBSS3,0.26%
China Overseas Land & Investment Limited,688,0.25%
Pegatron Corporation,4938,0.25%
"China Mengniu Dairy Co., Ltd.",2319,0.25%
VTB Bank PJSC,VTBR,0.24%
"Samsung Life Insurance Co., Ltd.",032830,0.24%
"SK Holdings Co., Ltd.",034730,0.24%
Sberbank Russia PJSC,SBER,0.24%
Uni-President Enterprises Corp.,1216,0.24%
"E.SUN Financial Holding Co., Ltd.",2884,0.24%
HSBC Bank plc 0.0% 05-APR-2021,Other,0.23%
Magnit PJSC,MGNT,0.23%
Novolipetsk Steel,NLMK,0.23%
Formosa Plastics Corporation,1301,0.23%
PTT Global Chemical Plc(Alien Mkt),PTTGC.F,0.22%
China National Building Material Co. Ltd. Class H,3323,0.22%
Au Optronics Corp.,2409,0.22%
LG Corp,003550,0.22%
Citigroup Global Markets Holdings Inc.,Other,0.21%
Citigroup Global Markets Holdings Inc.,Other,0.21%
Charoen Pokphand Foods Public Co. Ltd.(Alien Mkt),CPF.F,0.21%
PT Telkom Indonesia (Persero) Tbk Class B,TLKM,0.21%
Formosa Chemicals & Fibre Corporation,1326,0.21%
Suzano S.A.,SUZB3,0.21%
Sistema PJSFC,AFKS,0.21%
"Micro-Star International Co., Ltd.",2377,0.21%
Gerdau SA Pfd,GGBR4,0.2%
Inter RAO UES PJSC,IRAO,0.2%
"Fubon Financial Holding Co., Ltd.",2881,0.2%
KGHM Polska Miedz S.A.,KGH,0.2%
"Hengan International Group Co., Ltd.",1044,0.2%
"Hon Hai Precision Industry Co., Ltd.",2317,0.2%
"Advanced Info Service Public Co., Ltd.(Alien Mkt)",ADVANC.F,0.19%
"LG Display Co., Ltd",034220,0.19%
China Shenhua Energy Co. Ltd. Class H,1088,0.19%
Public Bank Bhd,1295,0.19%
CP All Public Co. Ltd.(Alien Mkt),CPALL.F,0.18%
Citigroup Global Markets Holdings Inc. 17-JAN-2017,Other,0.18%
Metalurgica Gerdau SA Pfd,GOAU4,0.18%
"HYUNDAI GLOVIS Co., Ltd.",086280,0.18%
Ultrapar Participacoes S.A.,UGPA3,0.18%
China International Capital Corp. Ltd. Class H,3908,0.18%
Klabin SA Ctf de Deposito de Acoes Cons of 1 Sh + 4 Pfd Shs,KLBN11,0.18%
Citigroup Global Markets Holdings Inc.,Other,0.17%
PT Astra International Tbk,ASII,0.17%
Wistron Corporation,3231,0.17%
Longfor Group Holdings Ltd.,960,0.17%
"HANKOOK TIRE & TECHNOLOGY Co., Ltd.",161390,0.17%
Raia Drogasil S.A.,RADL3,0.17%
Nan Ya Plastics Corporation,1303,0.16%
First Financial Holding Co. Ltd.,2892,0.16%
Asia Cement Corporation,1102,0.16%
Shoprite Holdings Limited,SHP,0.16%
China Steel Corporation,2002,0.16%
Turkcell Iletisim Hizmetleri A.S.,TCELL,0.16%
X5 Retail Group N.V. Sponsored GDR RegS,FIVE,0.15%
Sociedad Quimica y Minera de Chile SA Pfd Series B,SQM.B,0.15%
"Taiwan Mobile Co., Ltd.",3045,0.15%
Kumba Iron Ore Limited,KIO,0.15%
Cencosud S.A.,CENCOSUD,0.15%
Citigroup Global Markets Europe AG,Other,0.14%
Citigroup Global Markets Holdings Inc. 0.0% 15-FEB-2019,Other,0.14%
Itau Unibanco Holding SA Pfd,ITUB4,0.14%
CJ CheilJedang Corporation,097950,0.14%
Companhia Siderurgica Nacional,CSNA3,0.14%
Lite-On Technology Corp.,2301,0.14%
China Telecom Corp. Ltd. Class H,728,0.14%
Powertech Technology Inc.,6239,0.14%
