MID: American Century Mid Cap Growth Impact
Inception Date: 2020-07-13
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	6387
Shares Outstanding: 150000
Expense Ratio: 0.45%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
Issuer: American Century Investments
Structure: 
ETF Home Page: https://etfdb.com/etf/MID


Holding,Symbol,Weighting
Cash Component,CASH,4.0417%
Square Inc,SQ,3.7932%
Chegg Inc,CHGG,3.7377%
Peloton Interactive Inc,PTON,3.7281%
Veeva Systems Inc,VEEV,3.6955%
Cadence Design Systems Inc,CDNS,3.6767%
Aptiv PLC,APTV,3.6699%
Keysight Technologies Inc,KEYS,3.649%
Ball Corp,BLL,3.6364%
Marvell Technology Group Ltd,MRVL,3.6272%
Twilio Inc,TWLO,3.6227%
Align Technology Inc,ALGN,3.6092%
Splunk Inc,SPLK,3.6047%
DocuSign Inc,DOCU,3.6005%
Horizon Therapeutics PLC,HZNP,3.5978%
DexCom Inc,DXCM,3.5892%
Palo Alto Networks Inc,PANW,3.5891%
RingCentral Inc,RNG,3.561%
Chipotle Mexican Grill Inc,CMG,3.5555%
Trane Technologies PLC,TT,3.5301%
MSCI Inc,MSCI,3.1773%
Teladoc Health Inc,TDOC,3.0626%
Marketaxess Holdings Inc,MKTX,2.9641%
Encompass Health Corp,EHC,2.8695%
Albemarle Corp,ALB,2.7335%
Sensata Technologies Holding PLC,ST,2.6067%
argenx SE,ARGX,2.4443%
Alnylam Pharmaceuticals Inc,ALNY,2.1115%
SBA Communications Corp,SBAC,1.6217%
Synopsys Inc,SNPS,0.5984%
ANSYS Inc,ANSS,0.4502%
Five9 Inc,FIVN,0.4233%
Verisign Inc,VRSN,0.2887%
Monolithic Power Systems Inc,MPWR,0.2598%
West Pharmaceutical Services Inc,WST,0.2571%
Dynatrace Inc,DT,0.2517%
Trade Desk Inc,TTD,0.2341%
Okta Inc,OKTA,0.2006%
Generac Holdings Inc,GNRC,0.1767%
Epam Systems Inc,EPAM,0.1529%
