MILN: Global X Millennials Thematic ETF
Inception Date: 2016-05-04
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	128988
Shares Outstanding: 3449000
Expense Ratio: 0.5%
Tracks This Index: Indxx Millennials Thematic Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MILN


Holding,Symbol,Weighting
"Square, Inc. Class A",SQ,4.58%
PayPal Holdings Inc,PYPL,3.79%
Spotify Technology SA,SPOT,3.47%
"Snap, Inc. Class A",SNAP,3.46%
Apple Inc.,AAPL,3.39%
"Uber Technologies, Inc.",UBER,3.22%
Walt Disney Company,DIS,3.05%
"Lowe\'s Companies, Inc.",LOW,2.89%
"NIKE, Inc. Class B",NKE,2.82%
Booking Holdings Inc.,BKNG,2.76%
"Amazon.com, Inc.",AMZN,2.72%
"Facebook, Inc. Class A",FB,2.66%
Intuit Inc.,INTU,2.62%
eBay Inc.,EBAY,2.59%
"Activision Blizzard, Inc.",ATVI,2.58%
Lululemon Athletica Inc,LULU,2.56%
Starbucks Corporation,SBUX,2.54%
"Twitter, Inc.",TWTR,2.52%
"Netflix, Inc.",NFLX,2.48%
Alphabet Inc. Class A,GOOGL,2.46%
"Home Depot, Inc.",HD,2.32%
"Chipotle Mexican Grill, Inc.",CMG,2.29%
"Match Group, Inc.",MTCH,2.18%
Costco Wholesale Corporation,COST,2.09%
V.F. Corporation,VFC,2.0%
"Fiserv, Inc.",FISV,1.97%
"AvalonBay Communities, Inc.",AVB,1.34%
Equity Residential,EQR,1.31%
"Etsy, Inc.",ETSY,1.24%
"Expedia Group, Inc.",EXPE,1.05%
"Invitation Homes, Inc.",INVH,0.95%
"Peloton Interactive, Inc. Class A",PTON,0.93%
"Live Nation Entertainment, Inc.",LYV,0.93%
"CarMax, Inc.",KMX,0.91%
Carvana Co. Class A,CVNA,0.91%
"Wayfair, Inc. Class A",W,0.9%
IAC/InteractiveCorp.,IAC,0.89%
Lyft Inc Class A,LYFT,0.87%
"UDR, Inc.",UDR,0.68%
"Chegg, Inc.",CHGG,0.66%
"L Brands, Inc.",LB,0.61%
"Bright Horizons Family Solutions, Inc.",BFAM,0.6%
Camden Property Trust,CPT,0.59%
"Zillow Group, Inc. Class A",ZG,0.59%
Zynga Inc. Class A,ZNGA,0.56%
Bed Bath & Beyond Inc.,BBBY,0.53%
"GoPro, Inc. Class A",GPRO,0.51%
Capri Holdings Limited,CPRI,0.51%
"Avis Budget Group, Inc.",CAR,0.44%
"Cars.com, Inc.",CARS,0.43%
"Grubhub, Inc.",GRUB,0.4%
"AutoNation, Inc.",AN,0.39%
"Children\'s Place, Inc.",PLCE,0.37%
"Dick\'s Sporting Goods, Inc.",DKS,0.37%
"Planet Fitness, Inc. Class A",PLNT,0.37%
"Groupon, Inc.",GRPN,0.36%
"American Campus Communities, Inc.",ACC,0.35%
Columbia Sportswear Company,COLM,0.35%
"iHeartMedia, Inc. Class A",IHRT,0.34%
"Pluralsight, Inc. Class A",PS,0.31%
"2U, Inc.",TWOU,0.31%
SLM Corp,SLM,0.31%
"Under Armour, Inc. Class A",UAA,0.3%
"Skechers U.S.A., Inc. Class A",SKX,0.29%
"CarGurus, Inc. Class A",CARG,0.28%
"TripAdvisor, Inc.",TRIP,0.28%
"Nelnet, Inc. Class A",NNI,0.27%
"Independence Realty Trust, Inc.",IRT,0.27%
Yelp Inc,YELP,0.26%
"Laureate Education, Inc. Class A",LAUR,0.25%
Designer Brands Inc. Class A,DBI,0.25%
Graham Holdings Co.,GHC,0.25%
"LendingTree, Inc.",TREE,0.25%
"Carter\'s, Inc.",CRI,0.24%
"WW International, Inc.",WW,0.22%
LendingClub Corp,LC,0.22%
Centerspace,CSR,0.22%
"Blucora, Inc.",BCOR,0.21%
"Sprouts Farmers Markets, Inc.",SFM,0.18%
"Fitbit, Inc. Class A",FIT,0.17%
"Stride, Inc.",LRN,0.15%
U.S. Dollar,Other,0.14%
"Strategic Education, Inc.",STRA,0.13%
